"","dataset","nr_fold","algorithm","metric"
"1","AC",1,"LRR",0.0919665998801876
"2","AC",1,"GAM",0.763328396356568
"3","AC",1,"CTREE",0.675561725876961
"4","AC",1,"RF",0.0917037625510168
"5","AC",1,"XGB",0.0962434576168739
"6","AC",1,"LGBM",0.0972213057731278
"7","AC",1,"RE",0.60383341721569
"8","AC",1,"SRE",0.655375259848665
"9","AC",1,"LRR",0.0919665998801876
"10","AC",1,"GAM",0.73082884029914
"11","AC",1,"CTREE",0.695960168243441
"12","AC",1,"RF",0.108869529062025
"13","AC",1,"XGB",0.0970167394292503
"14","AC",1,"LGBM",0.0972213057731278
"15","AC",1,"RE",0.644896012123605
"16","AC",1,"SRE",0.617133198583861
"17","AC",1,"LRR",0.0919665998801876
"18","AC",1,"GAM",0.736962143473319
"19","AC",1,"CTREE",0.712278258856989
"20","AC",1,"RF",0.109313201288245
"21","AC",1,"XGB",0.0979956407900517
"22","AC",1,"LGBM",0.0972856422671295
"23","AC",1,"RE",0.659613533538174
"24","AC",1,"SRE",0.660140088621356
"25","AC",1,"LRR",0.0919665998801876
"26","AC",1,"GAM",0.769707315675027
"27","AC",1,"CTREE",0.681980625907594
"28","AC",1,"RF",0.111512437957848
"29","AC",1,"XGB",0.097418789388093
"30","AC",1,"LGBM",0.0961983617015842
"31","AC",1,"RE",0.595069005099543
"32","AC",1,"SRE",0.642123103800953
"33","AC",1,"LRR",0.0884271391985719
"34","AC",1,"GAM",0.745021709891645
"35","AC",1,"CTREE",0.704285698632246
"36","AC",1,"RF",0.107173913043478
"37","AC",1,"XGB",0.101884967616965
"38","AC",1,"LGBM",0.0934796139341143
"39","AC",1,"RE",0.627628281080705
"40","AC",1,"SRE",0.649100660178958
"41","AC",1,"LRR",0.105562529051287
"42","AC",1,"GAM",0.744136785750571
"43","AC",1,"CTREE",0.686401485749481
"44","AC",1,"RF",0.10087286798275
"45","AC",1,"XGB",0.0962434576168739
"46","AC",1,"LGBM",0.0964416589275184
"47","AC",1,"RE",0.695442340912012
"48","AC",1,"SRE",0.627550570634631
"49","AC",1,"LRR",0.0919665998801876
"50","AC",1,"GAM",0.768115942027056
"51","AC",1,"CTREE",0.693170793172671
"52","AC",1,"RF",0.103266950903332
"53","AC",1,"XGB",0.103580181350867
"54","AC",1,"LGBM",0.105974309301741
"55","AC",1,"RE",0.708814404205797
"56","AC",1,"SRE",0.622063606718339
"57","AC",1,"LRR",0.0919665998801876
"58","AC",1,"GAM",0.709352383538638
"59","AC",1,"CTREE",0.677444462381137
"60","AC",1,"RF",0.0975189404992861
"61","AC",1,"XGB",0.0989816348670081
"62","AC",1,"LGBM",0.0964652948582947
"63","AC",1,"RE",0.615815994849899
"64","AC",1,"SRE",0.655518356658973
"65","AC",1,"LRR",0.0919665998801876
"66","AC",1,"GAM",0.726759074153241
"67","AC",1,"CTREE",0.672559985752062
"68","AC",1,"RF",0.0958821742961778
"69","AC",1,"XGB",0.101608364498655
"70","AC",1,"LGBM",0.0972213057731278
"71","AC",1,"RE",0.627719420290284
"72","AC",1,"SRE",0.615868622910015
"73","AC",1,"LRR",0.0919665998801876
"74","AC",1,"GAM",0.729309373999141
"75","AC",1,"CTREE",0.690561982536168
"76","AC",1,"RF",0.10216021343913
"77","AC",1,"XGB",0.0989816348670081
"78","AC",1,"LGBM",0.0972856422671295
"79","AC",1,"RE",0.665737133947104
"80","AC",1,"SRE",0.677686505817386
