"","dataset","nr_fold","algorithm","metric"
"1","AC",1,"LRR",0.102439024390244
"2","AC",1,"GAM",0.647674418604651
"3","AC",1,"LDA",0.205959684487292
"4","AC",1,"CTREE",0.314634146341463
"5","AC",1,"RF",0.507662835249042
"6","AC",1,"XGB",0.307975460122699
"7","AC",1,"LGBM",0.618827160493827
"8","AC",1,"RE",0.280515891294334
"9","AC",1,"SRE",0.343627450980392
"10","AC",2,"LRR",0
"11","AC",2,"GAM",0.363486065186585
"12","AC",2,"LDA",0.340053050397878
"13","AC",2,"CTREE",0.616941015089163
"14","AC",2,"RF",0.428467683369644
"15","AC",2,"XGB",0.436917562724014
"16","AC",2,"LGBM",0.555087296809151
"17","AC",2,"RE",0.167294244217321
"18","AC",2,"SRE",-0.0277240490006447
"19","AC",3,"LRR",-0.0674394099051634
"20","AC",3,"GAM",0.0680254777070064
"21","AC",3,"LDA",0.494802494802495
"22","AC",3,"CTREE",0.45926800472255
"23","AC",3,"RF",0.6
"24","AC",3,"XGB",0.547784810126582
"25","AC",3,"LGBM",0.605751391465677
"26","AC",3,"RE",0.347097779509155
"27","AC",3,"SRE",0.330711920529801
"28","AC",4,"LRR",0
"29","AC",4,"GAM",0.110483870967742
"30","AC",4,"LDA",0.158931082981716
"31","AC",4,"CTREE",0.592885375494071
"32","AC",4,"RF",0.374584165003327
"33","AC",4,"XGB",0.409255898366606
"34","AC",4,"LGBM",0.424186390532544
"35","AC",4,"RE",0.403377110694184
"36","AC",4,"SRE",0.33375
"37","AC",5,"LRR",0.13893653516295
"38","AC",5,"GAM",0.431196581196581
"39","AC",5,"LDA",-0.0527777777777778
"40","AC",5,"CTREE",0.407407407407407
"41","AC",5,"RF",0.16374269005848
"42","AC",5,"XGB",0.417091836734694
"43","AC",5,"LGBM",0.245257452574526
"44","AC",5,"RE",0.157070707070707
"45","AC",5,"SRE",-0.064375
"46","AC",6,"LRR",0
"47","AC",6,"GAM",0.118765292678336
"48","AC",6,"LDA",0.344074471894021
"49","AC",6,"CTREE",0.591118558860494
"50","AC",6,"RF",0.442307692307692
"51","AC",6,"XGB",0.613786875376279
"52","AC",6,"LGBM",0.561456400742115
"53","AC",6,"RE",-0.0298611111111112
"54","AC",6,"SRE",0.155328798185941
"55","AC",7,"LRR",0.426728110599078
"56","AC",7,"GAM",0.568231332937215
"57","AC",7,"LDA",0.385585585585586
"58","AC",7,"CTREE",0.272108843537415
"59","AC",7,"RF",0.352258064516129
"60","AC",7,"XGB",0.5370670995671
"61","AC",7,"LGBM",0.487444100447197
"62","AC",7,"RE",0.0397697540554685
"63","AC",7,"SRE",0.107829977628635
"64","AC",8,"LRR",0.174703004891684
"65","AC",8,"GAM",0.104166666666667
"66","AC",8,"LDA",0.418055555555556
"67","AC",8,"CTREE",0.218029350104822
"68","AC",8,"RF",0.641996557659208
"69","AC",8,"XGB",0.859449192782526
"70","AC",8,"LGBM",0.680487804878049
"71","AC",8,"RE",0.323611111111111
"72","AC",8,"SRE",0.25875
"73","AC",9,"LRR",0.290322580645161
"74","AC",9,"GAM",0.212662337662338
"75","AC",9,"LDA",0.204848484848485
"76","AC",9,"CTREE",0.231186032510536
"77","AC",9,"RF",0.22481684981685
"78","AC",9,"XGB",0.375771604938272
"79","AC",9,"LGBM",0.621161672216056
"80","AC",9,"RE",0.171333333333333
"81","AC",9,"SRE",0.152125279642058
"82","AC",10,"LRR",0
"83","AC",10,"GAM",0.550332383665717
"84","AC",10,"LDA",0.272823779193206
"85","AC",10,"CTREE",0.500931677018634
"86","AC",10,"RF",0.457930007446016
"87","AC",10,"XGB",0.582135076252723
"88","AC",10,"LGBM",0.703450164293538
"89","AC",10,"RE",0.511328125
"90","AC",10,"SRE",0.573673036093418
