"","dataset","nr_fold","algorithm","metric"
"1","AC",1,"LRR",0.916603066675918
"2","AC",1,"GAM",0.926073683480191
"3","AC",1,"LDA",0.94418233539166
"4","AC",1,"CTREE",0.924304447373899
"5","AC",1,"RF",0.945604662457504
"6","AC",1,"XGB",0.924235065565809
"7","AC",1,"LGBM",0.932491500728509
"8","AC",1,"RE_boosting",0.941701935752446
"9","AC",1,"RE_RF",0.934087282314577
"10","AC",1,"RE_bag",0.925102338166933
"11","AC",1,"SRE_RF",0.927617428710192
"12","AC",1,"SRE_bag",0.924443210990078
"13","AC",1,"SRE_boosting",0.931433428155138
"14","AC",2,"LRR",0.907171717171717
"15","AC",2,"GAM",0.875589225589226
"16","AC",2,"LDA",0.913232323232323
"17","AC",2,"CTREE",0.903215488215488
"18","AC",2,"RF",0.925151515151515
"19","AC",2,"XGB",0.921178451178451
"20","AC",2,"LGBM",0.917508417508417
"21","AC",2,"RE_boosting",0.919545454545455
"22","AC",2,"RE_RF",0.919393939393939
"23","AC",2,"RE_bag",0.919343434343434
"24","AC",2,"SRE_RF",0.921228956228956
"25","AC",2,"SRE_bag",0.910319865319865
"26","AC",2,"SRE_boosting",0.923888888888889
"27","AC",3,"LRR",0.901307300509338
"28","AC",3,"GAM",0.873310696095076
"29","AC",3,"LDA",0.902852292020374
"30","AC",3,"CTREE",0.880899830220713
"31","AC",3,"RF",0.919796264855688
"32","AC",3,"XGB",0.924584040747029
"33","AC",3,"LGBM",0.907351443123939
"34","AC",3,"RE_boosting",0.921935483870968
"35","AC",3,"RE_RF",0.919830220713073
"36","AC",3,"RE_bag",0.916112054329372
"37","AC",3,"SRE_RF",0.912784380305603
"38","AC",3,"SRE_bag",0.914702886247878
"39","AC",3,"SRE_boosting",0.914617996604414
"40","AC",4,"LRR",0.922722934278702
"41","AC",4,"GAM",0.849570493591492
"42","AC",4,"LDA",0.926711208071993
"43","AC",4,"CTREE",0.934329833651486
"44","AC",4,"RF",0.947947913826016
"45","AC",4,"XGB",0.924342105263158
"46","AC",4,"LGBM",0.939050995364058
"47","AC",4,"RE_boosting",0.937210253613308
"48","AC",4,"RE_RF",0.936886419416417
"49","AC",4,"RE_bag",0.938471502590674
"50","AC",4,"SRE_RF",0.932591355331334
"51","AC",4,"SRE_bag",0.938863512407963
"52","AC",4,"SRE_boosting",0.925398827379329
"53","AC",5,"LRR",0.894399249061327
"54","AC",5,"GAM",0.886820330969267
"55","AC",5,"LDA",0.90157836184119
"56","AC",5,"CTREE",0.908479349186483
"57","AC",5,"RF",0.923046168822139
"58","AC",5,"XGB",0.906654151022111
"59","AC",5,"LGBM",0.899075232930051
"60","AC",5,"RE_boosting",0.917292448894451
"61","AC",5,"RE_RF",0.925949103045474
"62","AC",5,"RE_bag",0.921186204978445
"63","AC",5,"SRE_RF",0.925305937978028
"64","AC",5,"SRE_bag",0.91169517452371
"65","AC",5,"SRE_boosting",0.919760812126269
"66","AC",6,"LRR",0.930874335330147
"67","AC",6,"GAM",0.877869017971327
"68","AC",6,"LDA",0.918523255031298
"69","AC",6,"CTREE",0.925119472302618
"70","AC",6,"RF",0.926650737026318
"71","AC",6,"XGB",0.920559332301272
"72","AC",6,"LGBM",0.931715689573938
"73","AC",6,"RE_boosting",0.932456081308474
"74","AC",6,"RE_RF",0.937335935922461
"75","AC",6,"RE_bag",0.929948845661978
"76","AC",6,"SRE_RF",0.931194049942788
"77","AC",6,"SRE_bag",0.924008884700814
