"","dataset","nr_fold","algorithm","metric"
"1","AC",1,"LRR",0.0968321796382466
"2","AC",1,"GAM",0.109347512539932
"3","AC",1,"LDA",0.0987090861812177
"4","AC",1,"CTREE",0.0971437685559127
"5","AC",1,"RF",0.0931817419388661
"6","AC",1,"XGB",0.105113427173175
"7","AC",1,"LGBM",0.098787003852824
"8","AC",1,"RE_boosting",0.0954910765194489
"9","AC",1,"RE_RF",0.0977444681881095
"10","AC",1,"RE_bag",0.101879934798632
"11","AC",1,"SRE_RF",0.0990459558868299
"12","AC",1,"SRE_bag",0.10928612633608
"13","AC",1,"SRE_boosting",0.0994304603093579
"14","AC",2,"LRR",0.10567041111143
"15","AC",2,"GAM",0.14336833643155
"16","AC",2,"LDA",0.111502960143159
"17","AC",2,"CTREE",0.113446214507835
"18","AC",2,"RF",0.0988010334598574
"19","AC",2,"XGB",0.117837199540365
"20","AC",2,"LGBM",0.115034852543133
"21","AC",2,"RE_boosting",0.104203270435381
"22","AC",2,"RE_RF",0.106026059042829
"23","AC",2,"RE_bag",0.100157649539208
"24","AC",2,"SRE_RF",0.105874101454485
"25","AC",2,"SRE_bag",0.101320830333954
"26","AC",2,"SRE_boosting",0.100890069943813
"27","AC",3,"LRR",0.119575812425162
"28","AC",3,"GAM",0.135029547229898
"29","AC",3,"LDA",0.135287866248716
"30","AC",3,"CTREE",0.126648698924935
"31","AC",3,"RF",0.110859783148411
"32","AC",3,"XGB",0.118412516716797
"33","AC",3,"LGBM",0.116380644588504
"34","AC",3,"RE_boosting",0.111491963482513
"35","AC",3,"RE_RF",0.116476137705332
"36","AC",3,"RE_bag",0.109883840568321
"37","AC",3,"SRE_RF",0.120621095915962
"38","AC",3,"SRE_bag",0.113604063360555
"39","AC",3,"SRE_boosting",0.111332328741748
"40","AC",4,"LRR",0.0941906085418057
"41","AC",4,"GAM",0.153327328196895
"42","AC",4,"LDA",0.0942155720843262
"43","AC",4,"CTREE",0.089642324132982
"44","AC",4,"RF",0.0922550842596716
"45","AC",4,"XGB",0.091527583183813
"46","AC",4,"LGBM",0.0870223838340144
"47","AC",4,"RE_boosting",0.0912565271086331
"48","AC",4,"RE_RF",0.0915497833861847
"49","AC",4,"RE_bag",0.0899467363764992
"50","AC",4,"SRE_RF",0.0923637411777102
"51","AC",4,"SRE_bag",0.0961794517756219
"52","AC",4,"SRE_boosting",0.0970964033572038
"53","AC",5,"LRR",0.114065273220623
"54","AC",5,"GAM",0.138727921188267
"55","AC",5,"LDA",0.131574008521712
"56","AC",5,"CTREE",0.110406389436415
"57","AC",5,"RF",0.107123893725316
"58","AC",5,"XGB",0.133960262892638
"59","AC",5,"LGBM",0.114261340626227
"60","AC",5,"RE_boosting",0.110868158923448
"61","AC",5,"RE_RF",0.107607589667302
"62","AC",5,"RE_bag",0.110547790242937
"63","AC",5,"SRE_RF",0.110026148040156
"64","AC",5,"SRE_bag",0.106191633292213
"65","AC",5,"SRE_boosting",0.107789690275725
"66","AC",6,"LRR",0.0972600167575422
"67","AC",6,"GAM",0.126426278641276
"68","AC",6,"LDA",0.101981355481016
"69","AC",6,"CTREE",0.10001047375262
"70","AC",6,"RF",0.10208908796771
"71","AC",6,"XGB",0.111542445713937
"72","AC",6,"LGBM",0.11734703975352
"73","AC",6,"RE_boosting",0.095758199157614
"74","AC",6,"RE_RF",0.0910366102961433
"75","AC",6,"RE_bag",0.0982537933830676
"76","AC",6,"SRE_RF",0.0921196522306928
"77","AC",6,"SRE_bag",0.105411092597444
"78","AC",6,"SRE_boosting",0.107160061566784
"79","AC",7,"LRR",0.105156556182579
"80","AC",7,"GAM",0.148443993348996
"81","AC",7,"LDA",0.112511522050326
"82","AC",7,"CTREE",0.11408319461298
"83","AC",7,"RF",0.104625206536211
"84","AC",7,"XGB",0.11813396509011
"85","AC",7,"LGBM",0.116309613145075
"86","AC",7,"RE_boosting",0.106291362195319
"87","AC",7,"RE_RF",0.0997519376378045
"88","AC",7,"RE_bag",0.0965499687386131
"89","AC",7,"SRE_RF",0.101326037420116
"90","AC",7,"SRE_bag",0.0998379928663646
"91","AC",7,"SRE_boosting",0.103624094144116
"92","AC",8,"LRR",0.0968338417381404
"93","AC",8,"GAM",0.12438048699425
"94","AC",8,"LDA",0.105964939111685
"95","AC",8,"CTREE",0.102777426211485
"96","AC",8,"RF",0.0926360304347826
"97","AC",8,"XGB",0.1088361146293
"98","AC",8,"LGBM",0.0964505337137904
"99","AC",8,"RE_boosting",0.0861994247205745
"100","AC",8,"RE_RF",0.10514445282069
"101","AC",8,"RE_bag",0.0892303876332319
"102","AC",8,"SRE_RF",0.0928232457725178
