"","dataset","nr_fold","algorithm","metric"
"1","AC",1,"GAM",0.924235065565809
"2","AC",1,"RE_boosting",0.935075973079858
"3","AC",1,"RE_RF",0.925692083535697
"4","AC",1,"RE_bag",0.924512592798168
"5","AC",1,"SRE_RF",0.918979393602997
"6","AC",1,"SRE_bag",0.924443210990078
"7","AC",1,"SRE_boosting",0.932161937140082
"8","AC",1,"SRE_PLTR",0.910376049399847
"9","AC",2,"GAM",0.875707070707071
"10","AC",2,"RE_boosting",0.93462962962963
"11","AC",2,"RE_RF",0.916414141414141
"12","AC",2,"RE_bag",0.915420875420875
"13","AC",2,"SRE_RF",0.926313131313131
"14","AC",2,"SRE_bag",0.918367003367003
"15","AC",2,"SRE_boosting",0.935387205387205
"16","AC",2,"SRE_PLTR",0.917020202020202
"17","AC",3,"GAM",0.862529711375212
"18","AC",3,"RE_boosting",0.918285229202037
"19","AC",3,"RE_RF",0.900016977928693
"20","AC",3,"RE_bag",0.915280135823429
"21","AC",3,"SRE_RF",0.893276740237691
"22","AC",3,"SRE_bag",0.914499151103565
"23","AC",3,"SRE_boosting",0.915025466893039
"24","AC",3,"SRE_PLTR",0.905110356536503
"25","AC",4,"GAM",0.900974911371693
"26","AC",4,"RE_boosting",0.936630760839924
"27","AC",4,"RE_RF",0.943141532587946
"28","AC",4,"RE_bag",0.933392418871012
"29","AC",4,"SRE_RF",0.94375511317153
"30","AC",4,"SRE_bag",0.934125306790292
"31","AC",4,"SRE_boosting",0.94191437142078
"32","AC",4,"SRE_PLTR",0.916450777202073
"33","AC",5,"GAM",0.883795716868308
"34","AC",5,"RE_boosting",0.918961201501877
"35","AC",5,"RE_RF",0.903438325684884
"36","AC",5,"RE_bag",0.926279376999027
"37","AC",5,"SRE_RF",0.920178000278125
"38","AC",5,"SRE_bag",0.922037964121819
"39","AC",5,"SRE_boosting",0.92787859824781
"40","AC",5,"SRE_PLTR",0.902395355305243
"41","AC",6,"GAM",0.875058894797065
"42","AC",6,"RE_boosting",0.927862287137376
"43","AC",6,"RE_RF",0.93392003769267
"44","AC",6,"RE_bag",0.928215655919769
"45","AC",6,"SRE_RF",0.927508918354984
"46","AC",6,"SRE_bag",0.920542505216396
"47","AC",6,"SRE_boosting",0.93082385407552
"48","AC",6,"SRE_PLTR",0.929679612303964
