"","dataset","nr_fold","algorithm","metric"
"1","AC",1,"LRR",0.0968321796382466
"2","AC",1,"GAM",0.109337716250821
"3","AC",1,"LDA",0.0987090861812177
"4","AC",1,"CTREE",0.0971437685559127
"5","AC",1,"RF",0.0931684144615334
"6","AC",1,"XGB",0.101534263467535
"7","AC",1,"LGBM",0.100089059622899
"8","AC",1,"RE_boosting",0.0980899753826672
"9","AC",1,"RE_RF",0.103417307705249
"10","AC",1,"RE_bag",0.10193050572007
"11","AC",1,"SRE_RF",0.0963959012185741
"12","AC",1,"SRE_bag",0.109591738628437
"13","AC",1,"SRE_boosting",0.0996712605185827
"14","AC",1,"SRE_PLTR",0.100078669038591
"15","AC",1,"PLTR",0.10007912834043
"16","AC",2,"LRR",0.10567041111143
"17","AC",2,"GAM",0.143238912125691
"18","AC",2,"LDA",0.11150296014316
"19","AC",2,"CTREE",0.113446214507835
"20","AC",2,"RF",0.100378045474027
"21","AC",2,"XGB",0.116650661623516
"22","AC",2,"LGBM",0.11614868827838
"23","AC",2,"RE_boosting",0.111356680595908
"24","AC",2,"RE_RF",0.10905817636044
"25","AC",2,"RE_bag",0.106143126209995
"26","AC",2,"SRE_RF",0.105510031220616
"27","AC",2,"SRE_bag",0.104249337329584
"28","AC",2,"SRE_boosting",0.102809460326166
"29","AC",2,"SRE_PLTR",0.108135323867582
"30","AC",2,"PLTR",0.108806149507129
"31","AC",3,"LRR",0.119575812425162
"32","AC",3,"GAM",0.135029597944257
"33","AC",3,"LDA",0.135287866248716
"34","AC",3,"CTREE",0.126648698924935
"35","AC",3,"RF",0.107803567005758
"36","AC",3,"XGB",0.112154622425337
"37","AC",3,"LGBM",0.107098884871516
"38","AC",3,"RE_boosting",0.121097117723671
"39","AC",3,"RE_RF",0.12166306242253
"40","AC",3,"RE_bag",0.114828038474148
"41","AC",3,"SRE_RF",0.122071476566646
"42","AC",3,"SRE_bag",0.12358372993348
"43","AC",3,"SRE_boosting",0.115881990588322
"44","AC",3,"SRE_PLTR",0.117844448981039
"45","AC",3,"PLTR",0.117845330662654
"46","AC",4,"LRR",0.0941906085418057
"47","AC",4,"GAM",0.128542847598324
"48","AC",4,"LDA",0.0942155720843263
"49","AC",4,"CTREE",0.089642324132982
"50","AC",4,"RF",0.0866912661170333
"51","AC",4,"XGB",0.109493410250758
"52","AC",4,"LGBM",0.0874055554327026
"53","AC",4,"RE_boosting",0.0918118764853638
"54","AC",4,"RE_RF",0.0935487645027274
"55","AC",4,"RE_bag",0.0943478642294231
"56","AC",4,"SRE_RF",0.0952846735285235
"57","AC",4,"SRE_bag",0.0985254104552226
"58","AC",4,"SRE_boosting",0.0953367520823757
"59","AC",4,"SRE_PLTR",0.0990155158970604
"60","AC",4,"PLTR",0.0990150576932585
"61","AC",5,"LRR",0.114065273220623
"62","AC",5,"GAM",0.138728044830191
"63","AC",5,"LDA",0.131574008521712
"64","AC",5,"CTREE",0.110406389436415
"65","AC",5,"RF",0.106644427438007
"66","AC",5,"XGB",0.116621678218077
"67","AC",5,"LGBM",0.122761865437577
"68","AC",5,"RE_boosting",0.116423238889215
"69","AC",5,"RE_RF",0.120293882471946
"70","AC",5,"RE_bag",0.106447378586317
"71","AC",5,"SRE_RF",0.111746973247023
"72","AC",5,"SRE_bag",0.107528867841817
"73","AC",5,"SRE_boosting",0.11181218399071
"74","AC",5,"SRE_PLTR",0.116576832470512
"75","AC",5,"PLTR",0.116577140286107
"76","AC",6,"LRR",0.0972600167575422
"77","AC",6,"GAM",0.126392860575051
"78","AC",6,"LDA",0.101981355481016
"79","AC",6,"CTREE",0.10001047375262
"80","AC",6,"RF",0.102592662555457
"81","AC",6,"XGB",0.116431734295218
"82","AC",6,"LGBM",0.107571972142064
"83","AC",6,"RE_boosting",0.095553896683028
"84","AC",6,"RE_RF",0.0996192690101793
"85","AC",6,"RE_bag",0.100060395348227
"86","AC",6,"SRE_RF",0.0971663355963693
"87","AC",6,"SRE_bag",0.11209053514057
"88","AC",6,"SRE_boosting",0.087702612059164
"89","AC",6,"SRE_PLTR",0.103350504651022
"90","AC",6,"PLTR",0.10758976896879
