"","dataset","nr_fold","algorithm","metric"
"1","AC",1,"GAM",0.106251521113371
"2","AC",1,"RE_boosting",0.103556327497872
"3","AC",1,"RE_RF",0.102096913744455
"4","AC",1,"RE_bag",0.10193050572007
"5","AC",1,"SRE_RF",0.105016649040219
"6","AC",1,"SRE_bag",0.109591738628437
"7","AC",1,"SRE_boosting",0.0996712605185827
"8","AC",1,"SRE_PLTR",0.100078669038591
"9","AC",2,"GAM",0.140807490911611
"10","AC",2,"RE_boosting",0.104645550887226
"11","AC",2,"RE_RF",0.109284236826737
"12","AC",2,"RE_bag",0.106143126209995
"13","AC",2,"SRE_RF",0.103434492035491
"14","AC",2,"SRE_bag",0.104249337329584
"15","AC",2,"SRE_boosting",0.0980953470495599
"16","AC",2,"SRE_PLTR",0.108135323867582
"17","AC",3,"GAM",0.147885476617711
"18","AC",3,"RE_boosting",0.120955237631894
"19","AC",3,"RE_RF",0.119293336891268
"20","AC",3,"RE_bag",0.114828038474148
"21","AC",3,"SRE_RF",0.118765302377523
"22","AC",3,"SRE_bag",0.124177771970806
"23","AC",3,"SRE_boosting",0.115881990588322
"24","AC",3,"SRE_PLTR",0.117610047684708
"25","AC",4,"GAM",0.116641356805502
"26","AC",4,"RE_boosting",0.0916953137080667
"27","AC",4,"RE_RF",0.0893193958162401
"28","AC",4,"RE_bag",0.0943478642294231
"29","AC",4,"SRE_RF",0.0954813887957864
"30","AC",4,"SRE_bag",0.0985254104552226
"31","AC",4,"SRE_boosting",0.0953367520823757
"32","AC",4,"SRE_PLTR",0.0990155158970604
"33","AC",5,"GAM",0.153447463544287
"34","AC",5,"RE_boosting",0.119927864453812
"35","AC",5,"RE_RF",0.112123084050011
"36","AC",5,"RE_bag",0.106447378586317
"37","AC",5,"SRE_RF",0.106849281522075
"38","AC",5,"SRE_bag",0.107040815406915
"39","AC",5,"SRE_boosting",0.11181218399071
"40","AC",5,"SRE_PLTR",0.116576832470512
"41","AC",6,"GAM",0.132955884193173
"42","AC",6,"RE_boosting",0.0963887251308902
"43","AC",6,"RE_RF",0.0955771051741096
"44","AC",6,"RE_bag",0.100060395348227
"45","AC",6,"SRE_RF",0.0991671635705912
"46","AC",6,"SRE_bag",0.11209053514057
"47","AC",6,"SRE_boosting",0.0961772217883293
"48","AC",6,"SRE_PLTR",0.103350505394373
