"","dataset","nr_fold","algorithm","metric"
"1","AC",1,"LRR",0.0968321796382466
"2","AC",1,"GAM",0.106549653854105
"3","AC",1,"LDA",0.0987090861812177
"4","AC",1,"CTREE",0.0971437685559127
"5","AC",1,"RF",0.0931684144615334
"6","AC",1,"XGB",0.101534263467535
"7","AC",1,"LGBM",0.100089059622899
"8","AC",1,"RE_boosting",0.103556327497872
"9","AC",1,"RE_RF",0.104410104379662
"10","AC",1,"RE_bag",0.10193050572007
"11","AC",1,"SRE_RF",0.101727378268251
"12","AC",1,"SRE_bag",0.1009995106313
"13","AC",1,"SRE_boosting",0.100223797989071
"14","AC",1,"SRE_PLTR",0.0999882905315693
"15","AC",1,"PLTR",0.10007912834043
"16","AC",2,"LRR",0.10567041111143
"17","AC",2,"GAM",0.140807490911611
"18","AC",2,"LDA",0.11150296014316
"19","AC",2,"CTREE",0.113446214507835
"20","AC",2,"RF",0.100378045474027
"21","AC",2,"XGB",0.116650661623516
"22","AC",2,"LGBM",0.11614868827838
"23","AC",2,"RE_boosting",0.104645550887226
"24","AC",2,"RE_RF",0.107285746867564
"25","AC",2,"RE_bag",0.106143126209995
"26","AC",2,"SRE_RF",0.107113658045707
"27","AC",2,"SRE_bag",0.103047024598285
"28","AC",2,"SRE_boosting",0.105762957601928
"29","AC",2,"SRE_PLTR",0.114453490602745
"30","AC",2,"PLTR",0.108806149507129
"31","AC",3,"LRR",0.119575812425162
"32","AC",3,"GAM",0.147885476617711
"33","AC",3,"LDA",0.135287866248716
"34","AC",3,"CTREE",0.126648698924935
"35","AC",3,"RF",0.107803567005758
"36","AC",3,"XGB",0.112154622425337
"37","AC",3,"LGBM",0.107098884871516
"38","AC",3,"RE_boosting",0.120955237631894
"39","AC",3,"RE_RF",0.114484222846638
"40","AC",3,"RE_bag",0.114828038474148
"41","AC",3,"SRE_RF",0.128424927272098
"42","AC",3,"SRE_bag",0.115807199196892
"43","AC",3,"SRE_boosting",0.119749459540551
"44","AC",3,"SRE_PLTR",0.125531820001505
"45","AC",3,"PLTR",0.117845330662654
"46","AC",4,"LRR",0.0941906085418057
"47","AC",4,"GAM",0.116641356805502
"48","AC",4,"LDA",0.0942155720843263
"49","AC",4,"CTREE",0.089642324132982
"50","AC",4,"RF",0.0866912661170333
"51","AC",4,"XGB",0.109493410250758
"52","AC",4,"LGBM",0.0874055554327026
"53","AC",4,"RE_boosting",0.0916953137080667
"54","AC",4,"RE_RF",0.0952379819568614
"55","AC",4,"RE_bag",0.0943478642294231
"56","AC",4,"SRE_RF",0.0909860128604076
"57","AC",4,"SRE_bag",0.0872700930596673
"58","AC",4,"SRE_boosting",0.0938077459634186
"59","AC",4,"SRE_PLTR",0.0962976221096762
"60","AC",4,"PLTR",0.0990150576932585
"61","AC",5,"LRR",0.114065273220623
"62","AC",5,"GAM",0.141349295688135
"63","AC",5,"LDA",0.131574008521712
"64","AC",5,"CTREE",0.110406389436415
"65","AC",5,"RF",0.106644427438007
"66","AC",5,"XGB",0.116621678218077
"67","AC",5,"LGBM",0.122761865437577
"68","AC",5,"RE_boosting",0.119927864453812
"69","AC",5,"RE_RF",0.113458525769406
"70","AC",5,"RE_bag",0.106447378586317
"71","AC",5,"SRE_RF",0.116741599648522
"72","AC",5,"SRE_bag",0.109346075539134
"73","AC",5,"SRE_boosting",0.122201676191459
"74","AC",5,"SRE_PLTR",0.120758682957935
"75","AC",5,"PLTR",0.116577140286107
"76","AC",6,"LRR",0.0972600167575422
"77","AC",6,"GAM",0.132955884193173
"78","AC",6,"LDA",0.101981355481016
"79","AC",6,"CTREE",0.10001047375262
"80","AC",6,"RF",0.102592662555457
"81","AC",6,"XGB",0.116431734295218
"82","AC",6,"LGBM",0.107571972142064
"83","AC",6,"RE_boosting",0.0963887251308902
"84","AC",6,"RE_RF",0.0962019332735488
"85","AC",6,"RE_bag",0.100060395348227
"86","AC",6,"SRE_RF",0.0963555127047602
"87","AC",6,"SRE_bag",0.100363020742992
"88","AC",6,"SRE_boosting",0.0959394802253441
"89","AC",6,"SRE_PLTR",0.101364951609548
"90","AC",6,"PLTR",0.10758976896879
