"","dataset","nr_fold","algorithm","metric"
"1","AC",1,"RE_RF",0.0941262720112281
"2","AC",1,"SRE_RF",0.094437950116995
"3","AC",2,"RE_RF",0.110995511357606
"4","AC",2,"SRE_RF",0.110812328684491
"5","AC",3,"RE_RF",0.0994035911566327
"6","AC",3,"SRE_RF",0.101686462922515
"7","AC",4,"RE_RF",0.103350112749457
"8","AC",4,"SRE_RF",0.103089357059557
"9","AC",5,"RE_RF",0.0904131003734335
"10","AC",5,"SRE_RF",0.0914949412971401
"11","AC",6,"RE_RF",0.114493630959711
"12","AC",6,"SRE_RF",0.113996503907532
