"","dataset","nr_fold","algorithm","metric"
"1","AC",1,"GAM",0.0914026882599988
"2","AC",1,"RE_boosting",0.0965460764234884
"3","AC",1,"RE_RF",0.0935500112554519
"4","AC",1,"RE_bag",0.0938391096116578
"5","AC",1,"SRE_RF",0.0934631102582224
"6","AC",1,"SRE_bag",0.0936700528858109
"7","AC",1,"SRE_boosting",0.0939451242031135
"8","AC",1,"SRE_PLTR",0.0931869878222507
"9","AC",2,"GAM",0.105370753344361
"10","AC",2,"RE_boosting",0.109799468430954
"11","AC",2,"RE_RF",0.109642297891042
"12","AC",2,"RE_bag",0.110510763732516
"13","AC",2,"SRE_RF",0.110400408100574
"14","AC",2,"SRE_bag",0.110443560278703
"15","AC",2,"SRE_boosting",0.112757652116959
"16","AC",2,"SRE_PLTR",0.110195316366473
"17","AC",3,"GAM",0.0938376256315217
"18","AC",3,"RE_boosting",0.102003394530884
"19","AC",3,"RE_RF",0.098366528205658
"20","AC",3,"RE_bag",0.102417246319034
"21","AC",3,"SRE_RF",0.0996141016098365
"22","AC",3,"SRE_bag",0.100907136488741
"23","AC",3,"SRE_boosting",0.101520794274278
"24","AC",3,"SRE_PLTR",0.0996458517544072
"25","AC",4,"GAM",0.0941441284080773
"26","AC",4,"RE_boosting",0.102532994335816
"27","AC",4,"RE_RF",0.10384620640758
"28","AC",4,"RE_bag",0.102236736744818
"29","AC",4,"SRE_RF",0.103794463428489
"30","AC",4,"SRE_bag",0.103006508124454
"31","AC",4,"SRE_boosting",0.1015139893749
"32","AC",4,"SRE_PLTR",0.102373884542205
"33","AC",5,"GAM",0.087521240961095
"34","AC",5,"RE_boosting",0.0921565673236945
"35","AC",5,"RE_RF",0.0896420831732534
"36","AC",5,"RE_bag",0.0915482414376812
"37","AC",5,"SRE_RF",0.0915128542510367
"38","AC",5,"SRE_bag",0.0919610186941445
"39","AC",5,"SRE_boosting",0.0921609968806656
"40","AC",5,"SRE_PLTR",0.0910180148809495
"41","AC",6,"GAM",0.104903946132002
"42","AC",6,"RE_boosting",0.113694147755828
"43","AC",6,"RE_RF",0.114050140742145
"44","AC",6,"RE_bag",0.11398472965722
"45","AC",6,"SRE_RF",0.114118191433321
"46","AC",6,"SRE_bag",0.114046315631843
"47","AC",6,"SRE_boosting",0.114269479110711
"48","AC",6,"SRE_PLTR",0.111344958480182
