"","dataset","nr_fold","algorithm","metric"
"1","AC",1,"GAM",0.616832779623477
"2","AC",1,"RE_boosting",0.564459930313589
"3","AC",1,"RE_RF",0.315261044176707
"4","AC",1,"RE_bag",0.378048780487805
"5","AC",1,"SRE_RF",0.628373702422145
"6","AC",1,"SRE_bag",0.264646464646465
"7","AC",1,"SRE_boosting",0.432638888888889
"8","AC",1,"SRE_PLTR",0.104878048780488
"9","AC",2,"GAM",0.428418803418803
"10","AC",2,"RE_boosting",0.442763157894737
"11","AC",2,"RE_RF",0.383009153318078
"12","AC",2,"RE_bag",0.236621534493875
"13","AC",2,"SRE_RF",0.197732426303855
"14","AC",2,"SRE_bag",0.467058823529412
"15","AC",2,"SRE_boosting",0.290598290598291
"16","AC",2,"SRE_PLTR",0.356578947368421
"17","AC",3,"GAM",0.0590123456790124
"18","AC",3,"RE_boosting",0.470562770562771
"19","AC",3,"RE_RF",0.555194805194805
"20","AC",3,"RE_bag",0.642857142857143
"21","AC",3,"SRE_RF",0.580844155844156
"22","AC",3,"SRE_bag",0.574761904761905
"23","AC",3,"SRE_boosting",0.470705064548163
"24","AC",3,"SRE_PLTR",0.466791979949875
"25","AC",4,"GAM",0.239617940199335
"26","AC",4,"RE_boosting",0.496797549429128
"27","AC",4,"RE_RF",-0.164779874213837
"28","AC",4,"RE_bag",0.278977272727273
"29","AC",4,"SRE_RF",0.602129075182967
"30","AC",4,"SRE_bag",0.533132530120482
"31","AC",4,"SRE_boosting",0.606696428571429
"32","AC",4,"SRE_PLTR",0.439184746877055
"33","AC",5,"GAM",0.320855614973262
"34","AC",5,"RE_boosting",0.490154711673699
"35","AC",5,"RE_RF",0.20979020979021
"36","AC",5,"RE_bag",0.395325203252032
"37","AC",5,"SRE_RF",-0.0401234567901234
"38","AC",5,"SRE_bag",0.473752151462995
"39","AC",5,"SRE_boosting",0.365566037735849
"40","AC",5,"SRE_PLTR",0.197722567287785
"41","AC",6,"GAM",0.170383076043453
"42","AC",6,"RE_boosting",0.336329233680227
"43","AC",6,"RE_RF",0.500309214594929
"44","AC",6,"RE_bag",0.0985915492957747
"45","AC",6,"SRE_RF",0.36529242569511
"46","AC",6,"SRE_bag",0.35374149659864
"47","AC",6,"SRE_boosting",0.444950331125828
"48","AC",6,"SRE_PLTR",0.545454545454545
