"","dataset","nr_fold","algorithm","metric"
"1","AC",1,"LRR",0.19047619047619
"2","AC",1,"GAM",0.630021141649049
"3","AC",1,"LDA",0.205959684487292
"4","AC",1,"CTREE",0.314634146341463
"5","AC",1,"RF",0.602601156069364
"6","AC",1,"XGB",0.60969696969697
"7","AC",1,"LGBM",0.489825581395349
"8","AC",1,"RE_boosting",0.564459930313589
"9","AC",1,"RE_RF",0.140361445783133
"10","AC",1,"RE_bag",0.378048780487805
"11","AC",1,"SRE_RF",0.234417344173442
"12","AC",1,"SRE_bag",0.506678949792722
"13","AC",1,"SRE_boosting",0.567901234567901
"14","AC",1,"SRE_PLTR",0.523742026931254
"15","AC",1,"PLTR",0.323780487804878
"16","AC",2,"LRR",0.096424702058505
"17","AC",2,"GAM",0.428418803418803
"18","AC",2,"LDA",0.340053050397878
"19","AC",2,"CTREE",0.616941015089163
"20","AC",2,"RF",0.437086092715232
"21","AC",2,"XGB",0.42443919716647
"22","AC",2,"LGBM",0.407888290053895
"23","AC",2,"RE_boosting",0.442763157894737
"24","AC",2,"RE_RF",0.356120826709062
"25","AC",2,"RE_bag",0.236621534493875
"26","AC",2,"SRE_RF",0.136577708006279
"27","AC",2,"SRE_bag",0.38938492063492
"28","AC",2,"SRE_boosting",0.502723311546841
"29","AC",2,"SRE_PLTR",0.398555087296809
"30","AC",2,"PLTR",0.356578947368421
"31","AC",3,"LRR",0.617985360752876
"32","AC",3,"GAM",0.0590123456790124
"33","AC",3,"LDA",0.494802494802495
"34","AC",3,"CTREE",0.283943329397875
"35","AC",3,"RF",0.65134398130113
"36","AC",3,"XGB",0.611781206171108
"37","AC",3,"LGBM",0.610062893081761
"38","AC",3,"RE_boosting",0.470562770562771
"39","AC",3,"RE_RF",0.33508956796628
"40","AC",3,"RE_bag",0.642857142857143
"41","AC",3,"SRE_RF",-0.0178082191780822
"42","AC",3,"SRE_bag",0.569230769230769
"43","AC",3,"SRE_boosting",0.526737967914438
"44","AC",3,"SRE_PLTR",0.313725490196078
"45","AC",3,"PLTR",0.56698930208864
"46","AC",4,"LRR",0.324166666666667
"47","AC",4,"GAM",0.239617940199335
"48","AC",4,"LDA",0.158931082981716
"49","AC",4,"CTREE",0.3
"50","AC",4,"RF",0.424319727891157
"51","AC",4,"XGB",0.423941798941799
"52","AC",4,"LGBM",0.459561128526646
"53","AC",4,"RE_boosting",0.496797549429128
"54","AC",4,"RE_RF",0.392638036809816
"55","AC",4,"RE_bag",0.278977272727273
"56","AC",4,"SRE_RF",0.379545454545455
"57","AC",4,"SRE_bag",0.410714285714286
"58","AC",4,"SRE_boosting",0.378824969400245
"59","AC",4,"SRE_PLTR",0.314519427402863
"60","AC",4,"PLTR",0.439239168721381
"61","AC",5,"LRR",0.420957542908762
"62","AC",5,"GAM",0.194444444444444
"63","AC",5,"LDA",-0.0527777777777778
"64","AC",5,"CTREE",0.407407407407407
"65","AC",5,"RF",0.236196319018405
"66","AC",5,"XGB",0.397415694925938
"67","AC",5,"LGBM",0.426900584795322
"68","AC",5,"RE_boosting",0.490154711673699
"69","AC",5,"RE_RF",0.24343339587242
"70","AC",5,"RE_bag",0.395325203252032
"71","AC",5,"SRE_RF",0.157190635451505
"72","AC",5,"SRE_bag",0.157349896480331
"73","AC",5,"SRE_boosting",0.440993788819876
"74","AC",5,"SRE_PLTR",0.0270833333333333
"75","AC",5,"PLTR",0.199792960662526
"76","AC",6,"LRR",0.131313131313131
"77","AC",6,"GAM",0.170383076043453
"78","AC",6,"LDA",0.344074471894021
"79","AC",6,"CTREE",0.614616755793226
"80","AC",6,"RF",0.451972555746141
"81","AC",6,"XGB",0.539243365330322
"82","AC",6,"LGBM",0.593418259023355
"83","AC",6,"RE_boosting",0.336329233680227
"84","AC",6,"RE_RF",0.462837837837838
"85","AC",6,"RE_bag",0.0985915492957747
"86","AC",6,"SRE_RF",0.00138888888888888
"87","AC",6,"SRE_bag",0.0985915492957747
"88","AC",6,"SRE_boosting",0.505069124423963
"89","AC",6,"SRE_PLTR",0.59750122488976
"90","AC",6,"PLTR",0.499677419354839
