"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"LRR",0.750641711229946
"2","GC",2,"LRR",0.762910602910603
"3","GC",3,"LRR",0.767235258779196
"4","GC",4,"LRR",0.77525084957069
"5","GC",5,"LRR",0.755641633423908
"6","GC",6,"LRR",0.773577442504379
"7","GC",7,"LRR",0.758637832463336
"8","GC",8,"LRR",0.750317842843318
"9","GC",9,"LRR",0.761481481481482
"10","GC",10,"LRR",0.779665309814564
"11","AC",1,"LRR",0.924461412598855
"12","AC",2,"LRR",0.918183361629881
"13","AC",3,"LRR",0.892565359477124
"14","AC",4,"LRR",0.936186849799415
"15","AC",5,"LRR",0.899129666145373
"16","AC",6,"LRR",0.932802287581699
"17","AC",7,"LRR",0.89971540859195
"18","AC",8,"LRR",0.938188034188034
"19","AC",9,"LRR",0.925772495755518
"20","AC",10,"LRR",0.931347150259067
"21","GMSC",1,"LRR",0.859730713192776
"22","GMSC",2,"LRR",0.854619776502311
"23","GMSC",3,"LRR",0.85861094939771
"24","GMSC",4,"LRR",0.856025911367422
"25","GMSC",5,"LRR",0.857074749873129
"26","GMSC",6,"LRR",0.857666675397695
"27","TH02",1,"LRR",0.608885379436456
"28","TH02",2,"LRR",0.635738784843206
"29","TH02",3,"LRR",0.631562275017999
"30","TH02",4,"LRR",0.660756843588292
"31","TH02",5,"LRR",0.621936291556545
"32","TH02",6,"LRR",0.624045827401532
"33","TH02",7,"LRR",0.570766452648475
"34","TH02",8,"LRR",0.616185501517611
"35","TH02",9,"LRR",0.612604387637282
"36","TH02",10,"LRR",0.652299820062978
