"","dataset","nr_fold","algorithm","metric"
"1","BF",1,"LRR",0.809145125470587
"2","BF",1,"GAM",0.832303048167444
"3","BF",1,"LDA",0.808079906849154
"4","BF",1,"CTREE",0.770211065420669
"5","BF",1,"RF",0.813614562127388
"6","BF",1,"XGB",0.880403190614117
"7","BF",1,"LGBM",0.877313106170199
"8","BF",1,"RE_boosting",0.874829935441086
"9","BF",1,"RE_RF",0.871752738609821
"10","BF",1,"RE_bag",0.856363040806871
"11","BF",1,"SRE_RF",0.798304518897394
"12","BF",1,"SRE_bag",0.833556718619324
"13","BF",1,"SRE_boosting",0.85103118840028
"14","BF",1,"SRE_PLTR",0.841008024686812
"15","BF",1,"PLTR",0.841979143279348
"16","BF",2,"LRR",0.803686819897132
"17","BF",2,"GAM",0.823975009530605
"18","BF",2,"LDA",0.797189630449358
"19","BF",2,"CTREE",0.75647619754923
"20","BF",2,"RF",0.817093273068159
"21","BF",2,"XGB",0.880858125505664
"22","BF",2,"LGBM",0.879196678939919
"23","BF",2,"RE_boosting",0.860017233199111
"24","BF",2,"RE_RF",0.867518191298967
"25","BF",2,"RE_bag",0.837899047644964
"26","BF",2,"SRE_RF",0.795596324877614
"27","BF",2,"SRE_bag",0.820345663026517
"28","BF",2,"SRE_boosting",0.845744789410786
"29","BF",2,"SRE_PLTR",0.837421037076008
"30","BF",2,"PLTR",0.836946270566391
"31","BF",3,"LRR",0.812717234519832
"32","BF",3,"GAM",0.834600998483398
"33","BF",3,"LDA",0.809500535372388
"34","BF",3,"CTREE",0.772937289525154
"35","BF",3,"RF",0.813702788675995
"36","BF",3,"XGB",0.877037557620363
"37","BF",3,"LGBM",0.883403936796397
"38","BF",3,"RE_boosting",0.865419801953118
"39","BF",3,"RE_RF",0.864726225104185
"40","BF",3,"RE_bag",0.859263534661701
"41","BF",3,"SRE_RF",0.801742771848311
"42","BF",3,"SRE_bag",0.835207152302844
"43","BF",3,"SRE_boosting",0.843817165474373
"44","BF",3,"SRE_PLTR",0.840150799730263
"45","BF",3,"PLTR",0.839611867975989
"46","BF",4,"LRR",0.799609806231619
"47","BF",4,"GAM",0.821495686048585
"48","BF",4,"LDA",0.79361461907019
"49","BF",4,"CTREE",0.759538184553702
"50","BF",4,"RF",0.806873151717071
"51","BF",4,"XGB",0.882282571311144
"52","BF",4,"LGBM",0.880611210431314
"53","BF",4,"RE_boosting",0.865631926695086
"54","BF",4,"RE_RF",0.862287458576363
"55","BF",4,"RE_bag",0.847844910360342
"56","BF",4,"SRE_RF",0.791933827851417
"57","BF",4,"SRE_bag",0.828631309182521
"58","BF",4,"SRE_boosting",0.845767155850417
"59","BF",4,"SRE_PLTR",0.836495386309866
"60","BF",4,"PLTR",0.83599783273665
"61","BF",5,"LRR",0.813429054921359
"62","BF",5,"GAM",0.828264780727399
"63","BF",5,"LDA",0.804701003018486
"64","BF",5,"CTREE",0.778123589799578
"65","BF",5,"RF",0.817560629128857
"66","BF",5,"XGB",0.886364565603618
"67","BF",5,"LGBM",0.880073075432174
"68","BF",5,"RE_boosting",0.861179862619901
"69","BF",5,"RE_RF",0.863990703316228
"70","BF",5,"RE_bag",0.857745486145914
"71","BF",5,"SRE_RF",0.802285577559188
"72","BF",5,"SRE_bag",0.836511974564402
"73","BF",5,"SRE_boosting",0.842593613998248
"74","BF",5,"SRE_PLTR",0.843092253622414
"75","BF",5,"PLTR",0.842591094025415
"76","BF",6,"LRR",0.799826997088864
"77","BF",6,"GAM",0.825232571194956
"78","BF",6,"LDA",0.800715455052599
"79","BF",6,"CTREE",0.764689655220158
"80","BF",6,"RF",0.800869426321868
"81","BF",6,"XGB",0.877060533963425
"82","BF",6,"LGBM",0.872997523872627
"83","BF",6,"RE_boosting",0.823996364100483
"84","BF",6,"RE_RF",0.860783791485707
"85","BF",6,"RE_bag",0.80788252970799
"86","BF",6,"SRE_RF",0.789044665702665
"87","BF",6,"SRE_bag",0.825563768335577
"88","BF",6,"SRE_boosting",0.844080347513753
"89","BF",6,"SRE_PLTR",0.832121691993519
"90","BF",6,"PLTR",0.831050186640996
