"","dataset","nr_fold","algorithm","metric"
"1","BF",1,"GAM",0.872131876753006
"2","BF",1,"RE_boosting",0.867651078855258
"3","BF",1,"RE_RF",0.867673077490776
"4","BF",1,"RE_bag",0.856363040806871
"5","BF",1,"SRE_RF",0.851249475290056
"6","BF",1,"SRE_bag",0.83971403913894
"7","BF",1,"SRE_boosting",0.850694946022776
"8","BF",1,"SRE_PLTR",0.848417788266627
"9","BF",2,"GAM",0.860427118521928
"10","BF",2,"RE_boosting",0.861688333203571
"11","BF",2,"RE_RF",0.862295066787308
"12","BF",2,"RE_bag",0.837899047644964
"13","BF",2,"SRE_RF",0.843773661160963
"14","BF",2,"SRE_bag",0.823557880191786
"15","BF",2,"SRE_boosting",0.84748609337902
"16","BF",2,"SRE_PLTR",0.842169741530989
"17","BF",3,"GAM",0.871547531869909
"18","BF",3,"RE_boosting",0.867220841250581
"19","BF",3,"RE_RF",0.867502811743186
"20","BF",3,"RE_bag",0.859263534661701
"21","BF",3,"SRE_RF",0.850713000372734
"22","BF",3,"SRE_bag",0.839196171470781
"23","BF",3,"SRE_boosting",0.845536589129309
"24","BF",3,"SRE_PLTR",0.846409539301241
"25","BF",4,"GAM",0.86213490617416
"26","BF",4,"RE_boosting",0.869039263740099
"27","BF",4,"RE_RF",0.847594545974585
"28","BF",4,"RE_bag",0.847844910360342
"29","BF",4,"SRE_RF",0.846134875565249
"30","BF",4,"SRE_bag",0.833400774545172
"31","BF",4,"SRE_boosting",0.848880723548947
"32","BF",4,"SRE_PLTR",0.841290316762862
"33","BF",5,"GAM",0.865346165202993
"34","BF",5,"RE_boosting",0.861179862619901
"35","BF",5,"RE_RF",0.864316598802748
"36","BF",5,"RE_bag",0.857745486145914
"37","BF",5,"SRE_RF",0.851748108303644
"38","BF",5,"SRE_bag",0.842117118635344
"39","BF",5,"SRE_boosting",0.848871370317757
"40","BF",5,"SRE_PLTR",0.849916025055334
"41","BF",6,"GAM",0.868568623544054
"42","BF",6,"RE_boosting",0.820538131002142
"43","BF",6,"RE_RF",0.851685483489295
"44","BF",6,"RE_bag",0.80788252970799
"45","BF",6,"SRE_RF",0.840287739040946
"46","BF",6,"SRE_bag",0.831071081168442
"47","BF",6,"SRE_boosting",0.848279927256836
"48","BF",6,"SRE_PLTR",0.838709793139143
