"","dataset","nr_fold","algorithm","metric"
"1","BF",1,"LRR",0.809145125470587
"2","BF",1,"GAM",0.837823462555018
"3","BF",1,"LDA",0.808079906849154
"4","BF",1,"CTREE",0.770211065420669
"5","BF",1,"RF",0.813614562127388
"6","BF",1,"XGB",0.880403190614117
"7","BF",1,"LGBM",0.877313106170199
"8","BF",1,"RE_boosting",0.867651078855258
"9","BF",1,"RE_RF",0.861679188894258
"10","BF",1,"RE_bag",0.856363040806871
"11","BF",1,"SRE_RF",0.848396356119577
"12","BF",1,"SRE_bag",0.838676893168269
"13","BF",1,"SRE_boosting",0.850185106401326
"14","BF",1,"SRE_PLTR",0.84795068705295
"15","BF",1,"PLTR",0.841979143279348
"16","BF",2,"LRR",0.803686819897132
"17","BF",2,"GAM",0.829362195256845
"18","BF",2,"LDA",0.797189630449358
"19","BF",2,"CTREE",0.75647619754923
"20","BF",2,"RF",0.817093273068159
"21","BF",2,"XGB",0.880858125505664
"22","BF",2,"LGBM",0.879196678939919
"23","BF",2,"RE_boosting",0.861688333203571
"24","BF",2,"RE_RF",0.863122742859101
"25","BF",2,"RE_bag",0.837899047644964
"26","BF",2,"SRE_RF",0.846130171062084
"27","BF",2,"SRE_bag",0.823756681187454
"28","BF",2,"SRE_boosting",0.847939820746509
"29","BF",2,"SRE_PLTR",0.842855308906259
"30","BF",2,"PLTR",0.836946270566391
"31","BF",3,"LRR",0.812717234519832
"32","BF",3,"GAM",0.838369399391923
"33","BF",3,"LDA",0.809500535372388
"34","BF",3,"CTREE",0.772937289525154
"35","BF",3,"RF",0.813702788675995
"36","BF",3,"XGB",0.877037557620363
"37","BF",3,"LGBM",0.883403936796397
"38","BF",3,"RE_boosting",0.867220841250581
"39","BF",3,"RE_RF",0.866113035354435
"40","BF",3,"RE_bag",0.859263534661701
"41","BF",3,"SRE_RF",0.846922525149264
"42","BF",3,"SRE_bag",0.839052142029702
"43","BF",3,"SRE_boosting",0.845293990222484
"44","BF",3,"SRE_PLTR",0.846318057345386
"45","BF",3,"PLTR",0.839611867975989
"46","BF",4,"LRR",0.799609806231619
"47","BF",4,"GAM",0.829312897249059
"48","BF",4,"LDA",0.79361461907019
"49","BF",4,"CTREE",0.759538184553702
"50","BF",4,"RF",0.806873151717071
"51","BF",4,"XGB",0.882282571311144
"52","BF",4,"LGBM",0.880611210431314
"53","BF",4,"RE_boosting",0.869039263740099
"54","BF",4,"RE_RF",0.859598732410036
"55","BF",4,"RE_bag",0.847844910360342
"56","BF",4,"SRE_RF",0.842873756401835
"57","BF",4,"SRE_bag",0.833144409034633
"58","BF",4,"SRE_boosting",0.849081618345229
"59","BF",4,"SRE_PLTR",0.841930944771363
"60","BF",4,"PLTR",0.83599783273665
"61","BF",5,"LRR",0.813429054921359
"62","BF",5,"GAM",0.832603591200683
"63","BF",5,"LDA",0.804701003018486
"64","BF",5,"CTREE",0.778123589799578
"65","BF",5,"RF",0.817560629128857
"66","BF",5,"XGB",0.886364565603618
"67","BF",5,"LGBM",0.880073075432174
"68","BF",5,"RE_boosting",0.861179862619901
"69","BF",5,"RE_RF",0.863304325716064
"70","BF",5,"RE_bag",0.857745486145914
"71","BF",5,"SRE_RF",0.849619707749931
"72","BF",5,"SRE_bag",0.841945854981737
"73","BF",5,"SRE_boosting",0.848732047319798
"74","BF",5,"SRE_PLTR",0.84994393375445
"75","BF",5,"PLTR",0.842591094025415
"76","BF",6,"LRR",0.799826997088864
"77","BF",6,"GAM",0.832487078748705
"78","BF",6,"LDA",0.800715455052599
"79","BF",6,"CTREE",0.764689655220158
"80","BF",6,"RF",0.800869426321868
"81","BF",6,"XGB",0.877060533963425
"82","BF",6,"LGBM",0.872997523872627
"83","BF",6,"RE_boosting",0.820538131002142
"84","BF",6,"RE_RF",0.857365742591505
"85","BF",6,"RE_bag",0.80788252970799
"86","BF",6,"SRE_RF",0.838775623487664
"87","BF",6,"SRE_bag",0.830203045717226
"88","BF",6,"SRE_boosting",0.848008109594062
"89","BF",6,"SRE_PLTR",0.83840748331207
"90","BF",6,"PLTR",0.831050186640996
