"","dataset","nr_fold","algorithm","metric"
"1","BF",1,"GAM",0.105651110217666
"2","BF",1,"RE_boosting",0.101792011982096
"3","BF",1,"RE_RF",0.102198284768396
"4","BF",1,"RE_bag",0.109039282079593
"5","BF",1,"SRE_RF",0.109590179990851
"6","BF",1,"SRE_bag",0.113953618977375
"7","BF",1,"SRE_boosting",0.109349867554297
"8","BF",1,"SRE_PLTR",0.113080909017522
"9","BF",2,"GAM",0.111352131370048
"10","BF",2,"RE_boosting",0.107307739719215
"11","BF",2,"RE_RF",0.105843521812512
"12","BF",2,"RE_bag",0.120112250663957
"13","BF",2,"SRE_RF",0.112821616887272
"14","BF",2,"SRE_bag",0.12416423234668
"15","BF",2,"SRE_boosting",0.112272839867186
"16","BF",2,"SRE_PLTR",0.116691381772563
"17","BF",3,"GAM",0.106694048103469
"18","BF",3,"RE_boosting",0.106587613548459
"19","BF",3,"RE_RF",0.10406002902518
"20","BF",3,"RE_bag",0.109468223592382
"21","BF",3,"SRE_RF",0.11023211925715
"22","BF",3,"SRE_bag",0.115328805381316
"23","BF",3,"SRE_boosting",0.111253720668559
"24","BF",3,"SRE_PLTR",0.114744151205312
"25","BF",4,"GAM",0.110176777117543
"26","BF",4,"RE_boosting",0.105285562720411
"27","BF",4,"RE_RF",0.111156851887285
"28","BF",4,"RE_bag",0.11208844917154
"29","BF",4,"SRE_RF",0.111511411361457
"30","BF",4,"SRE_bag",0.116335140246478
"31","BF",4,"SRE_boosting",0.112990563573721
"32","BF",4,"SRE_PLTR",0.115957172140655
"33","BF",5,"GAM",0.108077796314193
"34","BF",5,"RE_boosting",0.10334362395188
"35","BF",5,"RE_RF",0.10240482369285
"36","BF",5,"RE_bag",0.106671501239687
"37","BF",5,"SRE_RF",0.10806755591092
"38","BF",5,"SRE_bag",0.112389028874929
"39","BF",5,"SRE_boosting",0.108310898250441
"40","BF",5,"SRE_PLTR",0.1118811985228
"41","BF",6,"GAM",0.10925717280326
"42","BF",6,"RE_boosting",0.109042085114473
"43","BF",6,"RE_RF",0.106860409043669
"44","BF",6,"RE_bag",0.123514804281109
"45","BF",6,"SRE_RF",0.114685567628668
"46","BF",6,"SRE_bag",0.119061392810401
"47","BF",6,"SRE_boosting",0.113284725154483
"48","BF",6,"SRE_PLTR",0.117931762757618
