"","dataset","nr_fold","algorithm","metric"
"1","BF",1,"LRR",0.0238578849470308
"2","BF",1,"GAM",0.0313874446282067
"3","BF",1,"LDA",0.0289358528927336
"4","BF",1,"CTREE",0.0245279005068266
"5","BF",1,"RF",0.028351413465541
"6","BF",1,"XGB",0.0374329469910735
"7","BF",1,"LGBM",0.0375950958936145
"8","BF",1,"RE_boosting",0.0362580012481713
"9","BF",1,"RE_RF",0.0358912079552216
"10","BF",1,"RE_bag",0.0348706120751824
"11","BF",1,"SRE_RF",0.0268504933585643
"12","BF",1,"SRE_bag",0.0313875355792843
"13","BF",1,"SRE_boosting",0.0329002079327972
"14","BF",1,"SRE_PLTR",0.0321047195970974
"15","BF",1,"PLTR",0.032239420109288
"16","BF",2,"LRR",0.0238434900901716
"17","BF",2,"GAM",0.0303497997249643
"18","BF",2,"LDA",0.027874688803651
"19","BF",2,"CTREE",0.0234040295054957
"20","BF",2,"RF",0.0283162284070272
"21","BF",2,"XGB",0.0372248036789118
"22","BF",2,"LGBM",0.0369662907238038
"23","BF",2,"RE_boosting",0.0361910186216789
"24","BF",2,"RE_RF",0.0351194564870231
"25","BF",2,"RE_bag",0.0316164077814568
"26","BF",2,"SRE_RF",0.0262243573965012
"27","BF",2,"SRE_bag",0.0289743790451064
"28","BF",2,"SRE_boosting",0.0324848837733245
"29","BF",2,"SRE_PLTR",0.0317160471543494
"30","BF",2,"PLTR",0.031779754216449
"31","BF",3,"LRR",0.0254455364000401
"32","BF",3,"GAM",0.0324598188494306
"33","BF",3,"LDA",0.0299063235968544
"34","BF",3,"CTREE",0.025473631186361
"35","BF",3,"RF",0.0297036541718316
"36","BF",3,"XGB",0.0379937619345743
"37","BF",3,"LGBM",0.0377991579968015
"38","BF",3,"RE_boosting",0.036673164993597
"39","BF",3,"RE_RF",0.036651057737419
"40","BF",3,"RE_bag",0.0358160815670309
"41","BF",3,"SRE_RF",0.0279454675385904
"42","BF",3,"SRE_bag",0.0320089034727152
"43","BF",3,"SRE_boosting",0.0331236379835195
"44","BF",3,"SRE_PLTR",0.032771929713248
"45","BF",3,"PLTR",0.0327833269593276
"46","BF",4,"LRR",0.0219940698071582
"47","BF",4,"GAM",0.0294745959573007
"48","BF",4,"LDA",0.0269453557199143
"49","BF",4,"CTREE",0.0228322724851192
"50","BF",4,"RF",0.0275510026490528
"51","BF",4,"XGB",0.0369959134963047
"52","BF",4,"LGBM",0.0373212748853312
"53","BF",4,"RE_boosting",0.0330849233042899
"54","BF",4,"RE_RF",0.0345743018325076
"55","BF",4,"RE_bag",0.0330104710205818
"56","BF",4,"SRE_RF",0.0253994252035336
"57","BF",4,"SRE_bag",0.0299485834917332
"58","BF",4,"SRE_boosting",0.0308688737434338
"59","BF",4,"SRE_PLTR",0.0309862994257288
"60","BF",4,"PLTR",0.0309340789166702
"61","BF",5,"LRR",0.0245331377528035
"62","BF",5,"GAM",0.0310155170586134
"63","BF",5,"LDA",0.0287981749459447
"64","BF",5,"CTREE",0.0249557102850293
"65","BF",5,"RF",0.0290105477239537
"66","BF",5,"XGB",0.0379169933746695
"67","BF",5,"LGBM",0.0386218929304864
"68","BF",5,"RE_boosting",0.036809879132025
"69","BF",5,"RE_RF",0.0363064750888542
"70","BF",5,"RE_bag",0.0350987162918429
"71","BF",5,"SRE_RF",0.0274934887409657
"72","BF",5,"SRE_bag",0.0319157186941063
"73","BF",5,"SRE_boosting",0.0333240897166212
"74","BF",5,"SRE_PLTR",0.0327494860427383
"75","BF",5,"PLTR",0.0326408926073964
"76","BF",6,"LRR",0.0228382085931426
"77","BF",6,"GAM",0.0305329802338944
"78","BF",6,"LDA",0.0280941742775337
"79","BF",6,"CTREE",0.0233707269212928
"80","BF",6,"RF",0.0277617554841273
"81","BF",6,"XGB",0.0363675449217816
"82","BF",6,"LGBM",0.036491395431578
"83","BF",6,"RE_boosting",0.036123191421049
"84","BF",6,"RE_RF",0.0351533055678534
"85","BF",6,"RE_bag",0.0278746696780469
"86","BF",6,"SRE_RF",0.0256475166578665
"87","BF",6,"SRE_bag",0.0301498518593446
"88","BF",6,"SRE_boosting",0.0320111336617976
"89","BF",6,"SRE_PLTR",0.0307705080166782
"90","BF",6,"PLTR",0.0305773610527904
