"","dataset","nr_fold","algorithm","metric"
"1","BF",1,"RE_RF",0.0363560417788935
"2","BF",1,"SRE_RF",0.0334098333114124
"3","BF",2,"RE_RF",0.0354884923460686
"4","BF",2,"SRE_RF",0.0324905180003687
"5","BF",3,"RE_RF",0.0364972374658984
"6","BF",3,"SRE_RF",0.033647704289087
"7","BF",4,"RE_RF",0.0322608792188359
"8","BF",4,"SRE_RF",0.0318055162675777
"9","BF",5,"RE_RF",0.0359285329243024
"10","BF",5,"SRE_RF",0.0335790629814365
"11","BF",6,"RE_RF",0.0358104533296885
"12","BF",6,"SRE_RF",0.0320192259308065
