"","dataset","nr_fold","algorithm","metric"
"1","BF",1,"GAM",0.0364968224437241
"2","BF",1,"RE_boosting",0.0362580012481713
"3","BF",1,"RE_RF",0.0364474173532214
"4","BF",1,"RE_bag",0.0348706120751824
"5","BF",1,"SRE_RF",0.0336932379803059
"6","BF",1,"SRE_bag",0.0322081353874982
"7","BF",1,"SRE_boosting",0.0336184652314762
"8","BF",1,"SRE_PLTR",0.0331427084050256
"9","BF",2,"GAM",0.0350161794283286
"10","BF",2,"RE_boosting",0.0361910186216789
"11","BF",2,"RE_RF",0.0354929783140749
"12","BF",2,"RE_bag",0.0316164077814568
"13","BF",2,"SRE_RF",0.0326502124599818
"14","BF",2,"SRE_bag",0.0294905677029719
"15","BF",2,"SRE_boosting",0.0331233469663897
"16","BF",2,"SRE_PLTR",0.0323914679240109
"17","BF",3,"GAM",0.0367300858175274
"18","BF",3,"RE_boosting",0.036673164993597
"19","BF",3,"RE_RF",0.0369655393894897
"20","BF",3,"RE_bag",0.0358160815670309
"21","BF",3,"SRE_RF",0.0341441697355785
"22","BF",3,"SRE_bag",0.032672081613309
"23","BF",3,"SRE_boosting",0.0337393116190364
"24","BF",3,"SRE_PLTR",0.0336409747492973
"25","BF",4,"GAM",0.0343521754435344
"26","BF",4,"RE_boosting",0.0330849233042899
"27","BF",4,"RE_RF",0.0322768988850481
"28","BF",4,"RE_bag",0.0330104710205818
"29","BF",4,"SRE_RF",0.0321777240721888
"30","BF",4,"SRE_bag",0.0306431630395344
"31","BF",4,"SRE_boosting",0.0312685945554544
"32","BF",4,"SRE_PLTR",0.0316990807562837
"33","BF",5,"GAM",0.0352371185936019
"34","BF",5,"RE_boosting",0.036809879132025
"35","BF",5,"RE_RF",0.0360360764725114
"36","BF",5,"RE_bag",0.0350987162918429
"37","BF",5,"SRE_RF",0.0335486447525525
"38","BF",5,"SRE_bag",0.0325932334132271
"39","BF",5,"SRE_boosting",0.0341237099922865
"40","BF",5,"SRE_PLTR",0.0336970143787188
"41","BF",6,"GAM",0.0357011214485176
"42","BF",6,"RE_boosting",0.0313609257495624
"43","BF",6,"RE_RF",0.035627082907818
"44","BF",6,"RE_bag",0.0278746696780469
"45","BF",6,"SRE_RF",0.0319861522383234
"46","BF",6,"SRE_bag",0.0308620692786116
"47","BF",6,"SRE_boosting",0.0327060108687092
"48","BF",6,"SRE_PLTR",0.0317266033057801
