"","dataset","nr_fold","algorithm","metric"
"1","BF",1,"LRR",0.524885031356242
"2","BF",1,"GAM",0.454836946399876
"3","BF",1,"LDA",0.482584010987121
"4","BF",1,"CTREE",0.28465557220224
"5","BF",1,"RF",0.373969983407591
"6","BF",1,"XGB",0.490243978261643
"7","BF",1,"LGBM",0.506168131670338
"8","BF",1,"RE_boosting",0.482009547269117
"9","BF",1,"RE_RF",0.470141317058438
"10","BF",1,"RE_bag",0.468917293487836
"11","BF",1,"SRE_RF",0.435697543049236
"12","BF",1,"SRE_bag",0.443350869727892
"13","BF",1,"SRE_boosting",0.476691418610424
"14","BF",1,"SRE_PLTR",0.475407925298957
"15","BF",1,"PLTR",0.476834391768449
"16","BF",2,"LRR",0.526843101842963
"17","BF",2,"GAM",0.458170943749528
"18","BF",2,"LDA",0.483836579784562
"19","BF",2,"CTREE",0.288027070258454
"20","BF",2,"RF",0.381022393385125
"21","BF",2,"XGB",0.478233541270722
"22","BF",2,"LGBM",0.458855355660475
"23","BF",2,"RE_boosting",0.473985101619737
"24","BF",2,"RE_RF",0.409076682316119
"25","BF",2,"RE_bag",0.477962035174013
"26","BF",2,"SRE_RF",0.44464918413965
"27","BF",2,"SRE_bag",0.456227424163705
"28","BF",2,"SRE_boosting",0.461405711793572
"29","BF",2,"SRE_PLTR",0.47349064563283
"30","BF",2,"PLTR",0.472814055293663
"31","BF",3,"LRR",0.544538521734432
"32","BF",3,"GAM",0.465446435720195
"33","BF",3,"LDA",0.502639569854299
"34","BF",3,"CTREE",0.314332153792509
"35","BF",3,"RF",0.379063243566798
"36","BF",3,"XGB",0.509560451451241
"37","BF",3,"LGBM",0.502654746168949
"38","BF",3,"RE_boosting",0.482659637420434
"39","BF",3,"RE_RF",0.480142085172761
"40","BF",3,"RE_bag",0.486391444661676
"41","BF",3,"SRE_RF",0.450798251706288
"42","BF",3,"SRE_bag",0.456686308079588
"43","BF",3,"SRE_boosting",0.46035122106139
"44","BF",3,"SRE_PLTR",0.477437509657328
"45","BF",3,"PLTR",0.476317763483241
"46","BF",4,"LRR",0.501898184494895
"47","BF",4,"GAM",0.434868517794197
"48","BF",4,"LDA",0.452154137053713
"49","BF",4,"CTREE",0.296122020684461
"50","BF",4,"RF",0.365893738648535
"51","BF",4,"XGB",0.511647752838626
"52","BF",4,"LGBM",0.474426549510182
"53","BF",4,"RE_boosting",0.47408937456778
"54","BF",4,"RE_RF",0.47211231048628
"55","BF",4,"RE_bag",0.460038646406907
"56","BF",4,"SRE_RF",0.384453605035424
"57","BF",4,"SRE_bag",0.437349681150594
"58","BF",4,"SRE_boosting",0.460170486528973
"59","BF",4,"SRE_PLTR",0.4765930826694
"60","BF",4,"PLTR",0.477011206150064
"61","BF",5,"LRR",0.534688246724722
"62","BF",5,"GAM",0.443011805944623
"63","BF",5,"LDA",0.466785003228584
"64","BF",5,"CTREE",0.328140149741523
"65","BF",5,"RF",0.366525249437442
"66","BF",5,"XGB",0.517458542808322
"67","BF",5,"LGBM",0.509298557749602
"68","BF",5,"RE_boosting",0.443823394628059
"69","BF",5,"RE_RF",0.443456833921472
"70","BF",5,"RE_bag",0.456733600501963
"71","BF",5,"SRE_RF",0.438685527675956
"72","BF",5,"SRE_bag",0.449940496148439
"73","BF",5,"SRE_boosting",0.448599007685886
"74","BF",5,"SRE_PLTR",0.468330585993453
"75","BF",5,"PLTR",0.466985320070966
"76","BF",6,"LRR",0.513045083821892
"77","BF",6,"GAM",0.46059353227558
"78","BF",6,"LDA",0.489510546104929
"79","BF",6,"CTREE",0.359404947746093
"80","BF",6,"RF",0.355908508026686
"81","BF",6,"XGB",0.499800739224679
"82","BF",6,"LGBM",0.484076185177433
"83","BF",6,"RE_boosting",0.502077565769932
"84","BF",6,"RE_RF",0.497125084705008
"85","BF",6,"RE_bag",0.386030458730501
"86","BF",6,"SRE_RF",0.38134155201529
"87","BF",6,"SRE_bag",0.440599921959842
"88","BF",6,"SRE_boosting",0.469678817432748
"89","BF",6,"SRE_PLTR",0.472035542368023
"90","BF",6,"PLTR",0.469565962060956
