"","dataset","nr_fold","algorithm","metric"
"1","BF",1,"GAM",0.492310713703799
"2","BF",1,"RE_boosting",0.478630850093875
"3","BF",1,"RE_RF",0.4717754884491
"4","BF",1,"RE_bag",0.468917293487836
"5","BF",1,"SRE_RF",0.476063304454365
"6","BF",1,"SRE_bag",0.455073286495677
"7","BF",1,"SRE_boosting",0.486463532280286
"8","BF",1,"SRE_PLTR",0.480204921893798
"9","BF",2,"GAM",0.479902157546234
"10","BF",2,"RE_boosting",0.468095608747706
"11","BF",2,"RE_RF",0.472894964509226
"12","BF",2,"RE_bag",0.477962035174013
"13","BF",2,"SRE_RF",0.473113734774557
"14","BF",2,"SRE_bag",0.46136955209859
"15","BF",2,"SRE_boosting",0.46411806854425
"16","BF",2,"SRE_PLTR",0.485353834198001
"17","BF",3,"GAM",0.488348845603751
"18","BF",3,"RE_boosting",0.482659637420434
"19","BF",3,"RE_RF",0.477106727808781
"20","BF",3,"RE_bag",0.486391444661676
"21","BF",3,"SRE_RF",0.467034899488118
"22","BF",3,"SRE_bag",0.457150683804926
"23","BF",3,"SRE_boosting",0.46456856382541
"24","BF",3,"SRE_PLTR",0.473601573842491
"25","BF",4,"GAM",0.483019426067169
"26","BF",4,"RE_boosting",0.468059650054926
"27","BF",4,"RE_RF",0.466435345979161
"28","BF",4,"RE_bag",0.460038646406907
"29","BF",4,"SRE_RF",0.468307228273708
"30","BF",4,"SRE_bag",0.45289874986139
"31","BF",4,"SRE_boosting",0.467085146388436
"32","BF",4,"SRE_PLTR",0.484417567958425
"33","BF",5,"GAM",0.474433003771783
"34","BF",5,"RE_boosting",0.446833766500742
"35","BF",5,"RE_RF",0.447349674769058
"36","BF",5,"RE_bag",0.456733600501963
"37","BF",5,"SRE_RF",0.461143783013093
"38","BF",5,"SRE_bag",0.455568807866809
"39","BF",5,"SRE_boosting",0.457283584203789
"40","BF",5,"SRE_PLTR",0.467797276216153
"41","BF",6,"GAM",0.507976349932568
"42","BF",6,"RE_boosting",0.432972740208101
"43","BF",6,"RE_RF",0.493777773144539
"44","BF",6,"RE_bag",0.386030458730501
"45","BF",6,"SRE_RF",0.47533178918551
"46","BF",6,"SRE_bag",0.453162576351767
"47","BF",6,"SRE_boosting",0.481260539533982
"48","BF",6,"SRE_PLTR",0.475486383969993
