"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"LRR",0.79125789218067
"2","GC",1,"GAM",0.780330257406508
"3","GC",1,"LDA",0.787722195240408
"4","GC",1,"CTREE",0.732248664400194
"5","GC",1,"RF",0.796930548810102
"6","GC",1,"XGB",0.776017484215639
"7","GC",1,"LGBM",0.784157357940748
"8","GC",1,"RE",0.763555123846527
"9","GC",1,"SRE",0.766177756192326
"10","GC",2,"LRR",0.764469378214119
"11","GC",2,"GAM",0.758373071528752
"12","GC",2,"LDA",0.766863020102852
"13","GC",2,"CTREE",0.695165965404395
"14","GC",2,"RF",0.765965404394577
"15","GC",2,"XGB",0.751304347826087
"16","GC",2,"LGBM",0.758616175783076
"17","GC",2,"RE",0.758877980364656
"18","GC",2,"SRE",0.76026180458158
"19","GC",3,"LRR",0.764249986258451
"20","GC",3,"GAM",0.780501658146906
"21","GC",3,"LDA",0.79301562872167
"22","GC",3,"CTREE",0.731325234980487
"23","GC",3,"RF",0.764249986258451
"24","GC",3,"XGB",0.753659832536324
"25","GC",3,"LGBM",0.763755290496345
"26","GC",3,"RE",0.739515198153136
"27","GC",3,"SRE",0.740183953535242
"28","GC",4,"LRR",0.764901652085534
"29","GC",4,"GAM",0.74789254469001
"30","GC",4,"LDA",0.753861176986389
"31","GC",4,"CTREE",0.704816756013472
"32","GC",4,"RF",0.758026265967835
"33","GC",4,"XGB",0.754897467067897
"34","GC",4,"LGBM",0.744584387891349
"35","GC",4,"RE",0.706251619203252
"36","GC",4,"SRE",0.708005340879651
"37","GC",5,"LRR",0.771892014519056
"38","GC",5,"GAM",0.783348457350272
"39","GC",5,"LDA",0.777771476104053
"40","GC",5,"CTREE",0.720016636418633
"41","GC",5,"RF",0.755576981246219
"42","GC",5,"XGB",0.779955006049607
"43","GC",5,"LGBM",0.762949939503932
"44","GC",5,"RE",0.761494252873563
"45","GC",5,"SRE",0.762146476104053
"46","GC",6,"LRR",0.788870546683047
"47","GC",6,"GAM",0.789033707002457
"48","GC",6,"LDA",0.796491093366093
"49","GC",6,"CTREE",0.740805436117936
"50","GC",6,"RF",0.768888206388206
"51","GC",6,"XGB",0.769060964373464
"52","GC",6,"LGBM",0.76883062039312
"53","GC",6,"RE",0.723817567567568
"54","GC",6,"SRE",0.762409781941032
"55","GC",7,"LRR",0.786037453772917
"56","GC",7,"GAM",0.778090329687623
"57","GC",7,"LDA",0.811019749783618
"58","GC",7,"CTREE",0.726050436698403
"59","GC",7,"RF",0.774470847430954
"60","GC",7,"XGB",0.793335431583917
"61","GC",7,"LGBM",0.788948776457628
"62","GC",7,"RE",0.736800692422693
"63","GC",7,"SRE",0.755842316468644
"64","GC",8,"LRR",0.754200903101636
"65","GC",8,"GAM",0.779498852616774
"66","GC",8,"LDA",0.767876970908283
"67","GC",8,"CTREE",0.681869494411133
"68","GC",8,"RF",0.754996668887408
"69","GC",8,"XGB",0.760141387223333
"70","GC",8,"LGBM",0.76314864164631
"71","GC",8,"RE",0.770615885705826
"72","GC",8,"SRE",0.770911984602857
"73","GC",9,"LRR",0.772588944834837
"74","GC",9,"GAM",0.775779708220366
"75","GC",9,"LDA",0.776185470038179
"76","GC",9,"CTREE",0.670300079307992
"77","GC",9,"RF",0.750484147623527
"78","GC",9,"XGB",0.75895903650012
"79","GC",9,"LGBM",0.772708829008281
"80","GC",9,"RE",0.748344676220513
"81","GC",9,"SRE",0.747616149320349
"82","GC",10,"LRR",0.76866394041763
"83","GC",10,"GAM",0.763962148600328
"84","GC",10,"LDA",0.770520950631186
"85","GC",10,"CTREE",0.730733519034355
"86","GC",10,"RF",0.750903810822023
"87","GC",10,"XGB",0.764317746300796
"88","GC",10,"LGBM",0.774560935617061
"89","GC",10,"RE",0.775291886445801
"90","GC",10,"SRE",0.778976273731208
