"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"LRR",0.446037141027535
"2","GC",1,"GAM",0.427894088669951
"3","GC",1,"LDA",0.423468729851709
"4","GC",1,"CTREE",0.301303155006859
"5","GC",1,"RF",0.468008948545861
"6","GC",1,"XGB",0.397591612166511
"7","GC",1,"LGBM",0.543875667799903
"8","GC",1,"RE",0.443865740740741
"9","GC",1,"SRE",0.439356514028754
"10","GC",2,"LRR",0.458289530641272
"11","GC",2,"GAM",0.237639553429027
"12","GC",2,"LDA",0.321193335916311
"13","GC",2,"CTREE",0.351608826674443
"14","GC",2,"RF",0.431864322078896
"15","GC",2,"XGB",0.449845916795069
"16","GC",2,"LGBM",0.331748415081748
"17","GC",2,"RE",0.487265637962502
"18","GC",2,"SRE",0.483164983164983
"19","GC",3,"LRR",0.345928815212092
"20","GC",3,"GAM",0.379338800350714
"21","GC",3,"LDA",0.305516431924883
"22","GC",3,"CTREE",0.335513565891473
"23","GC",3,"RF",0.435067567567567
"24","GC",3,"XGB",0.331165933575572
"25","GC",3,"LGBM",0.381984893465108
"26","GC",3,"RE",0.386342592592593
"27","GC",3,"SRE",0.482236757727331
"28","GC",4,"LRR",0.493889288281812
"29","GC",4,"GAM",0.401466352448285
"30","GC",4,"LDA",0.366846268485613
"31","GC",4,"CTREE",0.315699658703072
"32","GC",4,"RF",0.4435303514377
"33","GC",4,"XGB",0.378798586572438
"34","GC",4,"LGBM",0.397266148485661
"35","GC",4,"RE",0.384341637010676
"36","GC",4,"SRE",0
"37","GC",5,"LRR",0.479890902366864
"38","GC",5,"GAM",0.382676224611709
"39","GC",5,"LDA",0.329432624113475
"40","GC",5,"CTREE",0.158371040723982
"41","GC",5,"RF",0.403783783783784
"42","GC",5,"XGB",0.433250620347394
"43","GC",5,"LGBM",0.414333605146326
"44","GC",5,"RE",0.399628684149455
"45","GC",5,"SRE",0.458940397350993
"46","GC",6,"LRR",0.549354920313686
"47","GC",6,"GAM",0.414560770156438
"48","GC",6,"LDA",0.442097902097902
"49","GC",6,"CTREE",0.270757020757021
"50","GC",6,"RF",0.440358170770707
"51","GC",6,"XGB",0.248621323529412
"52","GC",6,"LGBM",0.323744514870795
"53","GC",6,"RE",0.415636363636364
"54","GC",6,"SRE",0
"55","GC",7,"LRR",0.543519846963175
"56","GC",7,"GAM",0.397341628959276
"57","GC",7,"LDA",0.536579974950269
"58","GC",7,"CTREE",0.165791245791246
"59","GC",7,"RF",0.523519958302567
"60","GC",7,"XGB",0.371815879636526
"61","GC",7,"LGBM",0.37507937947927
"62","GC",7,"RE",0.382551753274187
"63","GC",7,"SRE",0.388464867416791
"64","GC",8,"LRR",0.472584033613445
"65","GC",8,"GAM",0.430216802168022
"66","GC",8,"LDA",0.442791857083506
"67","GC",8,"CTREE",0.362487056613769
"68","GC",8,"RF",0.425797155923072
"69","GC",8,"XGB",0.256858564321251
"70","GC",8,"LGBM",0.353533359652586
"71","GC",8,"RE",0.450053705692803
"72","GC",8,"SRE",0.382184488915841
"73","GC",9,"LRR",0.474253430185634
"74","GC",9,"GAM",0.387281310747015
"75","GC",9,"LDA",0.426962777604004
"76","GC",9,"CTREE",0.137960220059246
"77","GC",9,"RF",0.337833594976452
"78","GC",9,"XGB",0.322749441170494
"79","GC",9,"LGBM",0.35577049611791
"80","GC",9,"RE",0.281358885017422
"81","GC",9,"SRE",0.331476198965948
"82","GC",10,"LRR",0.506803928529168
"83","GC",10,"GAM",0.401823410634522
"84","GC",10,"LDA",0.38932167965039
"85","GC",10,"CTREE",0.234444444444444
"86","GC",10,"RF",0.437849367461018
"87","GC",10,"XGB",0.3102229803826
"88","GC",10,"LGBM",0.33274158690954
"89","GC",10,"RE",0.494528144476616
"90","GC",10,"SRE",0.454180887372014
