"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"LRR",0.791413307430792
"2","GC",1,"GAM",0.780330257406508
"3","GC",1,"LDA",0.787722195240408
"4","GC",1,"CTREE",0.735764934434191
"5","GC",1,"RF",0.794609033511413
"6","GC",1,"XGB",0.751947547353084
"7","GC",1,"LGBM",0.745682370082564
"8","GC",1,"RE_boosting",0.79448275862069
"9","GC",1,"RE_RF",0.768237008256435
"10","GC",1,"RE_bag",0.774084507042254
"11","GC",1,"SRE_RF",0.752598348712967
"12","GC",1,"SRE_bag",0.779397765905779
"13","GC",1,"SRE_boosting",0.783020883924235
"14","GC",2,"LRR",0.758148667601683
"15","GC",2,"GAM",0.758373071528752
"16","GC",2,"LDA",0.766863020102852
"17","GC",2,"CTREE",0.695165965404395
"18","GC",2,"RF",0.758129967274427
"19","GC",2,"XGB",0.76
"20","GC",2,"LGBM",0.733557737260402
"21","GC",2,"RE_boosting",0.745039738195418
"22","GC",2,"RE_RF",0.765395044413277
"23","GC",2,"RE_bag",0.76976157082749
"24","GC",2,"SRE_RF",0.720935016362786
"25","GC",2,"SRE_bag",0.718756428237494
"26","GC",2,"SRE_boosting",0.748676951846657
"27","GC",3,"LRR",0.770021436816358
"28","GC",3,"GAM",0.780501658146906
"29","GC",3,"LDA",0.79301562872167
"30","GC",3,"CTREE",0.71529342787519
"31","GC",3,"RF",0.768958757031093
"32","GC",3,"XGB",0.707469906007805
"33","GC",3,"LGBM",0.695725462174096
"34","GC",3,"RE_boosting",0.762014694296341
"35","GC",3,"RE_RF",0.727550889536269
"36","GC",3,"RE_bag",0.755693581780538
"37","GC",3,"SRE_RF",0.748795324208945
"38","GC",3,"SRE_bag",0.745030139797358
"39","GC",3,"SRE_boosting",0.721834405174151
"40","GC",4,"LRR",0.762390641503418
"41","GC",4,"GAM",0.74789254469001
"42","GC",4,"LDA",0.753861176986389
"43","GC",4,"CTREE",0.704816756013472
"44","GC",4,"RF",0.730315470615198
"45","GC",4,"XGB",0.71306721935471
"46","GC",4,"LGBM",0.731321867713585
"47","GC",4,"RE_boosting",0.745690428266805
"48","GC",4,"RE_RF",0.735696207576875
"49","GC",4,"RE_bag",0.746467645827936
"50","GC",4,"SRE_RF",0.727645030789773
"51","GC",4,"SRE_bag",0.731341796368999
"52","GC",4,"SRE_boosting",0.732288407501146
"53","GC",5,"LRR",0.78166591046582
"54","GC",5,"GAM",0.783348457350272
"55","GC",5,"LDA",0.777771476104053
"56","GC",5,"CTREE",0.720016636418633
"57","GC",5,"RF",0.774056639443436
