"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"LRR",0.163704878130737
"2","GC",1,"GAM",0.170013997272032
"3","GC",1,"LDA",0.165284723126843
"4","GC",1,"CTREE",0.173609905116463
"5","GC",1,"RF",0.157520168555556
"6","GC",1,"XGB",0.16650897122698
"7","GC",1,"LGBM",0.165837915481149
"8","GC",1,"RE_boosting",0.160012734620627
"9","GC",1,"RE_RF",0.171196621802355
"10","GC",1,"RE_bag",0.166196925517873
"11","GC",1,"SRE_RF",0.16951433959675
"12","GC",1,"SRE_bag",0.164531015073309
"13","GC",1,"SRE_boosting",0.166720731081121
"14","GC",2,"LRR",0.177218478162507
"15","GC",2,"GAM",0.181154090373872
"16","GC",2,"LDA",0.178768378765262
"17","GC",2,"CTREE",0.191819710666102
"18","GC",2,"RF",0.174315668501954
"19","GC",2,"XGB",0.204393209969749
"20","GC",2,"LGBM",0.181725059813226
"21","GC",2,"RE_boosting",0.185228945602762
"22","GC",2,"RE_RF",0.176058129002935
"23","GC",2,"RE_bag",0.17766131840934
"24","GC",2,"SRE_RF",0.202729329799784
"25","GC",2,"SRE_bag",0.183085971902796
"26","GC",2,"SRE_boosting",0.176873903029157
"27","GC",3,"LRR",0.1761957598322
"28","GC",3,"GAM",0.173118802712744
"29","GC",3,"LDA",0.164966744083971
"30","GC",3,"CTREE",0.195804433307628
"31","GC",3,"RF",0.181601126935943
"32","GC",3,"XGB",0.192692224552812
"33","GC",3,"LGBM",0.195753876301169
"34","GC",3,"RE_boosting",0.176328460827958
"35","GC",3,"RE_RF",0.195347183744353
"36","GC",3,"RE_bag",0.181119063935436
"37","GC",3,"SRE_RF",0.201487499955486
"38","GC",3,"SRE_bag",0.187165841887953
"39","GC",3,"SRE_boosting",0.190491480201889
"40","GC",4,"LRR",0.168962578921092
"41","GC",4,"GAM",0.17677657256864
"42","GC",4,"LDA",0.175839379844702
"43","GC",4,"CTREE",0.189918566363352
"44","GC",4,"RF",0.173577900627038
"45","GC",4,"XGB",0.215765470589732
"46","GC",4,"LGBM",0.198952530107948
"47","GC",4,"RE_boosting",0.183207747100912
"48","GC",4,"RE_RF",0.176482273904735
"49","GC",4,"RE_bag",0.177751050354493
"50","GC",4,"SRE_RF",0.177846825579092
"51","GC",4,"SRE_bag",0.175906066057145
"52","GC",4,"SRE_boosting",0.173851187984754
"53","GC",5,"LRR",0.174182402926217
"54","GC",5,"GAM",0.16857662961525
