"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"LRR",0.450350877192983
"2","GC",1,"GAM",0.427894088669951
"3","GC",1,"LDA",0.423468729851709
"4","GC",1,"CTREE",0.282020872865275
"5","GC",1,"RF",0.296577946768061
"6","GC",1,"XGB",0.416814738614047
"7","GC",1,"LGBM",0.401438667339727
"8","GC",1,"RE_boosting",0.389464699426899
"9","GC",1,"RE_RF",0.394157088122605
"10","GC",1,"RE_bag",0.34680316091954
"11","GC",1,"SRE_RF",0.364308618545907
"12","GC",1,"SRE_bag",0.442394193416479
"13","GC",1,"SRE_boosting",0.22667829119442
"14","GC",2,"LRR",0.433490719635298
"15","GC",2,"GAM",0.237639553429027
"16","GC",2,"LDA",0.321193335916311
"17","GC",2,"CTREE",0.379094974239331
"18","GC",2,"RF",0.422309929372663
"19","GC",2,"XGB",0.276703324484894
"20","GC",2,"LGBM",0.483296118172449
"21","GC",2,"RE_boosting",0.377196038421341
"22","GC",2,"RE_RF",0.436538638666298
"23","GC",2,"RE_bag",0.498175826762387
"24","GC",2,"SRE_RF",0.310250354274917
"25","GC",2,"SRE_bag",0.533789590959733
"26","GC",2,"SRE_boosting",0.477771883289125
"27","GC",3,"LRR",0.346253859905737
"28","GC",3,"GAM",0.379338800350714
"29","GC",3,"LDA",0.305516431924883
"30","GC",3,"CTREE",0.275855855855856
"31","GC",3,"RF",0.448286814626593
"32","GC",3,"XGB",0.491982531586492
"33","GC",3,"LGBM",0.463173146582951
"34","GC",3,"RE_boosting",0.362235915492958
"35","GC",3,"RE_RF",0.35857112661171
"36","GC",3,"RE_bag",0.344878472222222
"37","GC",3,"SRE_RF",0.422843567251462
"38","GC",3,"SRE_bag",0.366236623662366
"39","GC",3,"SRE_boosting",0.394547353377673
"40","GC",4,"LRR",0.462893605215703
"41","GC",4,"GAM",0.401466352448285
"42","GC",4,"LDA",0.366846268485613
"43","GC",4,"CTREE",0.315699658703072
"44","GC",4,"RF",0.325493612078978
"45","GC",4,"XGB",0.330010834236186
"46","GC",4,"LGBM",0.348929041522077
"47","GC",4,"RE_boosting",0.409612470231652
"48","GC",4,"RE_RF",0.405567490153956
"49","GC",4,"RE_bag",0.315184513006655
"50","GC",4,"SRE_RF",0.363354700854701
"51","GC",4,"SRE_bag",0.400223979841814
"52","GC",4,"SRE_boosting",0.443356009070295
"53","GC",5,"LRR",0.48523000448193
"54","GC",5,"GAM",0.382676224611709
"55","GC",5,"LDA",0.329432624113475
"56","GC",5,"CTREE",0.0804232804232805
"57","GC",5,"RF",0.426521924223074
"58","GC",5,"XGB",0.320957635836528
"59","GC",5,"LGBM",0.330873308733087
"60","GC",5,"RE_boosting",0.454235199317438
"61","GC",5,"RE_RF",0.40089672986013
"62","GC",5,"RE_bag",0.439304894112879
"63","GC",5,"SRE_RF",0.341025641025641
"64","GC",5,"SRE_bag",0.41070628943619
"65","GC",5,"SRE_boosting",0.479491796718687
"66","GC",6,"LRR",0.505299083887192
"67","GC",6,"GAM",0.414560770156438
"68","GC",6,"LDA",0.442097902097902
"69","GC",6,"CTREE",0.270757020757021
"70","GC",6,"RF",0.392096920289855
"71","GC",6,"XGB",0.363432835820896
"72","GC",6,"LGBM",0.470134956788284
"73","GC",6,"RE_boosting",0.288606060606061
"74","GC",6,"RE_RF",0.467283511269276
"75","GC",6,"RE_bag",0.415441176470588
"76","GC",6,"SRE_RF",0.419168458230958
"77","GC",6,"SRE_bag",0.414907094594595
"78","GC",6,"SRE_boosting",0.337014960261805
"79","GC",7,"LRR",0.514165224913495
"80","GC",7,"GAM",0.397341628959276
"81","GC",7,"LDA",0.536579974950269
"82","GC",7,"CTREE",0.283610567514677
"83","GC",7,"RF",0.487839221710189
"84","GC",7,"XGB",0.443181818181818
"85","GC",7,"LGBM",0.46058091286307
"86","GC",7,"RE_boosting",0.411904761904762
"87","GC",7,"RE_RF",0.510035842293907
"88","GC",7,"RE_bag",0.370148247978437
"89","GC",7,"SRE_RF",0.459183673469388
"90","GC",7,"SRE_bag",0.254137115839244
"91","GC",7,"SRE_boosting",0.464352886901594
"92","GC",8,"LRR",0.46554448895586
"93","GC",8,"GAM",0.430216802168022
"94","GC",8,"LDA",0.442791857083506
"95","GC",8,"CTREE",0.360945890625376
"96","GC",8,"RF",0.449186210431885
"97","GC",8,"XGB",0.385529837820816
"98","GC",8,"LGBM",0.338274932614555
"99","GC",8,"RE_boosting",0.456734660838595
"100","GC",8,"RE_RF",0.428598863112613
"101","GC",8,"RE_bag",0.418721109399075
"102","GC",8,"SRE_RF",0.455210173083716
"103","GC",8,"SRE_bag",0.420381310418904
"104","GC",8,"SRE_boosting",0.477361805649412
"105","GC",9,"LRR",0.358231183411617
"106","GC",9,"GAM",0.387281310747015
"107","GC",9,"LDA",0.426962777604004
"108","GC",9,"CTREE",0.2834069844746
"109","GC",9,"RF",0.347462983026363
"110","GC",9,"XGB",0.409141449048892
"111","GC",9,"LGBM",0.418824927475447
"112","GC",9,"RE_boosting",0.254537037037037
"113","GC",9,"RE_RF",0.373834069710358
"114","GC",9,"RE_bag",0.330388853474183
"115","GC",9,"SRE_RF",0.443120260021668
"116","GC",9,"SRE_bag",0.38504247775771
"117","GC",9,"SRE_boosting",0.318916143302919
"118","GC",10,"LRR",0.507496095783446
"119","GC",10,"GAM",0.401823410634522
"120","GC",10,"LDA",0.38932167965039
"121","GC",10,"CTREE",0.301111111111111
"122","GC",10,"RF",0.528177458033573
"123","GC",10,"XGB",0.481891348088531
"124","GC",10,"LGBM",0.509389671361502
"125","GC",10,"RE_boosting",0.554992682652257
"126","GC",10,"RE_RF",0.434863331614234
"127","GC",10,"RE_bag",0.564198158504208
"128","GC",10,"SRE_RF",0.37365296803653
"129","GC",10,"SRE_bag",0.46832077979619
"130","GC",10,"SRE_boosting",0.546573421047433
