"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"GAM",0.785128703254007
"2","GC",1,"RE_boosting",0.779485186983973
"3","GC",1,"RE_RF",0.763477416221467
"4","GC",1,"RE_bag",0.784225352112676
"5","GC",1,"SRE_RF",0.768926663428849
"6","GC",1,"SRE_bag",0.77365711510442
"7","GC",1,"SRE_boosting",0.780446818844099
"8","GC",1,"SRE_PLTR",0.750947061680427
"9","GC",2,"GAM",0.762468443197756
"10","GC",2,"RE_boosting",0.756877045348294
"11","GC",2,"RE_RF",0.741935483870968
"12","GC",2,"RE_bag",0.770799438990182
"13","GC",2,"SRE_RF",0.730752688172043
"14","GC",2,"SRE_bag",0.733529686769518
"15","GC",2,"SRE_boosting",0.744497428705002
"16","GC",2,"SRE_PLTR",0.739504441327723
"17","GC",3,"GAM",0.78183916891112
"18","GC",3,"RE_boosting",0.750801590355265
"19","GC",3,"RE_RF",0.727285219589952
"20","GC",3,"RE_bag",0.756032539987907
"21","GC",3,"SRE_RF",0.720267868594148
"22","GC",3,"SRE_bag",0.74091683614577
"23","GC",3,"SRE_boosting",0.758918265266861
"24","GC",3,"SRE_PLTR",0.744004104142619
"25","GC",4,"GAM",0.743587955120668
"26","GC",4,"RE_boosting",0.744753781462365
"27","GC",4,"RE_RF",0.72487494768728
"28","GC",4,"RE_bag",0.738546005301022
"29","GC",4,"SRE_RF",0.737649215807409
"30","GC",4,"SRE_bag",0.735706171904582
"31","GC",4,"SRE_boosting",0.734341059008749
"32","GC",4,"SRE_PLTR",0.720909145259969
"33","GC",5,"GAM",0.783480792498488
"34","GC",5,"RE_boosting",0.763857380520266
"35","GC",5,"RE_RF",0.779832123411978
"36","GC",5,"RE_bag",0.75041591046582
"37","GC",5,"SRE_RF",0.750103977616455
"38","GC",5,"SRE_bag",0.748033877797943
"39","GC",5,"SRE_boosting",0.776107834240774
"40","GC",5,"SRE_PLTR",0.758412734422263
"41","GC",6,"GAM",0.789072097665848
"42","GC",6,"RE_boosting",0.745239557739558
"43","GC",6,"RE_RF",0.73741746007371
"44","GC",6,"RE_bag",0.765605804668305
"45","GC",6,"SRE_RF",0.708701243857494
"46","GC",6,"SRE_bag",0.735133215601966
"47","GC",6,"SRE_boosting",0.757822097665848
"48","GC",6,"SRE_PLTR",0.723212914619165
