"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"LRR",0.791413307430792
"2","GC",1,"GAM",0.78712967459932
"3","GC",1,"LDA",0.787722195240408
"4","GC",1,"CTREE",0.735764934434191
"5","GC",1,"RF",0.794026226323458
"6","GC",1,"XGB",0.773016027197669
"7","GC",1,"LGBM",0.785594949004371
"8","GC",1,"RE_boosting",0.779485186983973
"9","GC",1,"RE_RF",0.779320058280719
"10","GC",1,"RE_bag",0.784225352112676
"11","GC",1,"SRE_RF",0.794424477901894
"12","GC",1,"SRE_bag",0.778008742107819
"13","GC",1,"SRE_boosting",0.769111219038368
"14","GC",1,"SRE_PLTR",0.764157357940748
"15","GC",1,"PLTR",0.750791646430306
"16","GC",2,"LRR",0.758148667601683
"17","GC",2,"GAM",0.763964469378214
"18","GC",2,"LDA",0.766863020102852
"19","GC",2,"CTREE",0.695165965404395
"20","GC",2,"RF",0.757587657784011
"21","GC",2,"XGB",0.747938288920056
"22","GC",2,"LGBM",0.75505376344086
"23","GC",2,"RE_boosting",0.756877045348294
"24","GC",2,"RE_RF",0.766937821411875
"25","GC",2,"RE_bag",0.770799438990182
"26","GC",2,"SRE_RF",0.766189808321646
"27","GC",2,"SRE_bag",0.760476858345021
"28","GC",2,"SRE_boosting",0.75422159887798
"29","GC",2,"SRE_PLTR",0.773202431042543
"30","GC",2,"PLTR",0.738849929873773
"31","GC",3,"LRR",0.770021436816358
"32","GC",3,"GAM",0.781014675974276
"33","GC",3,"LDA",0.79301562872167
"34","GC",3,"CTREE",0.71529342787519
"35","GC",3,"RF",0.757965517873175
"36","GC",3,"XGB",0.737279906191026
"37","GC",3,"LGBM",0.715989666355192
"38","GC",3,"RE_boosting",0.750801590355265
"39","GC",3,"RE_RF",0.729722054269957
"40","GC",3,"RE_bag",0.756032539987907
"41","GC",3,"SRE_RF",0.753549900144744
"42","GC",3,"SRE_bag",0.745506513494201
"43","GC",3,"SRE_boosting",0.74389417175104
"44","GC",3,"SRE_PLTR",0.752752890305795
"45","GC",3,"PLTR",0.743985782077356
"46","GC",4,"LRR",0.762390641503418
"47","GC",4,"GAM",0.742481914745212
"48","GC",4,"LDA",0.753861176986389
"49","GC",4,"CTREE",0.704816756013472
"50","GC",4,"RF",0.745650570955978
"51","GC",4,"XGB",0.738197253831284
"52","GC",4,"LGBM",0.70101038282947
"53","GC",4,"RE_boosting",0.744753781462365
"54","GC",4,"RE_RF",0.743587955120668
"55","GC",4,"RE_bag",0.738546005301022
"56","GC",4,"SRE_RF",0.73955240239941
"57","GC",4,"SRE_bag",0.724765340082505
"58","GC",4,"SRE_boosting",0.729966719145459
"59","GC",4,"SRE_PLTR",0.720261463959027
"60","GC",4,"PLTR",0.720909145259969
"61","GC",5,"LRR",0.78166591046582
"62","GC",5,"GAM",0.783480792498488
"63","GC",5,"LDA",0.777771476104053
"64","GC",5,"CTREE",0.720016636418633
"65","GC",5,"RF",0.759244555353902
"66","GC",5,"XGB",0.743439957652753
"67","GC",5,"LGBM",0.752174077434967
"68","GC",5,"RE_boosting",0.763857380520266
"69","GC",5,"RE_RF",0.756994857834241
"70","GC",5,"RE_bag",0.75041591046582
"71","GC",5,"SRE_RF",0.787016031457955
"72","GC",5,"SRE_bag",0.752514367816092
"73","GC",5,"SRE_boosting",0.737163490623109
"74","GC",5,"SRE_PLTR",0.760567906836056
"75","GC",5,"PLTR",0.752174077434967
"76","GC",6,"LRR",0.780923679361179
"77","GC",6,"GAM",0.789033707002457
"78","GC",6,"LDA",0.796491093366093
"79","GC",6,"CTREE",0.740805436117936
"80","GC",6,"RF",0.771633138820639
"81","GC",6,"XGB",0.773130374692875
"82","GC",6,"LGBM",0.776556741400491
"83","GC",6,"RE_boosting",0.745239557739558
"84","GC",6,"RE_RF",0.759184966216216
"85","GC",6,"RE_bag",0.765605804668305
"86","GC",6,"SRE_RF",0.749788851351351
"87","GC",6,"SRE_bag",0.75070062960688
"88","GC",6,"SRE_boosting",0.735737868550369
"89","GC",6,"SRE_PLTR",0.738223664004914
"90","GC",6,"PLTR",0.725199631449631
