"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"LRR",0.163704878130737
"2","GC",1,"GAM",0.163461510976712
"3","GC",1,"LDA",0.165284723126843
"4","GC",1,"CTREE",0.173609905116463
"5","GC",1,"RF",0.15989976943824
"6","GC",1,"XGB",0.165485412449999
"7","GC",1,"LGBM",0.164008234411769
"8","GC",1,"RE_boosting",0.189280800833783
"9","GC",1,"RE_RF",0.168925509829064
"10","GC",1,"RE_bag",0.162920140502526
"11","GC",1,"SRE_RF",0.16514825178334
"12","GC",1,"SRE_bag",0.167540434765986
"13","GC",1,"SRE_boosting",0.166832076446644
"14","GC",1,"SRE_PLTR",0.179932585632445
"15","GC",1,"PLTR",0.179932793399414
"16","GC",2,"LRR",0.177218478162507
"17","GC",2,"GAM",0.17997834010198
"18","GC",2,"LDA",0.178768378765262
"19","GC",2,"CTREE",0.191819710666102
"20","GC",2,"RF",0.175915188883506
"21","GC",2,"XGB",0.192664404611094
"22","GC",2,"LGBM",0.181130290245795
"23","GC",2,"RE_boosting",0.17405829654399
"24","GC",2,"RE_RF",0.176794900361218
"25","GC",2,"RE_bag",0.177851529864338
"26","GC",2,"SRE_RF",0.177162255746213
"27","GC",2,"SRE_bag",0.182298836860528
"28","GC",2,"SRE_boosting",0.179453719773582
"29","GC",2,"SRE_PLTR",0.200695125286544
"30","GC",2,"PLTR",0.201512164819365
"31","GC",3,"LRR",0.1761957598322
"32","GC",3,"GAM",0.173116597368008
"33","GC",3,"LDA",0.16496674408397
"34","GC",3,"CTREE",0.195804433307628
"35","GC",3,"RF",0.18083697083369
"36","GC",3,"XGB",0.183259151610048
"37","GC",3,"LGBM",0.177221698746812
"38","GC",3,"RE_boosting",0.175287302750731
"39","GC",3,"RE_RF",0.189916302266219
"40","GC",3,"RE_bag",0.182068364143905
"41","GC",3,"SRE_RF",0.172791251417713
"42","GC",3,"SRE_bag",0.193916719497451
"43","GC",3,"SRE_boosting",0.180763640891069
"44","GC",3,"SRE_PLTR",0.189052296815478
"45","GC",3,"PLTR",0.189052005435312
"46","GC",4,"LRR",0.168962578921092
"47","GC",4,"GAM",0.176893324329911
"48","GC",4,"LDA",0.175839379844702
"49","GC",4,"CTREE",0.189918566363352
"50","GC",4,"RF",0.173655303154356
"51","GC",4,"XGB",0.220696217393713
"52","GC",4,"LGBM",0.173153735355611
"53","GC",4,"RE_boosting",0.179795425358266
"54","GC",4,"RE_RF",0.175378687240267
"55","GC",4,"RE_bag",0.188719146406015
"56","GC",4,"SRE_RF",0.170981016867688
"57","GC",4,"SRE_bag",0.178894341934167
"58","GC",4,"SRE_boosting",0.179627370572583
"59","GC",4,"SRE_PLTR",0.179993937707189
"60","GC",4,"PLTR",0.179993560059528
"61","GC",5,"LRR",0.174182402926217
"62","GC",5,"GAM",0.168576421498634
"63","GC",5,"LDA",0.169156349168118
"64","GC",5,"CTREE",0.185342382849287
"65","GC",5,"RF",0.175603123547392
"66","GC",5,"XGB",0.173285484768777
"67","GC",5,"LGBM",0.176373819481182
"68","GC",5,"RE_boosting",0.203881029268679
"69","GC",5,"RE_RF",0.172950368148537
"70","GC",5,"RE_bag",0.18166077778973
"71","GC",5,"SRE_RF",0.174346508410427
"72","GC",5,"SRE_bag",0.180348806266087
"73","GC",5,"SRE_boosting",0.175898681664477
"74","GC",5,"SRE_PLTR",0.184498555287857
"75","GC",5,"PLTR",0.185547489718802
"76","GC",6,"LRR",0.161575251192639
"77","GC",6,"GAM",0.167593170130988
"78","GC",6,"LDA",0.164911402909303
"79","GC",6,"CTREE",0.177173776891643
"80","GC",6,"RF",0.172723903128531
"81","GC",6,"XGB",0.177953514067052
"82","GC",6,"LGBM",0.167327460459027
"83","GC",6,"RE_boosting",0.183980878212369
"84","GC",6,"RE_RF",0.174522679865622
"85","GC",6,"RE_bag",0.174196789598449
"86","GC",6,"SRE_RF",0.164665458130954
"87","GC",6,"SRE_bag",0.179765635968368
"88","GC",6,"SRE_boosting",0.181117888749441
"89","GC",6,"SRE_PLTR",0.185209414142542
"90","GC",6,"PLTR",0.185060371553295
