"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"GAM",0.164023302001941
"2","GC",1,"RE_boosting",0.169181673156091
"3","GC",1,"RE_RF",0.169283336813867
"4","GC",1,"RE_bag",0.162920140502526
"5","GC",1,"SRE_RF",0.166618404264654
"6","GC",1,"SRE_bag",0.167540434765986
"7","GC",1,"SRE_boosting",0.166832076446644
"8","GC",1,"SRE_PLTR",0.179931678039704
"9","GC",2,"GAM",0.17912936327139
"10","GC",2,"RE_boosting",0.177678322202664
"11","GC",2,"RE_RF",0.182505131413316
"12","GC",2,"RE_bag",0.177851529864338
"13","GC",2,"SRE_RF",0.189728670959068
"14","GC",2,"SRE_bag",0.182298836860528
"15","GC",2,"SRE_boosting",0.182290622144643
"16","GC",2,"SRE_PLTR",0.2007740304378
"17","GC",3,"GAM",0.172688837441133
"18","GC",3,"RE_boosting",0.183868390407002
"19","GC",3,"RE_RF",0.192207453520001
"20","GC",3,"RE_bag",0.182068364143905
"21","GC",3,"SRE_RF",0.201394055091331
"22","GC",3,"SRE_bag",0.193916719497451
"23","GC",3,"SRE_boosting",0.189477065633106
"24","GC",3,"SRE_PLTR",0.189052296815478
"25","GC",4,"GAM",0.180541783434049
"26","GC",4,"RE_boosting",0.18459748868355
"27","GC",4,"RE_RF",0.18125203192966
"28","GC",4,"RE_bag",0.188719146406015
"29","GC",4,"SRE_RF",0.175014961793153
"30","GC",4,"SRE_bag",0.178894341934167
"31","GC",4,"SRE_boosting",0.179627370572583
"32","GC",4,"SRE_PLTR",0.179993937707189
"33","GC",5,"GAM",0.168544849121146
"34","GC",5,"RE_boosting",0.180145127727583
"35","GC",5,"RE_RF",0.173400795204995
"36","GC",5,"RE_bag",0.18166077778973
"37","GC",5,"SRE_RF",0.173887616711134
"38","GC",5,"SRE_bag",0.180348806266087
"39","GC",5,"SRE_boosting",0.175898681664477
"40","GC",5,"SRE_PLTR",0.184498555287857
"41","GC",6,"GAM",0.167596685755675
"42","GC",6,"RE_boosting",0.182966086860083
"43","GC",6,"RE_RF",0.179327351662193
"44","GC",6,"RE_bag",0.174196789598449
"45","GC",6,"SRE_RF",0.186202820400229
"46","GC",6,"SRE_bag",0.179765635968368
"47","GC",6,"SRE_boosting",0.181117888749441
"48","GC",6,"SRE_PLTR",0.185204235280696
