"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"LRR",0.163704878130737
"2","GC",1,"GAM",0.163409802479112
"3","GC",1,"LDA",0.165284723126843
"4","GC",1,"CTREE",0.173609905116463
"5","GC",1,"RF",0.15989976943824
"6","GC",1,"XGB",0.165485412449999
"7","GC",1,"LGBM",0.164008234411769
"8","GC",1,"RE_boosting",0.169181673156091
"9","GC",1,"RE_RF",0.166467598036896
"10","GC",1,"RE_bag",0.162920140502526
"11","GC",1,"SRE_RF",0.171175546282764
"12","GC",1,"SRE_bag",0.173557270029956
"13","GC",1,"SRE_boosting",0.213899849379077
"14","GC",1,"SRE_PLTR",0.171467925512694
"15","GC",1,"PLTR",0.179932793399414
"16","GC",2,"LRR",0.177218478162507
"17","GC",2,"GAM",0.177360797681564
"18","GC",2,"LDA",0.178768378765262
"19","GC",2,"CTREE",0.191819710666102
"20","GC",2,"RF",0.175915188883506
"21","GC",2,"XGB",0.192664404611094
"22","GC",2,"LGBM",0.181130290245795
"23","GC",2,"RE_boosting",0.177678322202664
"24","GC",2,"RE_RF",0.176329027937938
"25","GC",2,"RE_bag",0.177851529864338
"26","GC",2,"SRE_RF",0.17556123406479
"27","GC",2,"SRE_bag",0.182649999934539
"28","GC",2,"SRE_boosting",0.176787322535008
"29","GC",2,"SRE_PLTR",0.178405342977161
"30","GC",2,"PLTR",0.201512164819365
"31","GC",3,"LRR",0.1761957598322
"32","GC",3,"GAM",0.172796986816021
"33","GC",3,"LDA",0.16496674408397
"34","GC",3,"CTREE",0.195804433307628
"35","GC",3,"RF",0.18083697083369
"36","GC",3,"XGB",0.183259151610048
"37","GC",3,"LGBM",0.177221698746812
"38","GC",3,"RE_boosting",0.183868390407002
"39","GC",3,"RE_RF",0.189677144637689
"40","GC",3,"RE_bag",0.182068364143905
"41","GC",3,"SRE_RF",0.178713948461805
"42","GC",3,"SRE_bag",0.180901284297203
"43","GC",3,"SRE_boosting",0.208918259902997
"44","GC",3,"SRE_PLTR",0.182463281300289
"45","GC",3,"PLTR",0.189052005435312
"46","GC",4,"LRR",0.168962578921092
"47","GC",4,"GAM",0.181403281837108
"48","GC",4,"LDA",0.175839379844702
"49","GC",4,"CTREE",0.189918566363352
"50","GC",4,"RF",0.173655303154356
"51","GC",4,"XGB",0.220696217393713
"52","GC",4,"LGBM",0.173153735355611
"53","GC",4,"RE_boosting",0.18459748868355
"54","GC",4,"RE_RF",0.179580702240834
"55","GC",4,"RE_bag",0.188719146406015
"56","GC",4,"SRE_RF",0.176040835655825
"57","GC",4,"SRE_bag",0.2017650818437
"58","GC",4,"SRE_boosting",0.212116774046295
"59","GC",4,"SRE_PLTR",0.187717263479328
"60","GC",4,"PLTR",0.179993560059528
"61","GC",5,"LRR",0.174182402926217
"62","GC",5,"GAM",0.168544889287454
"63","GC",5,"LDA",0.169156349168118
"64","GC",5,"CTREE",0.185342382849287
"65","GC",5,"RF",0.175603123547392
"66","GC",5,"XGB",0.173285484768777
"67","GC",5,"LGBM",0.176373819481182
"68","GC",5,"RE_boosting",0.180145127727583
"69","GC",5,"RE_RF",0.175948654672886
"70","GC",5,"RE_bag",0.18166077778973
"71","GC",5,"SRE_RF",0.169714210883137
"72","GC",5,"SRE_bag",0.189492363422494
"73","GC",5,"SRE_boosting",0.204139028812927
"74","GC",5,"SRE_PLTR",0.175614031011672
"75","GC",5,"PLTR",0.185547489718802
"76","GC",6,"LRR",0.161575251192639
"77","GC",6,"GAM",0.167595897308467
"78","GC",6,"LDA",0.164911402909303
"79","GC",6,"CTREE",0.177173776891643
"80","GC",6,"RF",0.172723903128531
"81","GC",6,"XGB",0.177953514067052
"82","GC",6,"LGBM",0.167327460459027
"83","GC",6,"RE_boosting",0.182966086860083
"84","GC",6,"RE_RF",0.178106208407311
"85","GC",6,"RE_bag",0.174196789598449
"86","GC",6,"SRE_RF",0.173459013248167
"87","GC",6,"SRE_bag",0.185038038320232
"88","GC",6,"SRE_boosting",0.209200082033915
"89","GC",6,"SRE_PLTR",0.177373209228582
"90","GC",6,"PLTR",0.185060371553295
