"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"RE_RF",0.0369692702085778
"2","GC",1,"SRE_RF",0.0359754706389859
"3","GC",2,"RE_RF",0.0401249803255556
"4","GC",2,"SRE_RF",0.0395269636759715
"5","GC",3,"RE_RF",0.0418378906815733
"6","GC",3,"SRE_RF",0.0401721047828077
"7","GC",4,"RE_RF",0.0307154981028392
"8","GC",4,"SRE_RF",0.0301164284005196
"9","GC",5,"RE_RF",0.0399442182971107
"10","GC",5,"SRE_RF",0.0394671553290292
"11","GC",6,"RE_RF",0.0375065065253794
"12","GC",6,"SRE_RF",0.0375113324577367
