"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"GAM",0.0390373308875422
"2","GC",1,"RE_boosting",0.0383197848847273
"3","GC",1,"RE_RF",0.0366416085199667
"4","GC",1,"RE_bag",0.0383660643475137
"5","GC",1,"SRE_RF",0.0341888721867439
"6","GC",1,"SRE_bag",0.037785851566506
"7","GC",1,"SRE_boosting",0.0356249533601437
"8","GC",1,"SRE_PLTR",0.0359410254040567
"9","GC",2,"GAM",0.0421046296267234
"10","GC",2,"RE_boosting",0.0445246982816667
"11","GC",2,"RE_RF",0.0389197266923453
"12","GC",2,"RE_bag",0.0429994621356991
"13","GC",2,"SRE_RF",0.0386207817574517
"14","GC",2,"SRE_bag",0.0396453597577594
"15","GC",2,"SRE_boosting",0.0411969418681827
"16","GC",2,"SRE_PLTR",0.0395296039000533
"17","GC",3,"GAM",0.0468730587568981
"18","GC",3,"RE_boosting",0.0432852352176485
"19","GC",3,"RE_RF",0.0404411126956779
"20","GC",3,"RE_bag",0.0436690376658366
"21","GC",3,"SRE_RF",0.0426036095469872
"22","GC",3,"SRE_bag",0.0431666653763333
"23","GC",3,"SRE_boosting",0.0451527953049108
"24","GC",3,"SRE_PLTR",0.0410206198198625
"25","GC",4,"GAM",0.0315193043061098
"26","GC",4,"RE_boosting",0.0310688933865556
"27","GC",4,"RE_RF",0.0307718224406743
"28","GC",4,"RE_bag",0.030931407116271
"29","GC",4,"SRE_RF",0.0311491974736869
"30","GC",4,"SRE_bag",0.0303627728296129
"31","GC",4,"SRE_boosting",0.0290617939855385
"32","GC",4,"SRE_PLTR",0.0291905639689758
"33","GC",5,"GAM",0.0416519962681603
"34","GC",5,"RE_boosting",0.0403138554268551
"35","GC",5,"RE_RF",0.0380693887759167
"36","GC",5,"RE_bag",0.0382942135095067
"37","GC",5,"SRE_RF",0.0382038559774181
"38","GC",5,"SRE_bag",0.0379204262425574
"39","GC",5,"SRE_boosting",0.0394036777636975
"40","GC",5,"SRE_PLTR",0.0376497850933838
"41","GC",6,"GAM",0.040222647396861
"42","GC",6,"RE_boosting",0.0364882981639955
"43","GC",6,"RE_RF",0.035649087263717
"44","GC",6,"RE_bag",0.0380157237385722
"45","GC",6,"SRE_RF",0.0330673705167399
"46","GC",6,"SRE_bag",0.0345129579833304
"47","GC",6,"SRE_boosting",0.0368688140548092
"48","GC",6,"SRE_PLTR",0.0354803576170704
