"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"GAM",0.387638329979879
"2","GC",1,"RE_boosting",0.305094699750404
"3","GC",1,"RE_RF",0.362151567944251
"4","GC",1,"RE_bag",0.355527399429838
"5","GC",1,"SRE_RF",0.405403238736572
"6","GC",1,"SRE_bag",0.438830347734457
"7","GC",1,"SRE_boosting",0.459638054125851
"8","GC",1,"SRE_PLTR",0.358738425925926
"9","GC",2,"GAM",0.276098992728971
"10","GC",2,"RE_boosting",0.377031802120141
"11","GC",2,"RE_RF",0.490512947260352
"12","GC",2,"RE_bag",0.480950378469302
"13","GC",2,"SRE_RF",0.31840757107661
"14","GC",2,"SRE_bag",0.498608276118018
"15","GC",2,"SRE_boosting",0.451507092198582
"16","GC",2,"SRE_PLTR",0.487228607918263
"17","GC",3,"GAM",0.351208791208791
"18","GC",3,"RE_boosting",0.319864307798007
"19","GC",3,"RE_RF",0.358141505437085
"20","GC",3,"RE_bag",0.405593803786575
"21","GC",3,"SRE_RF",0.450137472791843
"22","GC",3,"SRE_bag",0.387959866220736
"23","GC",3,"SRE_boosting",0.462591362126246
"24","GC",3,"SRE_PLTR",0.361303344867359
"25","GC",4,"GAM",0.403776172142819
"26","GC",4,"RE_boosting",0.400124069478908
"27","GC",4,"RE_RF",0.427357195649879
"28","GC",4,"RE_bag",0.370336943441637
"29","GC",4,"SRE_RF",0.366241201806913
"30","GC",4,"SRE_bag",0.411861562331782
"31","GC",4,"SRE_boosting",0.431482133427213
"32","GC",4,"SRE_PLTR",0.377070828331333
"33","GC",5,"GAM",0.374400097199441
"34","GC",5,"RE_boosting",0.284019301731479
"35","GC",5,"RE_RF",0.434017146356399
"36","GC",5,"RE_bag",0.384679089026915
"37","GC",5,"SRE_RF",0.47805849027714
"38","GC",5,"SRE_bag",0.457962413452028
"39","GC",5,"SRE_boosting",0.430086234429895
"40","GC",5,"SRE_PLTR",0.408944281524927
"41","GC",6,"GAM",0.414694477871373
"42","GC",6,"RE_boosting",0.287304978312941
"43","GC",6,"RE_RF",0.432252856433184
"44","GC",6,"RE_bag",0.329861111111111
"45","GC",6,"SRE_RF",0.392325685562136
"46","GC",6,"SRE_bag",0.305858585858586
"47","GC",6,"SRE_boosting",0.351126927639383
"48","GC",6,"SRE_PLTR",0.405649540517962
