"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"LRR",0.450350877192983
"2","GC",1,"GAM",0.43170701883101
"3","GC",1,"LDA",0.423468729851709
"4","GC",1,"CTREE",0.282020872865275
"5","GC",1,"RF",0.419267399267399
"6","GC",1,"XGB",0.42566736211416
"7","GC",1,"LGBM",0.491875746714456
"8","GC",1,"RE_boosting",0.305094699750404
"9","GC",1,"RE_RF",0.372270604568976
"10","GC",1,"RE_bag",0.355527399429838
"11","GC",1,"SRE_RF",0.372432255244755
"12","GC",1,"SRE_bag",0.438830347734457
"13","GC",1,"SRE_boosting",0.459638054125851
"14","GC",1,"SRE_PLTR",0.352604166666667
"15","GC",1,"PLTR",0.358969907407407
"16","GC",2,"LRR",0.433490719635298
"17","GC",2,"GAM",0.2686031125953
"18","GC",2,"LDA",0.321193335916311
"19","GC",2,"CTREE",0.379094974239331
"20","GC",2,"RF",0.407830204633858
"21","GC",2,"XGB",0.374083747577723
"22","GC",2,"LGBM",0.438328438764981
"23","GC",2,"RE_boosting",0.377031802120141
"24","GC",2,"RE_RF",0.460204885736801
"25","GC",2,"RE_bag",0.480950378469302
"26","GC",2,"SRE_RF",0.352170385395538
"27","GC",2,"SRE_bag",0.498608276118018
"28","GC",2,"SRE_boosting",0.451507092198582
"29","GC",2,"SRE_PLTR",0.487827715355805
"30","GC",2,"PLTR",0.409348739495798
"31","GC",3,"LRR",0.346253859905737
"32","GC",3,"GAM",0.356709956709957
"33","GC",3,"LDA",0.305516431924883
"34","GC",3,"CTREE",0.275855855855856
"35","GC",3,"RF",0.411852904040404
"36","GC",3,"XGB",0.39300118623962
"37","GC",3,"LGBM",0.440188922284242
"38","GC",3,"RE_boosting",0.319864307798007
"39","GC",3,"RE_RF",0.323000321233537
"40","GC",3,"RE_bag",0.405593803786575
"41","GC",3,"SRE_RF",0.299498481316663
"42","GC",3,"SRE_bag",0.387959866220736
"43","GC",3,"SRE_boosting",0.462591362126246
"44","GC",3,"SRE_PLTR",0.367245258759241
"45","GC",3,"PLTR",0.362905369484317
"46","GC",4,"LRR",0.462893605215703
"47","GC",4,"GAM",0.365131578947368
"48","GC",4,"LDA",0.366846268485613
"49","GC",4,"CTREE",0.315699658703072
"50","GC",4,"RF",0.404587245696401
"51","GC",4,"XGB",0.283151450625499
"52","GC",4,"LGBM",0.327275480842041
"53","GC",4,"RE_boosting",0.400124069478908
"54","GC",4,"RE_RF",0.355928689883914
"55","GC",4,"RE_bag",0.370336943441637
"56","GC",4,"SRE_RF",0.407991587802313
"57","GC",4,"SRE_bag",0.411861562331782
"58","GC",4,"SRE_boosting",0.431482133427213
"59","GC",4,"SRE_PLTR",0.377070828331333
"60","GC",4,"PLTR",0.363658103987724
"61","GC",5,"LRR",0.48523000448193
"62","GC",5,"GAM",0.374400097199441
"63","GC",5,"LDA",0.329432624113475
"64","GC",5,"CTREE",0.0804232804232805
"65","GC",5,"RF",0.389108293494076
"66","GC",5,"XGB",0.414643891719109
"67","GC",5,"LGBM",0.365173473869126
"68","GC",5,"RE_boosting",0.284019301731479
"69","GC",5,"RE_RF",0.3910509780075
"70","GC",5,"RE_bag",0.384679089026915
"71","GC",5,"SRE_RF",0.31719552981483
"72","GC",5,"SRE_bag",0.457962413452028
"73","GC",5,"SRE_boosting",0.430086234429895
"74","GC",5,"SRE_PLTR",0.408944281524927
"75","GC",5,"PLTR",0.408944281524927
"76","GC",6,"LRR",0.505299083887192
"77","GC",6,"GAM",0.414560770156438
"78","GC",6,"LDA",0.442097902097902
"79","GC",6,"CTREE",0.270757020757021
"80","GC",6,"RF",0.467410895982324
"81","GC",6,"XGB",0.27191805877332
"82","GC",6,"LGBM",0.300109649122807
"83","GC",6,"RE_boosting",0.287304978312941
"84","GC",6,"RE_RF",0.384094530005311
"85","GC",6,"RE_bag",0.329861111111111
"86","GC",6,"SRE_RF",0.357796143250689
"87","GC",6,"SRE_bag",0.305858585858586
"88","GC",6,"SRE_boosting",0.351126927639383
"89","GC",6,"SRE_PLTR",0.394662921348315
"90","GC",6,"PLTR",0.379019530479384
