"","dataset","nr_fold","algorithm","metric"
"1","GMSC",1,"LRR",0.863317130447399
"2","GMSC",1,"GAM",0.827163164589206
"3","GMSC",1,"LDA",0.703329115028464
"4","GMSC",1,"CTREE",0.817023369511925
"5","GMSC",1,"RF",0.865515262933243
"6","GMSC",1,"XGB",0.862959783005662
"7","GMSC",1,"LGBM",0.861098817763263
"8","GMSC",1,"RE",0.861215511953381
"9","GMSC",1,"SRE",0.864884131618693
"10","GMSC",2,"LRR",0.858005341645717
"11","GMSC",2,"GAM",0.857706270804603
"12","GMSC",2,"LDA",0.690562658927532
"13","GMSC",2,"CTREE",0.81183781879823
"14","GMSC",2,"RF",0.862218281490989
"15","GMSC",2,"XGB",0.860450929633546
"16","GMSC",2,"LGBM",0.859017246043464
"17","GMSC",2,"RE",0.856544338746494
"18","GMSC",2,"SRE",0.862533455605701
"19","GMSC",3,"LRR",0.854789763232289
"20","GMSC",3,"GAM",0.851511120940809
"21","GMSC",3,"LDA",0.702105875838733
"22","GMSC",3,"CTREE",0.822346832123206
"23","GMSC",3,"RF",0.854040556812675
"24","GMSC",3,"XGB",0.857315810733414
"25","GMSC",3,"LGBM",0.855007885320558
"26","GMSC",3,"RE",0.849992959718569
"27","GMSC",3,"SRE",0.8551458501939
"28","GMSC",4,"LRR",0.866952940846204
"29","GMSC",4,"GAM",0.832117318769977
"30","GMSC",4,"LDA",0.69118165064442
"31","GMSC",4,"CTREE",0.813617445890954
"32","GMSC",4,"RF",0.867676949477584
"33","GMSC",4,"XGB",0.867250987758499
"34","GMSC",4,"LGBM",0.866457446875303
"35","GMSC",4,"RE",0.864504842684994
"36","GMSC",4,"SRE",0.869015129597365
"37","GMSC",5,"LRR",0.858445144239548
"38","GMSC",5,"GAM",0.855024253991913
"39","GMSC",5,"LDA",0.689913592858985
"40","GMSC",5,"CTREE",0.813944442031599
"41","GMSC",5,"RF",0.860221557955393
"42","GMSC",5,"XGB",0.860685138991435
"43","GMSC",5,"LGBM",0.858128152303837
"44","GMSC",5,"RE",0.857094825034089
"45","GMSC",5,"SRE",0.858964885126529
"46","GMSC",6,"LRR",0.862631751342083
"47","GMSC",6,"GAM",0.834030344493487
"48","GMSC",6,"LDA",0.706867419055249
"49","GMSC",6,"CTREE",0.828816470462524
"50","GMSC",6,"RF",0.865847824707628
"51","GMSC",6,"XGB",0.858262160089283
"52","GMSC",6,"LGBM",0.862691671599442
"53","GMSC",6,"RE",0.862154400740612
"54","GMSC",6,"SRE",0.863400727978194
"55","GMSC",7,"LRR",0.871032243989703
"56","GMSC",7,"GAM",0.869397896941402
"57","GMSC",7,"LDA",0.704732911558096
"58","GMSC",7,"CTREE",0.822954998036563
"59","GMSC",7,"RF",0.871995636807889
"60","GMSC",7,"XGB",0.873769222042847
"61","GMSC",7,"LGBM",0.871038073214364
"62","GMSC",7,"RE",0.868018499934552
"63","GMSC",7,"SRE",0.865758122082115
"64","GMSC",8,"LRR",0.850516079505453
"65","GMSC",8,"GAM",0.818120412399767
"66","GMSC",8,"LDA",0.687410321476978
"67","GMSC",8,"CTREE",0.795038054133108
"68","GMSC",8,"RF",0.850375195884798
"69","GMSC",8,"XGB",0.853996665035457
"70","GMSC",8,"LGBM",0.852262011150629
"71","GMSC",8,"RE",0.847280953192062
"72","GMSC",8,"SRE",0.849735898893005
"73","GMSC",9,"LRR",0.859243817694822
"74","GMSC",9,"GAM",0.828914737505986
"75","GMSC",9,"LDA",0.682925182269525
"76","GMSC",9,"CTREE",0.812494663275802
"77","GMSC",9,"RF",0.860637496993746
"78","GMSC",9,"XGB",0.861824885927198
"79","GMSC",9,"LGBM",0.856917469633996
"80","GMSC",9,"RE",0.856508941893919
"81","GMSC",9,"SRE",0.858815196737329
"82","GMSC",10,"LRR",0.861185829182948
"83","GMSC",10,"GAM",0.854533386450207
"84","GMSC",10,"LDA",0.704545835268238
"85","GMSC",10,"CTREE",0.810084455686126
"86","GMSC",10,"RF",0.862394583171657
"87","GMSC",10,"XGB",0.861378438963514
"88","GMSC",10,"LGBM",0.861799606598657
"89","GMSC",10,"RE",0.859018771437185
"90","GMSC",10,"SRE",0.861497930361535
