"","dataset","nr_fold","algorithm","metric"
"1","GMSC",1,"LRR",0.0505182378344885
"2","GMSC",1,"GAM",0.052265756748793
"3","GMSC",1,"LDA",0.0613908433167109
"4","GMSC",1,"CTREE",0.0553585503547963
"5","GMSC",1,"RF",0.0499594937603071
"6","GMSC",1,"XGB",0.0498002339503284
"7","GMSC",1,"LGBM",0.0501429838969925
"8","GMSC",1,"RE",0.0508513195416376
"9","GMSC",1,"SRE",0.0507219690667456
"10","GMSC",2,"LRR",0.0512277691674244
"11","GMSC",2,"GAM",0.0509714197361095
"12","GMSC",2,"LDA",0.0618310997348957
"13","GMSC",2,"CTREE",0.0531466153481855
"14","GMSC",2,"RF",0.0503836824541401
"15","GMSC",2,"XGB",0.0507043816017696
"16","GMSC",2,"LGBM",0.050888190417024
"17","GMSC",2,"RE",0.0523463460319286
"18","GMSC",2,"SRE",0.0517948629616885
"19","GMSC",3,"LRR",0.0525667082855456
"20","GMSC",3,"GAM",0.0523668752088968
"21","GMSC",3,"LDA",0.0633757024300064
"22","GMSC",3,"CTREE",0.0541923639582017
"23","GMSC",3,"RF",0.0517693262814124
"24","GMSC",3,"XGB",0.0515698119350981
"25","GMSC",3,"LGBM",0.0520118655082748
"26","GMSC",3,"RE",0.0531604402762806
"27","GMSC",3,"SRE",0.0524492156667334
"28","GMSC",4,"LRR",0.0493784025823369
"29","GMSC",4,"GAM",0.0513173527303899
"30","GMSC",4,"LDA",0.0598943099067369
"31","GMSC",4,"CTREE",0.0510677724396261
"32","GMSC",4,"RF",0.0490477543882832
"33","GMSC",4,"XGB",0.0490782379367694
"34","GMSC",4,"LGBM",0.0490549904069888
"35","GMSC",4,"RE",0.0499298873741472
"36","GMSC",4,"SRE",0.0500040719666205
"37","GMSC",5,"LRR",0.0504340645130913
"38","GMSC",5,"GAM",0.0498679536182796
"39","GMSC",5,"LDA",0.0620490246549149
"40","GMSC",5,"CTREE",0.0534932290979927
"41","GMSC",5,"RF",0.049890979624415
"42","GMSC",5,"XGB",0.0494707143329691
"43","GMSC",5,"LGBM",0.0499854328687331
"44","GMSC",5,"RE",0.0512908338763276
"45","GMSC",5,"SRE",0.0507249956624574
"46","GMSC",6,"LRR",0.0511507588769582
"47","GMSC",6,"GAM",0.0531696201971018
"48","GMSC",6,"LDA",0.0611987176541905
"49","GMSC",6,"CTREE",0.0531914278761625
"50","GMSC",6,"RF",0.0505796685269673
"51","GMSC",6,"XGB",0.0505589551692825
"52","GMSC",6,"LGBM",0.0512840365979413
"53","GMSC",6,"RE",0.0514803463473052
"54","GMSC",6,"SRE",0.0510234316033828
"55","GMSC",7,"LRR",0.0501316248840458
"56","GMSC",7,"GAM",0.049929436034792
"57","GMSC",7,"LDA",0.0619552600375537
"58","GMSC",7,"CTREE",0.0523647647158867
"59","GMSC",7,"RF",0.0497156091060994
"60","GMSC",7,"XGB",0.0496688891478215
"61","GMSC",7,"LGBM",0.0498195933344424
"62","GMSC",7,"RE",0.051086000700789
"63","GMSC",7,"SRE",0.050309418389147
"64","GMSC",8,"LRR",0.0513783337933529
"65","GMSC",8,"GAM",0.052503216609986
"66","GMSC",8,"LDA",0.0614080341490658
"67","GMSC",8,"CTREE",0.0530951222309192
"68","GMSC",8,"RF",0.0506792221843636
"69","GMSC",8,"XGB",0.0508185089230449
"70","GMSC",8,"LGBM",0.0508125950124809
"71","GMSC",8,"RE",0.0519373765054909
"72","GMSC",8,"SRE",0.0518675177488229
"73","GMSC",9,"LRR",0.0520148432143554
"74","GMSC",9,"GAM",0.0532711350111098
"75","GMSC",9,"LDA",0.0631201224331388
"76","GMSC",9,"CTREE",0.0537704622964855
"77","GMSC",9,"RF",0.0513024394318708
"78","GMSC",9,"XGB",0.051747911854702
"79","GMSC",9,"LGBM",0.0514692819168658
"80","GMSC",9,"RE",0.0529332672379656
"81","GMSC",9,"SRE",0.0521518831180955
"82","GMSC",10,"LRR",0.0499112764045688
"83","GMSC",10,"GAM",0.049874417134142
"84","GMSC",10,"LDA",0.060157939922754
"85","GMSC",10,"CTREE",0.0528132942364751
"86","GMSC",10,"RF",0.0493383944131768
"87","GMSC",10,"XGB",0.0495658680806019
"88","GMSC",10,"LGBM",0.0500421452511369
"89","GMSC",10,"RE",0.0501366663009752
"90","GMSC",10,"SRE",0.0498559089156742
