"","dataset","nr_fold","algorithm","metric"
"1","GMSC",1,"LRR",0.719095640733228
"2","GMSC",1,"GAM",0.572013365191475
"3","GMSC",1,"LDA",0.399011442240202
"4","GMSC",1,"CTREE",0.594914325836674
"5","GMSC",1,"RF",0.717453664771772
"6","GMSC",1,"XGB",0.658209084276157
"7","GMSC",1,"LGBM",0.657387724457285
"8","GMSC",1,"RE",0.665928569113816
"9","GMSC",1,"SRE",0.695317260442972
"10","GMSC",2,"LRR",0.700467367630212
"11","GMSC",2,"GAM",0.647147379180897
"12","GMSC",2,"LDA",0.376791409188875
"13","GMSC",2,"CTREE",0.50356554979692
"14","GMSC",2,"RF",0.713702457368351
"15","GMSC",2,"XGB",0.653022169386637
"16","GMSC",2,"LGBM",0.654528293387328
"17","GMSC",2,"RE",0.654796546199243
"18","GMSC",2,"SRE",0.686179544749907
"19","GMSC",3,"LRR",0.698566144765125
"20","GMSC",3,"GAM",0.618579977389278
"21","GMSC",3,"LDA",0.398341445040955
"22","GMSC",3,"CTREE",0.52194873947926
"23","GMSC",3,"RF",0.690701190216046
"24","GMSC",3,"XGB",0.6308595646649
"25","GMSC",3,"LGBM",0.624220221653549
"26","GMSC",3,"RE",0.638229931372008
"27","GMSC",3,"SRE",0.678176174879906
"28","GMSC",4,"LRR",0.721499047512791
"29","GMSC",4,"GAM",0.603162385643913
"30","GMSC",4,"LDA",0.376211013503241
"31","GMSC",4,"CTREE",0.545783255885621
"32","GMSC",4,"RF",0.727833105151353
"33","GMSC",4,"XGB",0.678880111504329
"34","GMSC",4,"LGBM",0.678650864203796
"35","GMSC",4,"RE",0.680423575947097
"36","GMSC",4,"SRE",0.697321236621897
"37","GMSC",5,"LRR",0.705920723971116
"38","GMSC",5,"GAM",0.624720347062426
"39","GMSC",5,"LDA",0.37531514478549
"40","GMSC",5,"CTREE",0.568583221495737
"41","GMSC",5,"RF",0.704979090163051
"42","GMSC",5,"XGB",0.641137807521509
"43","GMSC",5,"LGBM",0.635157440992483
"44","GMSC",5,"RE",0.658761865786879
"45","GMSC",5,"SRE",0.699123074068549
"46","GMSC",6,"LRR",0.714501993848328
"47","GMSC",6,"GAM",0.602984621505546
"48","GMSC",6,"LDA",0.406449170886864
"49","GMSC",6,"CTREE",0.608153770042445
"50","GMSC",6,"RF",0.714461089618181
"51","GMSC",6,"XGB",0.669233692634642
"52","GMSC",6,"LGBM",0.67375594907149
"53","GMSC",6,"RE",0.677932264180943
"54","GMSC",6,"SRE",0.698392972574802
"55","GMSC",7,"LRR",0.733637872507527
"56","GMSC",7,"GAM",0.666928973154474
"57","GMSC",7,"LDA",0.40417773344475
"58","GMSC",7,"CTREE",0.549390466141572
"59","GMSC",7,"RF",0.731074211308439
"60","GMSC",7,"XGB",0.675768899661901
"61","GMSC",7,"LGBM",0.677564229379726
"62","GMSC",7,"RE",0.67481708488596
"63","GMSC",7,"SRE",0.715017094986692
"64","GMSC",8,"LRR",0.683185156289607
"65","GMSC",8,"GAM",0.56060892085054
"66","GMSC",8,"LDA",0.368057617919202
"67","GMSC",8,"CTREE",0.495863960325131
"68","GMSC",8,"RF",0.682922104394447
"69","GMSC",8,"XGB",0.634906542588481
"70","GMSC",8,"LGBM",0.63910431782024
"71","GMSC",8,"RE",0.63130188123005
"72","GMSC",8,"SRE",0.680000090504911
"73","GMSC",9,"LRR",0.703111549780586
"74","GMSC",9,"GAM",0.584464422780324
"75","GMSC",9,"LDA",0.358405174291199
"76","GMSC",9,"CTREE",0.572394676124464
"77","GMSC",9,"RF",0.707028577824524
"78","GMSC",9,"XGB",0.652937597056366
"79","GMSC",9,"LGBM",0.650162617091693
"80","GMSC",9,"RE",0.658177866913702
"81","GMSC",9,"SRE",0.681089040018888
"82","GMSC",10,"LRR",0.713535046604162
"83","GMSC",10,"GAM",0.631856264042288
"84","GMSC",10,"LDA",0.404194033639026
"85","GMSC",10,"CTREE",0.565988072944838
"86","GMSC",10,"RF",0.707875381914202
"87","GMSC",10,"XGB",0.653849269845888
"88","GMSC",10,"LGBM",0.654420404651608
"89","GMSC",10,"RE",0.662236856189593
"90","GMSC",10,"SRE",0.695609827081855
