"","dataset","nr_fold","algorithm","metric"
"1","AC",1,"RE",0.661601105213408
"2","AC",1,"SRE",0.702756909892923
"3","AC",2,"RE",0.654037237533321
"4","AC",2,"SRE",0.693799346600884
"5","AC",3,"RE",0.63435112817087
"6","AC",3,"SRE",0.687847543304576
"7","AC",4,"RE",0.678570524581059
"8","AC",4,"SRE",0.699750499372911
"9","AC",5,"RE",0.659176754338022
"10","AC",5,"SRE",0.698829755992791
"11","AC",6,"RE",0.673904220515376
"12","AC",6,"SRE",0.69115716038959
"13","AC",7,"RE",0.677726437534927
"14","AC",7,"SRE",0.717304873685588
"15","AC",8,"RE",0.632137388691812
"16","AC",8,"SRE",0.682261864787219
"17","AC",9,"RE",0.655954092329141
"18","AC",9,"SRE",0.692469082720925
"19","AC",10,"RE",0.652871444267611
"20","AC",10,"SRE",0.700646296043462
