"","dataset","nr_fold","algorithm","metric"
"1","GMSC",1,"LRR",0.618920216102665
"2","GMSC",1,"GAM",0.615865829598385
"3","GMSC",1,"LDA",0.615572294661276
"4","GMSC",1,"CTREE",0.60877221354311
"5","GMSC",1,"RF",0.608352552577163
"6","GMSC",1,"XGB",0.612022998066885
"7","GMSC",1,"LGBM",0.61802387659306
"8","GMSC",1,"RE_boosting",0.610374776000007
"9","GMSC",1,"RE_RF",0.612865069430267
"10","GMSC",1,"RE_bag",0.612043092932871
"11","GMSC",1,"SRE_RF",0.618162010681111
"12","GMSC",1,"SRE_bag",0.618162010681111
"13","GMSC",1,"SRE_boosting",0.618680502115091
"14","GMSC",1,"SRE_PLTR",0.618162010681111
"15","GMSC",1,"PLTR",0.618159261249622
"16","GMSC",2,"LRR",0.610260055974484
"17","GMSC",2,"GAM",0.609555960757464
"18","GMSC",2,"LDA",0.609551735803587
"19","GMSC",2,"CTREE",0.601552775341845
"20","GMSC",2,"RF",0.60502223594057
"21","GMSC",2,"XGB",0.612892967388787
"22","GMSC",2,"LGBM",0.612736980927302
"23","GMSC",2,"RE_boosting",0.600579135552647
"24","GMSC",2,"RE_RF",0.600114881319673
"25","GMSC",2,"RE_bag",0.600095195363323
"26","GMSC",2,"SRE_RF",0.610062722351193
"27","GMSC",2,"SRE_bag",0.610062722351193
"28","GMSC",2,"SRE_boosting",0.609978639115576
"29","GMSC",2,"SRE_PLTR",0.610062722351193
"30","GMSC",2,"PLTR",0.610057000366415
"31","GMSC",3,"LRR",0.614695364002457
"32","GMSC",3,"GAM",0.614956753336054
"33","GMSC",3,"LDA",0.614653745823716
"34","GMSC",3,"CTREE",0.603483887232993
"35","GMSC",3,"RF",0.598136825213399
"36","GMSC",3,"XGB",0.60934425116889
"37","GMSC",3,"LGBM",0.617975578959688
"38","GMSC",3,"RE_boosting",0.611232932829328
"39","GMSC",3,"RE_RF",0.614149154400038
"40","GMSC",3,"RE_bag",0.60945561127574
"41","GMSC",3,"SRE_RF",0.613679988959917
"42","GMSC",3,"SRE_bag",0.613679988959917
"43","GMSC",3,"SRE_boosting",0.612613929039464
"44","GMSC",3,"SRE_PLTR",0.613679988959917
"45","GMSC",3,"PLTR",0.613679988959917
"46","GMSC",4,"LRR",0.614969681393142
"47","GMSC",4,"GAM",0.612780247194913
"48","GMSC",4,"LDA",0.61315354484439
"49","GMSC",4,"CTREE",0.600906229971772
"50","GMSC",4,"RF",0.592660008569101
"51","GMSC",4,"XGB",0.607157685190737
"52","GMSC",4,"LGBM",0.616579035920616
"53","GMSC",4,"RE_boosting",0.604566302095758
"54","GMSC",4,"RE_RF",0.602423245337255
"55","GMSC",4,"RE_bag",0.604879852832029
"56","GMSC",4,"SRE_RF",0.61435921693331
"57","GMSC",4,"SRE_bag",0.61435921693331
"58","GMSC",4,"SRE_boosting",0.61400175811902
"59","GMSC",4,"SRE_PLTR",0.61435921693331
"60","GMSC",4,"PLTR",0.61435586625059
"61","GMSC",5,"LRR",0.616265474656864
"62","GMSC",5,"GAM",0.612589083051342
"63","GMSC",5,"LDA",0.613060760975599
"64","GMSC",5,"CTREE",0.602528196496403
"65","GMSC",5,"RF",0.594866989332297
"66","GMSC",5,"XGB",0.603723146832298
"67","GMSC",5,"LGBM",0.617406060959638
"68","GMSC",5,"RE_boosting",0.60896363956817
"69","GMSC",5,"RE_RF",0.612354979023236
"70","GMSC",5,"RE_bag",0.607750082272398
"71","GMSC",5,"SRE_RF",0.615558003426636
"72","GMSC",5,"SRE_bag",0.615558003426636
"73","GMSC",5,"SRE_boosting",0.615254846534045
"74","GMSC",5,"SRE_PLTR",0.615558003426636
"75","GMSC",5,"SRE_PLTR",0.615558003426636
"76","GMSC",5,"PLTR",0.61555972175842
"77","GMSC",6,"LRR",0.611479792516223
"78","GMSC",6,"GAM",0.612621094838949
"79","GMSC",6,"LDA",0.612582372733478
"80","GMSC",6,"CTREE",0.603080389538573
"81","GMSC",6,"RF",0.598206374153062
"82","GMSC",6,"XGB",0.610426753694246
"83","GMSC",6,"LGBM",0.617943048735317
"84","GMSC",6,"RE_boosting",0.611100557325347
"85","GMSC",6,"RE_RF",0.611741687364989
"86","GMSC",6,"RE_bag",0.611301838430484
"87","GMSC",6,"SRE_RF",0.610820886151111
"88","GMSC",6,"SRE_bag",0.610820886151111
"89","GMSC",6,"SRE_boosting",0.611568263442007
"90","GMSC",6,"SRE_PLTR",0.610820886151111
"91","GMSC",6,"PLTR",0.610820886151111
