"","dataset","nr_fold","algorithm","metric"
"1","GMSC",5,"LRR",0.0504239308904722
"2","GMSC",5,"GAM",0.0550099862617135
"3","GMSC",5,"LDA",0.0620490246549149
"4","GMSC",5,"CTREE",0.0534783434219237
"5","GMSC",5,"RF",0.0511567779697255
"6","GMSC",5,"XGB",0.052429533034128
"7","GMSC",5,"LGBM",0.0530053778604488
"8","GMSC",5,"RE_boosting",0.0514077847497882
"9","GMSC",5,"RE_RF",0.0511890893273967
"10","GMSC",5,"RE_bag",0.0511034272138697
"11","GMSC",5,"SRE_RF",0.0564039917573124
"12","GMSC",5,"SRE_bag",0.0521639569543001
"13","GMSC",5,"SRE_boosting",0.0499675724762125
"14","GMSC",5,"SRE_PLTR",0.0564039917573124
"15","GMSC",5,"PLTR",0.0603970249093574
"16","GMSC",6,"LRR",0.0511139572336219
"17","GMSC",6,"GAM",0.0582059362856911
"18","GMSC",6,"LDA",0.0611987176541905
"19","GMSC",6,"CTREE",0.0531914278761625
"20","GMSC",6,"RF",0.0516457832801351
"21","GMSC",6,"XGB",0.0520064923129245
"22","GMSC",6,"LGBM",0.0525534597371719
"23","GMSC",6,"RE_boosting",0.051482505003615
"24","GMSC",6,"RE_RF",0.0509710347167795
"25","GMSC",6,"RE_bag",0.050307783915292
"26","GMSC",6,"SRE_RF",0.0550406635698358
"27","GMSC",6,"SRE_bag",0.0507648533658258
"28","GMSC",6,"SRE_boosting",0.0504329142639908
"29","GMSC",6,"SRE_PLTR",0.0517365459586217
"30","GMSC",6,"PLTR",0.0547613535591868
