"","dataset","nr_fold","algorithm","metric"
"1","GMSC",1,"LRR",0.0152812226736688
"2","GMSC",1,"GAM",0.0151327423319028
"3","GMSC",1,"LDA",0.0150352953890271
"4","GMSC",1,"CTREE",0.014629392064232
"5","GMSC",1,"RF",0.0143716206768041
"6","GMSC",1,"XGB",0.0139819922485683
"7","GMSC",1,"LGBM",0.0150699486129822
"8","GMSC",1,"RE_boosting",0.0148372725246085
"9","GMSC",1,"RE_RF",0.01500093007496
"10","GMSC",1,"RE_bag",0.0150010706619335
"11","GMSC",1,"SRE_RF",0.0152883934987178
"12","GMSC",1,"SRE_bag",0.0152883934987178
"13","GMSC",1,"SRE_boosting",0.0152978711999992
"14","GMSC",1,"SRE_PLTR",0.0152883934987178
"15","GMSC",1,"PLTR",0.0152884401369019
"16","GMSC",2,"LRR",0.0142260772554603
"17","GMSC",2,"GAM",0.0141780424057949
"18","GMSC",2,"LDA",0.0141467815353669
"19","GMSC",2,"CTREE",0.0136596943940654
"20","GMSC",2,"RF",0.013704170756836
"21","GMSC",2,"XGB",0.0142107405770556
"22","GMSC",2,"LGBM",0.0142888878665862
"23","GMSC",2,"RE_boosting",0.0140016684599207
"24","GMSC",2,"RE_RF",0.013595604414777
"25","GMSC",2,"RE_bag",0.0135989139483099
"26","GMSC",2,"SRE_RF",0.0141897924505281
"27","GMSC",2,"SRE_bag",0.0141897924505281
"28","GMSC",2,"SRE_boosting",0.0143592296704793
"29","GMSC",2,"SRE_PLTR",0.0141897924505281
"30","GMSC",2,"PLTR",0.0141933223826194
"31","GMSC",3,"LRR",0.0151986581024519
"32","GMSC",3,"GAM",0.0150022042261888
"33","GMSC",3,"LDA",0.0150733985941459
"34","GMSC",3,"CTREE",0.0141727988163373
"35","GMSC",3,"RF",0.0136165668978294
"36","GMSC",3,"XGB",0.0142577615335
"37","GMSC",3,"LGBM",0.0150101938876548
"38","GMSC",3,"RE_boosting",0.014856005921795
"39","GMSC",3,"RE_RF",0.0151128263314754
"40","GMSC",3,"RE_bag",0.0148137042293746
"41","GMSC",3,"SRE_RF",0.0151047557829692
"42","GMSC",3,"SRE_bag",0.0151047557829692
"43","GMSC",3,"SRE_boosting",0.0148216207752025
"44","GMSC",3,"SRE_PLTR",0.0151047557829692
"45","GMSC",3,"PLTR",0.0151047557829692
"46","GMSC",4,"LRR",0.0148760258255877
"47","GMSC",4,"GAM",0.0146295678644991
"48","GMSC",4,"LDA",0.0146477863975725
"49","GMSC",4,"CTREE",0.0139893473298043
"50","GMSC",4,"RF",0.0130916458244397
"51","GMSC",4,"XGB",0.0140442182885821
"52","GMSC",4,"LGBM",0.0147586449898846
"53","GMSC",4,"RE_boosting",0.0141183103339201
"54","GMSC",4,"RE_RF",0.0140383462183636
"55","GMSC",4,"RE_bag",0.0141866621823328
"56","GMSC",4,"SRE_RF",0.0147546575675689
"57","GMSC",4,"SRE_bag",0.0147546575675689
"58","GMSC",4,"SRE_boosting",0.0148037674656826
"59","GMSC",4,"SRE_PLTR",0.0147546575675689
"60","GMSC",4,"PLTR",0.0147577392639645
"61","GMSC",5,"LRR",0.0146654857146148
"62","GMSC",5,"GAM",0.014656574492773
"63","GMSC",5,"LDA",0.0146545816768475
"64","GMSC",5,"CTREE",0.0138895450858877
"65","GMSC",5,"RF",0.0132229868613743
"66","GMSC",5,"XGB",0.0138172190578053
"67","GMSC",5,"LGBM",0.0150072412270734
"68","GMSC",5,"RE_boosting",0.014461872467229
"69","GMSC",5,"RE_RF",0.014854521118766
"70","GMSC",5,"RE_bag",0.0144198283061137
"71","GMSC",5,"SRE_RF",0.0148426523654326
"72","GMSC",5,"SRE_bag",0.0148426523654326
"73","GMSC",5,"SRE_boosting",0.0146263809108616
"74","GMSC",5,"SRE_PLTR",0.0148426523654326
"75","GMSC",5,"PLTR",0.014843133483507
"76","GMSC",6,"LRR",0.01471048649965
"77","GMSC",6,"GAM",0.014701121150111
"78","GMSC",6,"LDA",0.0147318220913358
"79","GMSC",6,"CTREE",0.0140034140140998
"80","GMSC",6,"RF",0.0133867576429283
"81","GMSC",6,"XGB",0.0145247594027804
"82","GMSC",6,"LGBM",0.0149826227134108
"83","GMSC",6,"RE_boosting",0.0143997550428805
"84","GMSC",6,"RE_RF",0.0147595681538554
"85","GMSC",6,"RE_bag",0.0147016013092691
"86","GMSC",6,"SRE_RF",0.014608118078711
"87","GMSC",6,"SRE_bag",0.014608118078711
"88","GMSC",6,"SRE_boosting",0.0144544328450084
"89","GMSC",6,"SRE_PLTR",0.014608118078711
"90","GMSC",6,"PLTR",0.014608118078711
