"","dataset","nr_fold","algorithm","metric"
"1","GMSC",5,"LRR",0.701929947614679
"2","GMSC",5,"GAM",0.588400339375095
"3","GMSC",5,"LDA",0.37531514478549
"4","GMSC",5,"CTREE",0.531351414092913
"5","GMSC",5,"RF",0.621465332816534
"6","GMSC",5,"XGB",0.657827469214095
"7","GMSC",5,"LGBM",0.606585067916884
"8","GMSC",5,"RE_boosting",0.646883769826468
"9","GMSC",5,"RE_RF",0.647943981582882
"10","GMSC",5,"RE_bag",0.635760822046222
"11","GMSC",5,"SRE_RF",0.605370434196353
"12","GMSC",5,"SRE_bag",0.662049739444168
"13","GMSC",5,"SRE_boosting",0.698097160178875
"14","GMSC",5,"SRE_PLTR",0.605370434196353
"15","GMSC",5,"PLTR",0.394107810870449
"16","GMSC",6,"LRR",0.697560229210159
"17","GMSC",6,"GAM",0.392236864038072
"18","GMSC",6,"LDA",0.406449170886864
"19","GMSC",6,"CTREE",0.608281276547742
"20","GMSC",6,"RF",0.614137770937543
"21","GMSC",6,"XGB",0.654502157863459
"22","GMSC",6,"LGBM",0.638100257608111
"23","GMSC",6,"RE_boosting",0.66811464512036
"24","GMSC",6,"RE_RF",0.670281488459727
"25","GMSC",6,"RE_bag",0.64972750758632
"26","GMSC",6,"SRE_RF",0.605120174241497
"27","GMSC",6,"SRE_bag",0.68451426938468
"28","GMSC",6,"SRE_boosting",0.696415039462324
"29","GMSC",6,"SRE_PLTR",0.636394350387834
"30","GMSC",6,"PLTR",0.423109138062802
