"","dataset","nr_fold","algorithm","metric"
"1","GMSC",1,"LRR",0.863380934969995
"2","GMSC",1,"GAM",0.729777142524633
"3","GMSC",1,"LDA",0.703329115028464
"4","GMSC",1,"CTREE",0.817023369511925
"5","GMSC",1,"RF",0.853152171540249
"6","GMSC",1,"XGB",0.843110680350643
"7","GMSC",1,"LGBM",0.859164361503089
"8","GMSC",1,"RE_boosting",0.857510778507127
"9","GMSC",1,"RE_RF",0.860218399581824
"10","GMSC",1,"RE_bag",0.860315229437624
"11","GMSC",1,"SRE_RF",0.813222262457833
"12","GMSC",1,"SRE_bag",0.854419452896925
"13","GMSC",1,"SRE_boosting",0.863563363962546
"14","GMSC",1,"SRE_PLTR",0.857877040332109
"15","GMSC",1,"PLTR",0.814980466620934
"16","GMSC",2,"LRR",0.858690363653407
"17","GMSC",2,"GAM",0.806052875977861
"18","GMSC",2,"LDA",0.690562658927532
"19","GMSC",2,"CTREE",0.80837937709303
"20","GMSC",2,"RF",0.854760391375649
"21","GMSC",2,"XGB",0.843397809012503
"22","GMSC",2,"LGBM",0.825026681155394
"23","GMSC",2,"RE_boosting",0.848522869215189
"24","GMSC",2,"RE_RF",0.854086374443584
"25","GMSC",2,"RE_bag",0.850709363266014
"26","GMSC",2,"SRE_RF",0.808462460140003
"27","GMSC",2,"SRE_bag",0.838000891797886
"28","GMSC",2,"SRE_boosting",0.858463757543487
"29","GMSC",2,"SRE_PLTR",0.826538244114517
"30","GMSC",2,"PLTR",0.771410550428878
"31","GMSC",3,"LRR",0.848138220335961
"32","GMSC",3,"GAM",0.805846561840744
"33","GMSC",3,"LDA",0.702105875838733
"34","GMSC",3,"CTREE",0.82238454913894
"35","GMSC",3,"RF",0.845557411287491
"36","GMSC",3,"XGB",0.838900563366264
"37","GMSC",3,"LGBM",0.833817288507995
"38","GMSC",3,"RE_boosting",0.850445906167047
"39","GMSC",3,"RE_RF",0.849319324234292
"40","GMSC",3,"RE_bag",0.844443937900132
"41","GMSC",3,"SRE_RF",0.78864869789704
"42","GMSC",3,"SRE_bag",0.835453358186862
"43","GMSC",3,"SRE_boosting",0.851202950333125
"44","GMSC",3,"SRE_PLTR",0.803559274686043
"45","GMSC",3,"PLTR",0.707489004394683
"46","GMSC",4,"LRR",0.865603502780099
"47","GMSC",4,"GAM",0.710596917242331
"48","GMSC",4,"LDA",0.69118165064442
"49","GMSC",4,"CTREE",0.819765006247078
"50","GMSC",4,"RF",0.854234636818291
"51","GMSC",4,"XGB",0.849842991340258
"52","GMSC",4,"LGBM",0.852458190621423
"53","GMSC",4,"RE_boosting",0.860774709802979
"54","GMSC",4,"RE_RF",0.868867224719217
"55","GMSC",4,"RE_bag",0.868851853292505
"56","GMSC",4,"SRE_RF",0.820419590876127
"57","GMSC",4,"SRE_bag",0.855176443411247
"58","GMSC",4,"SRE_boosting",0.866662615730425
"59","GMSC",4,"SRE_PLTR",0.862958029726607
"60","GMSC",4,"PLTR",0.702879775453044
"61","GMSC",5,"LRR",0.858725593806499
"62","GMSC",5,"GAM",0.811294543311659
"63","GMSC",5,"LDA",0.689913592858985
"64","GMSC",5,"CTREE",0.813944442031599
"65","GMSC",5,"RF",0.850292629190911
"66","GMSC",5,"XGB",0.844506381136836
"67","GMSC",5,"LGBM",0.841255788818259
"68","GMSC",5,"RE_boosting",0.850081872390412
"69","GMSC",5,"RE_RF",0.855564836268158
"70","GMSC",5,"RE_bag",0.849360571490476
"71","GMSC",5,"SRE_RF",0.806722935620179
"72","GMSC",5,"SRE_bag",0.83613031071644
"73","GMSC",5,"SRE_boosting",0.857988731802163
"74","GMSC",5,"SRE_PLTR",0.806722935620179
"75","GMSC",5,"PLTR",0.701686529979324
"76","GMSC",6,"LRR",0.862528214218943
"77","GMSC",6,"GAM",0.714409396230359
"78","GMSC",6,"LDA",0.706867419055249
"79","GMSC",6,"CTREE",0.812637648088258
"80","GMSC",6,"RF",0.847364719079506
"81","GMSC",6,"XGB",0.842915022417869
"82","GMSC",6,"LGBM",0.850983719122629
"83","GMSC",6,"RE_boosting",0.854895050974918
"84","GMSC",6,"RE_RF",0.861796114301879
"85","GMSC",6,"RE_bag",0.862445885620345
"86","GMSC",6,"SRE_RF",0.813675383664326
"87","GMSC",6,"SRE_bag",0.85426962887764
"88","GMSC",6,"SRE_boosting",0.860370626200567
"89","GMSC",6,"SRE_PLTR",0.848070881782696
"90","GMSC",6,"PLTR",0.801823700205049
