"","dataset","nr_fold","algorithm","metric"
"1","GMSC",1,"RE_RF",0.860100266455829
"2","GMSC",1,"SRE_RF",0.861369056940377
"3","GMSC",2,"RE_RF",0.853198830916401
"4","GMSC",2,"SRE_RF",0.851716978145467
"5","GMSC",3,"RE_RF",0.848473669039416
"6","GMSC",3,"SRE_RF",0.849193578031201
"7","GMSC",4,"RE_RF",0.867827199761216
"8","GMSC",4,"SRE_RF",0.865712979091468
"9","GMSC",5,"RE_RF",0.851901087885551
"10","GMSC",5,"SRE_RF",0.852165661629135
"11","GMSC",6,"RE_RF",0.863517674817351
"12","GMSC",6,"SRE_RF",0.859692588612286
