"","dataset","nr_fold","algorithm","metric"
"1","GMSC",1,"GAM",0.812057882564442
"2","GMSC",1,"RE_boosting",0.856962789609535
"3","GMSC",1,"RE_RF",0.862488443765579
"4","GMSC",1,"RE_bag",0.860315229437624
"5","GMSC",1,"SRE_RF",0.863454461083769
"6","GMSC",1,"SRE_bag",0.86074283906541
"7","GMSC",1,"SRE_boosting",0.861684289185681
"8","GMSC",1,"SRE_PLTR",0.862152680362014
"9","GMSC",2,"GAM",0.796160684230205
"10","GMSC",2,"RE_boosting",0.849676784796485
"11","GMSC",2,"RE_RF",0.856904341843386
"12","GMSC",2,"RE_bag",0.850709363266014
"13","GMSC",2,"SRE_RF",0.85308558060142
"14","GMSC",2,"SRE_bag",0.854008424754571
"15","GMSC",2,"SRE_boosting",0.858365168942678
"16","GMSC",2,"SRE_PLTR",0.858061597623354
"17","GMSC",3,"GAM",0.799872350833139
"18","GMSC",3,"RE_boosting",0.84825386987876
"19","GMSC",3,"RE_RF",0.847150082440087
"20","GMSC",3,"RE_bag",0.844443937900132
"21","GMSC",3,"SRE_RF",0.850703251213601
"22","GMSC",3,"SRE_bag",0.849086964143713
"23","GMSC",3,"SRE_boosting",0.851245903921824
"24","GMSC",3,"SRE_PLTR",0.849652958961491
"25","GMSC",4,"GAM",0.810137549732519
"26","GMSC",4,"RE_boosting",0.854292442042685
"27","GMSC",4,"RE_RF",0.86841055622987
"28","GMSC",4,"RE_bag",0.868851853292505
"29","GMSC",4,"SRE_RF",0.865859404560002
"30","GMSC",4,"SRE_bag",0.866583918355641
"31","GMSC",4,"SRE_boosting",0.865576404325967
"32","GMSC",4,"SRE_PLTR",0.867613334864222
"33","GMSC",5,"GAM",0.804418213667741
"34","GMSC",5,"RE_boosting",0.847492959212212
"35","GMSC",5,"RE_RF",0.855465315137542
"36","GMSC",5,"RE_bag",0.849360571490476
"37","GMSC",5,"SRE_RF",0.859124237829346
"38","GMSC",5,"SRE_bag",0.853301412437735
"39","GMSC",5,"SRE_boosting",0.85856498222782
"40","GMSC",5,"SRE_PLTR",0.858390907671177
"41","GMSC",6,"GAM",0.806567740133254
"42","GMSC",6,"RE_boosting",0.849770139823109
"43","GMSC",6,"RE_RF",0.863011563903896
"44","GMSC",6,"RE_bag",0.862445885620345
"45","GMSC",6,"SRE_RF",0.861649630798758
"46","GMSC",6,"SRE_bag",0.860764730696555
"47","GMSC",6,"SRE_boosting",0.859988096406824
"48","GMSC",6,"SRE_PLTR",0.861691271495863
