"","dataset","nr_fold","algorithm","metric"
"1","GMSC",1,"LRR",0.0505875567610402
"2","GMSC",1,"GAM",0.0579750999223549
"3","GMSC",1,"LDA",0.0613908433167109
"4","GMSC",1,"CTREE",0.0527739119473258
"5","GMSC",1,"RF",0.0510573677509463
"6","GMSC",1,"XGB",0.0514435168382121
"7","GMSC",1,"LGBM",0.0528661566395336
"8","GMSC",1,"RE_boosting",0.0505720813878247
"9","GMSC",1,"RE_RF",0.0505892973631654
"10","GMSC",1,"RE_bag",0.0503809587474343
"11","GMSC",1,"SRE_RF",0.055604873425901
"12","GMSC",1,"SRE_bag",0.0505494333488183
"13","GMSC",1,"SRE_boosting",0.050173603103085
"14","GMSC",1,"SRE_PLTR",0.0505486118726156
"15","GMSC",1,"PLTR",0.0538323816062451
"16","GMSC",2,"LRR",0.0512376014829956
"17","GMSC",2,"GAM",0.0556129888646671
"18","GMSC",2,"LDA",0.0618310997348957
"19","GMSC",2,"CTREE",0.0532206739327851
"20","GMSC",2,"RF",0.0514706288057079
"21","GMSC",2,"XGB",0.0519389344348348
"22","GMSC",2,"LGBM",0.0534193420827803
"23","GMSC",2,"RE_boosting",0.0509893798467385
"24","GMSC",2,"RE_RF",0.0506232954654243
"25","GMSC",2,"RE_bag",0.0517360597676707
"26","GMSC",2,"SRE_RF",0.0559824894335939
"27","GMSC",2,"SRE_bag",0.0521384829099805
"28","GMSC",2,"SRE_boosting",0.0505316387172251
"29","GMSC",2,"SRE_PLTR",0.0523675457134064
"30","GMSC",2,"PLTR",0.0555517739763481
"31","GMSC",3,"LRR",0.0524071128100444
"32","GMSC",3,"GAM",0.0570936970528634
"33","GMSC",3,"LDA",0.0633757024300064
"34","GMSC",3,"CTREE",0.0538064162873936
"35","GMSC",3,"RF",0.0528568017232921
"36","GMSC",3,"XGB",0.0534948174751407
"37","GMSC",3,"LGBM",0.0536777038482648
"38","GMSC",3,"RE_boosting",0.0521085111867259
"39","GMSC",3,"RE_RF",0.0525359514454492
"40","GMSC",3,"RE_bag",0.0528905200628501
"41","GMSC",3,"SRE_RF",0.057753200766456
"42","GMSC",3,"SRE_bag",0.0531123588565315
"43","GMSC",3,"SRE_boosting",0.0522932383445661
"44","GMSC",3,"SRE_PLTR",0.057753200766456
"45","GMSC",3,"PLTR",0.0637874466286107
"46","GMSC",4,"LRR",0.049377480195212
"47","GMSC",4,"GAM",0.0569932902716474
"48","GMSC",4,"LDA",0.0598943099067369
"49","GMSC",4,"CTREE",0.0510677724396261
"50","GMSC",4,"RF",0.0499988284313123
"51","GMSC",4,"XGB",0.0507956933573707
"52","GMSC",4,"LGBM",0.0515640924220817
"53","GMSC",4,"RE_boosting",0.0498531541834631
"54","GMSC",4,"RE_RF",0.0491218062171526
"55","GMSC",4,"RE_bag",0.0490247956188584
"56","GMSC",4,"SRE_RF",0.0537376221723674
"57","GMSC",4,"SRE_bag",0.0496679410404813
"58","GMSC",4,"SRE_boosting",0.0487111534747042
"59","GMSC",4,"SRE_PLTR",0.0491817234735383
"60","GMSC",4,"PLTR",0.0513305339505693
"61","GMSC",5,"LRR",0.0504239308904722
"62","GMSC",5,"GAM",0.0550099862617135
"63","GMSC",5,"LDA",0.0620490246549149
"64","GMSC",5,"CTREE",0.0534783434219237
"65","GMSC",5,"RF",0.0511567779697255
"66","GMSC",5,"XGB",0.052429533034128
"67","GMSC",5,"LGBM",0.0530053778604488
"68","GMSC",5,"RE_boosting",0.0514077847497882
"69","GMSC",5,"RE_RF",0.0505412222169256
"70","GMSC",5,"RE_bag",0.0511034272138697
"71","GMSC",5,"SRE_RF",0.0564039917573124
"72","GMSC",5,"SRE_bag",0.0521639569543001
"73","GMSC",5,"SRE_boosting",0.0499675724762125
"74","GMSC",5,"SRE_PLTR",0.0564039917573124
"75","GMSC",5,"PLTR",0.0603970249093574
"76","GMSC",6,"LRR",0.0511139572336219
"77","GMSC",6,"GAM",0.0582059362856911
"78","GMSC",6,"LDA",0.0611987176541905
"79","GMSC",6,"CTREE",0.0531914278761625
"80","GMSC",6,"RF",0.0516457832801351
"81","GMSC",6,"XGB",0.0520064923129245
"82","GMSC",6,"LGBM",0.0525534597371719
"83","GMSC",6,"RE_boosting",0.051482505003615
"84","GMSC",6,"RE_RF",0.0505608137185952
"85","GMSC",6,"RE_bag",0.050307783915292
"86","GMSC",6,"SRE_RF",0.0550406635698358
"87","GMSC",6,"SRE_bag",0.0507648533658258
"88","GMSC",6,"SRE_boosting",0.0504329142639908
"89","GMSC",6,"SRE_PLTR",0.0517365459586217
"90","GMSC",6,"PLTR",0.0547613535591868
