"","dataset","nr_fold","algorithm","metric"
"1","GMSC",1,"RE_RF",0.0511942352082529
"2","GMSC",1,"SRE_RF",0.0502528858270606
"3","GMSC",2,"RE_RF",0.0510655943974148
"4","GMSC",2,"SRE_RF",0.0514789083940099
"5","GMSC",3,"RE_RF",0.0529325808621375
"6","GMSC",3,"SRE_RF",0.0521129706656224
"7","GMSC",4,"RE_RF",0.0488712516008717
"8","GMSC",4,"SRE_RF",0.0495845970324013
"9","GMSC",5,"RE_RF",0.0507749797181904
"10","GMSC",5,"SRE_RF",0.0507282862507739
"11","GMSC",6,"RE_RF",0.0512129925341196
"12","GMSC",6,"SRE_RF",0.0506762996263062
