"","dataset","nr_fold","algorithm","metric"
"1","GMSC",1,"GAM",0.0549976609811885
"2","GMSC",1,"RE_boosting",0.0506615248979034
"3","GMSC",1,"RE_RF",0.0501493693627795
"4","GMSC",1,"RE_bag",0.0503809587474343
"5","GMSC",1,"SRE_RF",0.0501857243508762
"6","GMSC",1,"SRE_bag",0.0501798903275015
"7","GMSC",1,"SRE_boosting",0.049970011035134
"8","GMSC",1,"SRE_PLTR",0.0505158179470329
"9","GMSC",2,"GAM",0.0563997568412606
"10","GMSC",2,"RE_boosting",0.050877981924953
"11","GMSC",2,"RE_RF",0.0507520035068353
"12","GMSC",2,"RE_bag",0.0517360597676707
"13","GMSC",2,"SRE_RF",0.0510748152549392
"14","GMSC",2,"SRE_bag",0.0513856068938514
"15","GMSC",2,"SRE_boosting",0.0506593672537199
"16","GMSC",2,"SRE_PLTR",0.051231199186685
"17","GMSC",3,"GAM",0.0574803955364771
"18","GMSC",3,"RE_boosting",0.0520002381958408
"19","GMSC",3,"RE_RF",0.052578020290528
"20","GMSC",3,"RE_bag",0.0528905200628501
"21","GMSC",3,"SRE_RF",0.0521812832633554
"22","GMSC",3,"SRE_bag",0.0521864558069637
"23","GMSC",3,"SRE_boosting",0.0523761449070782
"24","GMSC",3,"SRE_PLTR",0.0524787381445341
"25","GMSC",4,"GAM",0.0540592616540552
"26","GMSC",4,"RE_boosting",0.0496666267441729
"27","GMSC",4,"RE_RF",0.0488974900067755
"28","GMSC",4,"RE_bag",0.0490247956188584
"29","GMSC",4,"SRE_RF",0.0495648364836609
"30","GMSC",4,"SRE_bag",0.0490950058571774
"31","GMSC",4,"SRE_boosting",0.0487866680191779
"32","GMSC",4,"SRE_PLTR",0.0489943996410377
"33","GMSC",5,"GAM",0.0559086792823358
"34","GMSC",5,"RE_boosting",0.0510640943989416
"35","GMSC",5,"RE_RF",0.0513547120172831
"36","GMSC",5,"RE_bag",0.0511034272138697
"37","GMSC",5,"SRE_RF",0.0508726187013973
"38","GMSC",5,"SRE_bag",0.0507586048915161
"39","GMSC",5,"SRE_boosting",0.0499675731754043
"40","GMSC",5,"SRE_PLTR",0.0504682565888295
"41","GMSC",6,"GAM",0.0552568540089305
"42","GMSC",6,"RE_boosting",0.0523969370603705
"43","GMSC",6,"RE_RF",0.0503842313042144
"44","GMSC",6,"RE_bag",0.050307783915292
"45","GMSC",6,"SRE_RF",0.0505886444971771
"46","GMSC",6,"SRE_bag",0.0504479155979719
"47","GMSC",6,"SRE_boosting",0.0505007367745124
"48","GMSC",6,"SRE_PLTR",0.0511233828974674
