"","dataset","nr_fold","algorithm","metric"
"1","GMSC",1,"LRR",0.0505875567610402
"2","GMSC",1,"GAM",0.0550943920260026
"3","GMSC",1,"LDA",0.0613908433167109
"4","GMSC",1,"CTREE",0.0527739119473258
"5","GMSC",1,"RF",0.0510573677509463
"6","GMSC",1,"XGB",0.0514435168382121
"7","GMSC",1,"LGBM",0.0528661566395336
"8","GMSC",1,"RE_boosting",0.0506615248979034
"9","GMSC",1,"RE_RF",0.0505381619157768
"10","GMSC",1,"RE_bag",0.0503809587474343
"11","GMSC",1,"SRE_RF",0.0508587628541052
"12","GMSC",1,"SRE_bag",0.0501971246899417
"13","GMSC",1,"SRE_boosting",0.0501172256739172
"14","GMSC",1,"SRE_PLTR",0.0502985523195918
"15","GMSC",1,"PLTR",0.0538323816062451
"16","GMSC",2,"LRR",0.0512376014829956
"17","GMSC",2,"GAM",0.0564656541289723
"18","GMSC",2,"LDA",0.0618310997348957
"19","GMSC",2,"CTREE",0.0532206739327851
"20","GMSC",2,"RF",0.0514706288057079
"21","GMSC",2,"XGB",0.0519389344348348
"22","GMSC",2,"LGBM",0.0534193420827803
"23","GMSC",2,"RE_boosting",0.050877981924953
"24","GMSC",2,"RE_RF",0.0511603173936706
"25","GMSC",2,"RE_bag",0.0517360597676707
"26","GMSC",2,"SRE_RF",0.0520818925720427
"27","GMSC",2,"SRE_bag",0.0516074694023517
"28","GMSC",2,"SRE_boosting",0.0506611578242413
"29","GMSC",2,"SRE_PLTR",0.0512190646837111
"30","GMSC",2,"PLTR",0.0555517739763481
"31","GMSC",3,"LRR",0.0524071128100444
"32","GMSC",3,"GAM",0.0575760727655646
"33","GMSC",3,"LDA",0.0633757024300064
"34","GMSC",3,"CTREE",0.0538064162873936
"35","GMSC",3,"RF",0.0528568017232921
"36","GMSC",3,"XGB",0.0534948174751407
"37","GMSC",3,"LGBM",0.0536777038482648
"38","GMSC",3,"RE_boosting",0.0520002381958408
"39","GMSC",3,"RE_RF",0.0526879174128868
"40","GMSC",3,"RE_bag",0.0528905200628501
"41","GMSC",3,"SRE_RF",0.053820646629166
"42","GMSC",3,"SRE_bag",0.0522453717474352
"43","GMSC",3,"SRE_boosting",0.0523760871783636
"44","GMSC",3,"SRE_PLTR",0.0524871700085606
"45","GMSC",3,"PLTR",0.0637874466286107
"46","GMSC",4,"LRR",0.049377480195212
"47","GMSC",4,"GAM",0.0541532084743041
"48","GMSC",4,"LDA",0.0598943099067369
"49","GMSC",4,"CTREE",0.0510677724396261
"50","GMSC",4,"RF",0.0499988284313123
"51","GMSC",4,"XGB",0.0507956933573707
"52","GMSC",4,"LGBM",0.0515640924220817
"53","GMSC",4,"RE_boosting",0.0496666267441729
"54","GMSC",4,"RE_RF",0.048803622952043
"55","GMSC",4,"RE_bag",0.0490247956188584
"56","GMSC",4,"SRE_RF",0.0513485082933074
"57","GMSC",4,"SRE_bag",0.0491080011353926
"58","GMSC",4,"SRE_boosting",0.0487955236387105
"59","GMSC",4,"SRE_PLTR",0.0489934406611254
"60","GMSC",4,"PLTR",0.0513305339505693
"61","GMSC",5,"LRR",0.0504239308904722
"62","GMSC",5,"GAM",0.0560316533257307
"63","GMSC",5,"LDA",0.0620490246549149
"64","GMSC",5,"CTREE",0.0534783434219237
"65","GMSC",5,"RF",0.0511567779697255
"66","GMSC",5,"XGB",0.052429533034128
"67","GMSC",5,"LGBM",0.0530053778604488
"68","GMSC",5,"RE_boosting",0.0510640943989416
"69","GMSC",5,"RE_RF",0.0511936948434583
"70","GMSC",5,"RE_bag",0.0511034272138697
"71","GMSC",5,"SRE_RF",0.0504942210152434
"72","GMSC",5,"SRE_bag",0.0507580147447286
"73","GMSC",5,"SRE_boosting",0.0499552218897642
"74","GMSC",5,"SRE_PLTR",0.0504632879712474
"75","GMSC",5,"PLTR",0.0603970249093574
"76","GMSC",6,"LRR",0.0511139572336219
"77","GMSC",6,"GAM",0.0553895505324239
"78","GMSC",6,"LDA",0.0611987176541905
"79","GMSC",6,"CTREE",0.0531914278761625
"80","GMSC",6,"RF",0.0516457832801351
"81","GMSC",6,"XGB",0.0520064923129245
"82","GMSC",6,"LGBM",0.0525534597371719
"83","GMSC",6,"RE_boosting",0.0523969370603705
"84","GMSC",6,"RE_RF",0.0510144659628991
"85","GMSC",6,"RE_bag",0.050307783915292
"86","GMSC",6,"SRE_RF",0.0552803381520745
"87","GMSC",6,"SRE_bag",0.0504496453915102
"88","GMSC",6,"SRE_boosting",0.0504707627462529
"89","GMSC",6,"SRE_PLTR",0.0510947335398332
"90","GMSC",6,"PLTR",0.0547613535591868
