"","dataset","nr_fold","algorithm","metric"
"1","GMSC",1,"RE_RF",0.0043639273738033
"2","GMSC",1,"SRE_RF",0.00474202565156141
"3","GMSC",2,"RE_RF",0.00429912439334722
"4","GMSC",2,"SRE_RF",0.00441686142231056
"5","GMSC",3,"RE_RF",0.00451930039565834
"6","GMSC",3,"SRE_RF",0.00468446939351667
"7","GMSC",4,"RE_RF",0.00431665240766552
"8","GMSC",4,"SRE_RF",0.00435155694900277
"9","GMSC",5,"RE_RF",0.00457728256477706
"10","GMSC",5,"SRE_RF",0.0045987958192112
"11","GMSC",6,"RE_RF",0.0043357097904952
"12","GMSC",6,"SRE_RF",0.00439420584015558
