"","dataset","nr_fold","algorithm","metric"
"1","GMSC",1,"GAM",0.00233876239158382
"2","GMSC",1,"RE_boosting",0.00458365300639444
"3","GMSC",1,"RE_RF",0.0045913252765347
"4","GMSC",1,"RE_bag",0.0045842766882078
"5","GMSC",1,"SRE_RF",0.00463218390739233
"6","GMSC",1,"SRE_bag",0.00459171956864446
"7","GMSC",1,"SRE_boosting",0.00473792421520086
"8","GMSC",1,"SRE_PLTR",0.00463890568218021
"9","GMSC",2,"GAM",0.00189237524009257
"10","GMSC",2,"RE_boosting",0.00438690270911306
"11","GMSC",2,"RE_RF",0.00449664748033012
"12","GMSC",2,"RE_bag",0.00414563884372733
"13","GMSC",2,"SRE_RF",0.0044793329537136
"14","GMSC",2,"SRE_bag",0.00434368332766388
"15","GMSC",2,"SRE_boosting",0.00438297204992239
"16","GMSC",2,"SRE_PLTR",0.00450337587824439
"17","GMSC",3,"GAM",0.00218921581920131
"18","GMSC",3,"RE_boosting",0.00467599909997923
"19","GMSC",3,"RE_RF",0.00450498915284707
"20","GMSC",3,"RE_bag",0.0043090732136689
"21","GMSC",3,"SRE_RF",0.00461839396311667
"22","GMSC",3,"SRE_bag",0.00460402271322594
"23","GMSC",3,"SRE_boosting",0.00475050653724512
"24","GMSC",3,"SRE_PLTR",0.00458289893007969
"25","GMSC",4,"GAM",0.00212797987164216
"26","GMSC",4,"RE_boosting",0.00424637610544554
"27","GMSC",4,"RE_RF",0.00447406050800844
"28","GMSC",4,"RE_bag",0.00450142480575268
"29","GMSC",4,"SRE_RF",0.00438522149858459
"30","GMSC",4,"SRE_bag",0.0044740906492333
"31","GMSC",4,"SRE_boosting",0.00449340478345174
"32","GMSC",4,"SRE_PLTR",0.00443671011628001
"33","GMSC",5,"GAM",0.00215087924180628
"34","GMSC",5,"RE_boosting",0.00444737180675462
"35","GMSC",5,"RE_RF",0.00436523170066386
"36","GMSC",5,"RE_bag",0.00450507354914443
"37","GMSC",5,"SRE_RF",0.00458564652751035
"38","GMSC",5,"SRE_bag",0.00469688590216991
"39","GMSC",5,"SRE_boosting",0.00451396030072705
"40","GMSC",5,"SRE_PLTR",0.00456847739750347
"41","GMSC",6,"GAM",0.00221241778799758
"42","GMSC",6,"RE_boosting",0.00420250945432705
"43","GMSC",6,"RE_RF",0.00453440730473515
"44","GMSC",6,"RE_bag",0.00459115667798132
"45","GMSC",6,"SRE_RF",0.00450168122030912
"46","GMSC",6,"SRE_bag",0.00460050996669033
"47","GMSC",6,"SRE_boosting",0.00443701910665785
"48","GMSC",6,"SRE_PLTR",0.00446631683189372
