"","dataset","nr_fold","algorithm","metric"
"1","GMSC",1,"LRR",0.719111784891861
"2","GMSC",1,"GAM",0.43395321888036
"3","GMSC",1,"LDA",0.399011442240202
"4","GMSC",1,"CTREE",0.51490333483517
"5","GMSC",1,"RF",0.638830811269588
"6","GMSC",1,"XGB",0.669272524730986
"7","GMSC",1,"LGBM",0.656124161350411
"8","GMSC",1,"RE_boosting",0.666317471807081
"9","GMSC",1,"RE_RF",0.660752430762751
"10","GMSC",1,"RE_bag",0.656797131940414
"11","GMSC",1,"SRE_RF",0.612489284372211
"12","GMSC",1,"SRE_bag",0.688185753846925
"13","GMSC",1,"SRE_boosting",0.70417331414097
"14","GMSC",1,"SRE_PLTR",0.669861782838745
"15","GMSC",1,"PLTR",0.484245218477153
"16","GMSC",2,"LRR",0.700798070617287
"17","GMSC",2,"GAM",0.574979607330054
"18","GMSC",2,"LDA",0.376791409188875
"19","GMSC",2,"CTREE",0.50356554979692
"20","GMSC",2,"RF",0.638826183075981
"21","GMSC",2,"XGB",0.653588809655125
"22","GMSC",2,"LGBM",0.622579508458534
"23","GMSC",2,"RE_boosting",0.638711344401953
"24","GMSC",2,"RE_RF",0.640488779719941
"25","GMSC",2,"RE_bag",0.631417821167012
"26","GMSC",2,"SRE_RF",0.589101530725851
"27","GMSC",2,"SRE_bag",0.659403738673826
"28","GMSC",2,"SRE_boosting",0.680996189290395
"29","GMSC",2,"SRE_PLTR",0.625231185698099
"30","GMSC",2,"PLTR",0.413752801297357
"31","GMSC",3,"LRR",0.687593791984566
"32","GMSC",3,"GAM",0.567413624205728
"33","GMSC",3,"LDA",0.398341445040955
"34","GMSC",3,"CTREE",0.52194873947926
"35","GMSC",3,"RF",0.607301839342096
"36","GMSC",3,"XGB",0.647430423484663
"37","GMSC",3,"LGBM",0.599271493478627
"38","GMSC",3,"RE_boosting",0.624175535147184
"39","GMSC",3,"RE_RF",0.624635337868057
"40","GMSC",3,"RE_bag",0.601686862959348
"41","GMSC",3,"SRE_RF",0.573691642984835
"42","GMSC",3,"SRE_bag",0.652886402440832
"43","GMSC",3,"SRE_boosting",0.681686047805051
"44","GMSC",3,"SRE_PLTR",0.545803824560157
"45","GMSC",3,"PLTR",0.356289305528432
"46","GMSC",4,"LRR",0.723340876397925
"47","GMSC",4,"GAM",0.396063250707848
"48","GMSC",4,"LDA",0.376211013503241
"49","GMSC",4,"CTREE",0.545783255885621
"50","GMSC",4,"RF",0.640118917884867
"51","GMSC",4,"XGB",0.66613191323841
"52","GMSC",4,"LGBM",0.651790268840641
"53","GMSC",4,"RE_boosting",0.695584867496315
"54","GMSC",4,"RE_RF",0.680842448944929
"55","GMSC",4,"RE_bag",0.684127968716863
"56","GMSC",4,"SRE_RF",0.627553041184947
"57","GMSC",4,"SRE_bag",0.689575841717316
"58","GMSC",4,"SRE_boosting",0.715600244470634
"59","GMSC",4,"SRE_PLTR",0.659663147797932
"60","GMSC",4,"PLTR",0.320505553901978
"61","GMSC",5,"LRR",0.701929947614679
"62","GMSC",5,"GAM",0.588400339375095
"63","GMSC",5,"LDA",0.37531514478549
"64","GMSC",5,"CTREE",0.531351414092913
"65","GMSC",5,"RF",0.621465332816534
"66","GMSC",5,"XGB",0.657827469214095
"67","GMSC",5,"LGBM",0.606585067916884
"68","GMSC",5,"RE_boosting",0.646883769826468
"69","GMSC",5,"RE_RF",0.638456706773331
"70","GMSC",5,"RE_bag",0.635760822046222
"71","GMSC",5,"SRE_RF",0.605370434196353
"72","GMSC",5,"SRE_bag",0.662049739444168
"73","GMSC",5,"SRE_boosting",0.698097160178875
"74","GMSC",5,"SRE_PLTR",0.605370434196353
"75","GMSC",5,"PLTR",0.394107810870449
"76","GMSC",6,"LRR",0.697560229210159
"77","GMSC",6,"GAM",0.392236864038072
"78","GMSC",6,"LDA",0.406449170886864
"79","GMSC",6,"CTREE",0.608281276547742
"80","GMSC",6,"RF",0.614137770937543
"81","GMSC",6,"XGB",0.654502157863459
"82","GMSC",6,"LGBM",0.638100257608111
"83","GMSC",6,"RE_boosting",0.66811464512036
"84","GMSC",6,"RE_RF",0.656675138822669
"85","GMSC",6,"RE_bag",0.64972750758632
"86","GMSC",6,"SRE_RF",0.605120174241497
"87","GMSC",6,"SRE_bag",0.68451426938468
"88","GMSC",6,"SRE_boosting",0.696415039462324
"89","GMSC",6,"SRE_PLTR",0.636394350387834
"90","GMSC",6,"PLTR",0.423109138062802
