"","dataset","nr_fold","algorithm","metric"
"1","GMSC",1,"RE_RF",0.661436841106241
"2","GMSC",1,"SRE_RF",0.693316644554408
"3","GMSC",2,"RE_RF",0.65307193411593
"4","GMSC",2,"SRE_RF",0.642559582184671
"5","GMSC",3,"RE_RF",0.629170157249139
"6","GMSC",3,"SRE_RF",0.672499084366926
"7","GMSC",4,"RE_RF",0.682566360904042
"8","GMSC",4,"SRE_RF",0.679217017496671
"9","GMSC",5,"RE_RF",0.639675119089315
"10","GMSC",5,"SRE_RF",0.686090383969981
"11","GMSC",6,"RE_RF",0.662637565841603
"12","GMSC",6,"SRE_RF",0.685450902759727
