"","dataset","nr_fold","algorithm","metric"
"1","GMSC",1,"GAM",0.599564998954625
"2","GMSC",1,"RE_boosting",0.656039358247298
"3","GMSC",1,"RE_RF",0.660019242518918
"4","GMSC",1,"RE_bag",0.656797131940414
"5","GMSC",1,"SRE_RF",0.701075881827286
"6","GMSC",1,"SRE_bag",0.688443498849097
"7","GMSC",1,"SRE_boosting",0.681350890982456
"8","GMSC",1,"SRE_PLTR",0.7053702982156
"9","GMSC",2,"GAM",0.56224164537329
"10","GMSC",2,"RE_boosting",0.632034669623773
"11","GMSC",2,"RE_RF",0.651634832270237
"12","GMSC",2,"RE_bag",0.631417821167012
"13","GMSC",2,"SRE_RF",0.670710697939083
"14","GMSC",2,"SRE_bag",0.677896625562533
"15","GMSC",2,"SRE_boosting",0.680996189290395
"16","GMSC",2,"SRE_PLTR",0.681244981351495
"17","GMSC",3,"GAM",0.565987290589527
"18","GMSC",3,"RE_boosting",0.617167150777431
"19","GMSC",3,"RE_RF",0.627289959162692
"20","GMSC",3,"RE_bag",0.601686862959348
"21","GMSC",3,"SRE_RF",0.670920701156709
"22","GMSC",3,"SRE_bag",0.667469470950745
"23","GMSC",3,"SRE_boosting",0.681032468737488
"24","GMSC",3,"SRE_PLTR",0.685536537554682
"25","GMSC",4,"GAM",0.596153049906651
"26","GMSC",4,"RE_boosting",0.695833074916593
"27","GMSC",4,"RE_RF",0.689000572862212
"28","GMSC",4,"RE_bag",0.684127968716863
"29","GMSC",4,"SRE_RF",0.713320077342091
"30","GMSC",4,"SRE_bag",0.713452358211398
"31","GMSC",4,"SRE_boosting",0.715533201956949
"32","GMSC",4,"SRE_PLTR",0.71111186003717
"33","GMSC",5,"GAM",0.581741876614086
"34","GMSC",5,"RE_boosting",0.654877965399956
"35","GMSC",5,"RE_RF",0.638299046641358
"36","GMSC",5,"RE_bag",0.635760822046222
"37","GMSC",5,"SRE_RF",0.697786847278985
"38","GMSC",5,"SRE_bag",0.691046806863997
"39","GMSC",5,"SRE_boosting",0.694965007097612
"40","GMSC",5,"SRE_PLTR",0.697927701500391
"41","GMSC",6,"GAM",0.583857996610416
"42","GMSC",6,"RE_boosting",0.649030924525687
"43","GMSC",6,"RE_RF",0.666303353250799
"44","GMSC",6,"RE_bag",0.64972750758632
"45","GMSC",6,"SRE_RF",0.684606206110402
"46","GMSC",6,"SRE_bag",0.697554088971772
"47","GMSC",6,"SRE_boosting",0.69645957383499
"48","GMSC",6,"SRE_PLTR",0.693529833195131
