"","dataset","nr_fold","algorithm","metric"
"1","HMEQ",1,"LRR",0.904312589798851
"2","HMEQ",1,"GAM",0.929566271551724
"3","HMEQ",1,"LDA",0.907860392720306
"4","HMEQ",1,"CTREE",0.882763484794061
"5","HMEQ",1,"RF",0.961761404454023
"6","HMEQ",1,"XGB",0.952400622605364
"7","HMEQ",1,"LGBM",0.948685195162835
"8","HMEQ",1,"RE",0.93035388230364
"9","HMEQ",1,"SRE",0.937439385775862
"10","HMEQ",2,"LRR",0.890989670494547
"11","HMEQ",2,"GAM",0.914928732183046
"12","HMEQ",2,"LDA",0.896232519668379
"13","HMEQ",2,"CTREE",0.86622963433166
"14","HMEQ",2,"RF",0.950227556889222
"15","HMEQ",2,"XGB",0.941115278819705
"16","HMEQ",2,"LGBM",0.93788908765653
"17","HMEQ",2,"RE",0.921988958778156
"18","HMEQ",2,"SRE",0.925385192451959
"19","HMEQ",3,"LRR",0.904016751846394
"20","HMEQ",3,"GAM",0.926147225381658
"21","HMEQ",3,"LDA",0.906100979241755
"22","HMEQ",3,"CTREE",0.864973125620842
"23","HMEQ",3,"RF",0.959488861612703
"24","HMEQ",3,"XGB",0.944581909086271
"25","HMEQ",3,"LGBM",0.94768499206223
"26","HMEQ",3,"RE",0.932011271933905
"27","HMEQ",3,"SRE",0.938041876614939
"28","HMEQ",4,"LRR",0.892356754857071
"29","HMEQ",4,"GAM",0.912067421575917
"30","HMEQ",4,"LDA",0.895342475424013
"31","HMEQ",4,"CTREE",0.871112175156134
"32","HMEQ",4,"RF",0.947718812801996
"33","HMEQ",4,"XGB",0.939576566352287
"34","HMEQ",4,"LGBM",0.934957178582308
"35","HMEQ",4,"RE",0.922190172981493
"36","HMEQ",4,"SRE",0.92632460176964
"37","HMEQ",5,"LRR",0.900844449225473
"38","HMEQ",5,"GAM",0.921610677403492
"39","HMEQ",5,"LDA",0.903377796901893
"40","HMEQ",5,"CTREE",0.880297977624785
"41","HMEQ",5,"RF",0.955094357019916
"42","HMEQ",5,"XGB",0.953289817432997
"43","HMEQ",5,"LGBM",0.943079204573396
"44","HMEQ",5,"RE",0.93139445537251
"45","HMEQ",5,"SRE",0.932114042906319
"46","HMEQ",6,"LRR",0.900485165911756
"47","HMEQ",6,"GAM",0.923970942495663
"48","HMEQ",6,"LDA",0.899318519850591
"49","HMEQ",6,"CTREE",0.879668363810744
"50","HMEQ",6,"RF",0.960444179694964
"51","HMEQ",6,"XGB",0.949469314661002
"52","HMEQ",6,"LGBM",0.947348071886977
"53","HMEQ",6,"RE",0.928852947898052
"54","HMEQ",6,"SRE",0.934201761583102
"55","HMEQ",7,"LRR",0.901996135319298
"56","HMEQ",7,"GAM",0.923301959769105
"57","HMEQ",7,"LDA",0.903876083666947
"58","HMEQ",7,"CTREE",0.891313559974975
"59","HMEQ",7,"RF",0.956043879843564
"60","HMEQ",7,"XGB",0.947348733500371
"61","HMEQ",7,"LGBM",0.942424270441356
"62","HMEQ",7,"RE",0.924010792752645
"63","HMEQ",7,"SRE",0.933420935844451
"64","HMEQ",8,"LRR",0.898003277921562
"65","HMEQ",8,"GAM",0.929207058368079
"66","HMEQ",8,"LDA",0.900122043910398
"67","HMEQ",8,"CTREE",0.878979599310336
"68","HMEQ",8,"RF",0.955881089023297
"69","HMEQ",8,"XGB",0.948848430132664
"70","HMEQ",8,"LGBM",0.942426364474086
"71","HMEQ",8,"RE",0.924403027406444
"72","HMEQ",8,"SRE",0.93395466363936
"73","HMEQ",9,"LRR",0.897984368572604
"74","HMEQ",9,"GAM",0.923221350448859
"75","HMEQ",9,"LDA",0.897842965857672
"76","HMEQ",9,"CTREE",0.867234571224623
"77","HMEQ",9,"RF",0.953790046458732
"78","HMEQ",9,"XGB",0.945128563045951
"79","HMEQ",9,"LGBM",0.946180765601181
"80","HMEQ",9,"RE",0.933270017180052
"81","HMEQ",9,"SRE",0.934093858131488
"82","HMEQ",10,"LRR",0.902666359147441
"83","HMEQ",10,"GAM",0.920610562676452
"84","HMEQ",10,"LDA",0.903281397598762
"85","HMEQ",10,"CTREE",0.864983075024796
"86","HMEQ",10,"RF",0.958978153194813
"87","HMEQ",10,"XGB",0.950644686653894
"88","HMEQ",10,"LGBM",0.946213821771296
"89","HMEQ",10,"RE",0.929377144166383
"90","HMEQ",10,"SRE",0.930495707290413
