"","dataset","nr_fold","algorithm","metric"
"1","HMEQ",1,"RE",0.621765682305044
"2","HMEQ",1,"SRE",0.72281713960728
"3","HMEQ",2,"RE",0.592558016935564
"4","HMEQ",2,"SRE",0.645057418200704
"5","HMEQ",3,"RE",0.61407255334724
"6","HMEQ",3,"SRE",0.622405796305953
"7","HMEQ",4,"RE",0.59796236914881
"8","HMEQ",4,"SRE",0.681828540910357
"9","HMEQ",5,"RE",0.529856674610645
"10","HMEQ",5,"SRE",0.698842051880993
"11","HMEQ",6,"RE",0.61375027616074
"12","HMEQ",6,"SRE",0.65242580548703
"13","HMEQ",7,"RE",0.60252564464521
"14","HMEQ",7,"SRE",0.608945956889924
"15","HMEQ",8,"RE",0.566259194519069
"16","HMEQ",8,"SRE",0.661662592308319
"17","HMEQ",9,"RE",0.604133271917703
"18","HMEQ",9,"SRE",0.672636079318605
"19","HMEQ",10,"RE",0.619183899019864
"20","HMEQ",10,"SRE",0.630397727272727
