"","dataset","nr_fold","algorithm","metric"
"1","HMEQ",1,"LRR",0.032706675310468
"2","HMEQ",1,"GAM",0.0373490122351938
"3","HMEQ",1,"LDA",0.0342806570952538
"4","HMEQ",1,"CTREE",0.0326665521067501
"5","HMEQ",1,"RF",0.0422285803912235
"6","HMEQ",1,"XGB",0.0400687071074682
"7","HMEQ",1,"LGBM",0.0410685016721239
"8","HMEQ",1,"RE_boosting",0.0373654752987708
"9","HMEQ",1,"RE_RF",0.0372220088382112
"10","HMEQ",1,"RE_bag",0.0362693198706236
"11","HMEQ",1,"SRE_RF",0.0346980400533238
"12","HMEQ",1,"SRE_bag",0.0358729035094421
"13","HMEQ",1,"SRE_boosting",0.037317539579318
"14","HMEQ",1,"SRE_PLTR",0.0364401023586043
"15","HMEQ",1,"PLTR",0.036206400463886
"16","HMEQ",2,"LRR",0.0305022701894007
"17","HMEQ",2,"GAM",0.032487886260484
"18","HMEQ",2,"LDA",0.031182263464969
"19","HMEQ",2,"CTREE",0.0289957074617768
"20","HMEQ",2,"RF",0.0376196160815586
"21","HMEQ",2,"XGB",0.0373887605541005
"22","HMEQ",2,"LGBM",0.0384985649828906
"23","HMEQ",2,"RE_boosting",0.0346231101677645
"24","HMEQ",2,"RE_RF",0.0351597499666929
"25","HMEQ",2,"RE_bag",0.0330205260077814
"26","HMEQ",2,"SRE_RF",0.0316670617093413
"27","HMEQ",2,"SRE_bag",0.0332314509828987
"28","HMEQ",2,"SRE_boosting",0.0344901212419488
"29","HMEQ",2,"SRE_PLTR",0.0331356208406336
"30","HMEQ",2,"PLTR",0.032977820240762
"31","HMEQ",3,"LRR",0.0330010416869514
"32","HMEQ",3,"GAM",0.0361039672802847
"33","HMEQ",3,"LDA",0.0334078275357526
"34","HMEQ",3,"CTREE",0.0310356386662247
"35","HMEQ",3,"RF",0.0410976864836643
"36","HMEQ",3,"XGB",0.0407055554081248
"37","HMEQ",3,"LGBM",0.0410890696980067
"38","HMEQ",3,"RE_boosting",0.0378619957939758
"39","HMEQ",3,"RE_RF",0.036764275816748
"40","HMEQ",3,"RE_bag",0.0354045049627121
"41","HMEQ",3,"SRE_RF",0.0337758135370115
"42","HMEQ",3,"SRE_bag",0.0349769770249884
"43","HMEQ",3,"SRE_boosting",0.0377377425824547
"44","HMEQ",3,"SRE_PLTR",0.0355726284677719
"45","HMEQ",3,"PLTR",0.0354874712040002
"46","HMEQ",4,"LRR",0.0303602207335734
"47","HMEQ",4,"GAM",0.0339826621725164
"48","HMEQ",4,"LDA",0.0317061591110969
"49","HMEQ",4,"CTREE",0.0301884497214502
"50","HMEQ",4,"RF",0.0379182562776017
"51","HMEQ",4,"XGB",0.036631423522046
"52","HMEQ",4,"LGBM",0.0381118570507042
"53","HMEQ",4,"RE_boosting",0.0352394160719575
"54","HMEQ",4,"RE_RF",0.0350387037156972
"55","HMEQ",4,"RE_bag",0.0340589947228359
"56","HMEQ",4,"SRE_RF",0.032318642515719
"57","HMEQ",4,"SRE_bag",0.0338923265510182
"58","HMEQ",4,"SRE_boosting",0.0362376485173651
"59","HMEQ",4,"SRE_PLTR",0.0343642752074989
"60","HMEQ",4,"PLTR",0.0343412247542843
"61","HMEQ",5,"LRR",0.0308848405315785
"62","HMEQ",5,"GAM",0.0345200681131751
"63","HMEQ",5,"LDA",0.0320459706705645
"64","HMEQ",5,"CTREE",0.0313679610279753
"65","HMEQ",5,"RF",0.0385208967020637
"66","HMEQ",5,"XGB",0.0386343109261833
"67","HMEQ",5,"LGBM",0.0391844036846811
"68","HMEQ",5,"RE_boosting",0.0366602627158996
"69","HMEQ",5,"RE_RF",0.0366185641253085
"70","HMEQ",5,"RE_bag",0.0344394710438692
"71","HMEQ",5,"SRE_RF",0.0325392161589505
"72","HMEQ",5,"SRE_bag",0.0333954610540134
"73","HMEQ",5,"SRE_boosting",0.0371987435498707
"74","HMEQ",5,"SRE_PLTR",0.034478696807926
"75","HMEQ",5,"PLTR",0.0345241949254395
"76","HMEQ",6,"LRR",0.0323407222468738
"77","HMEQ",6,"GAM",0.0355745672420602
"78","HMEQ",6,"LDA",0.0336119242217756
"79","HMEQ",6,"CTREE",0.0325365897519819
"80","HMEQ",6,"RF",0.0421756448706733
"81","HMEQ",6,"XGB",0.0401063641197743
"82","HMEQ",6,"LGBM",0.0399268532131081
"83","HMEQ",6,"RE_boosting",0.037387992688954
"84","HMEQ",6,"RE_RF",0.036872776974578
"85","HMEQ",6,"RE_bag",0.03596852551593
"86","HMEQ",6,"SRE_RF",0.0332496189833311
"87","HMEQ",6,"SRE_bag",0.0350957777872897
"88","HMEQ",6,"SRE_boosting",0.0375768803996693
"89","HMEQ",6,"SRE_PLTR",0.036256206915724
"90","HMEQ",6,"PLTR",0.0361336837149146
