"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"LRR",0.763745276756536
"2","GC",1,"GAM",0.57725209572104
"3","GC",1,"LDA",0.564526206727461
"4","GC",1,"CTREE",0.501120593692022
"5","GC",1,"RF",0.790530241018645
"6","GC",1,"XGB",0.699831147293834
"7","GC",1,"LGBM",0.654165727263229
"8","GC",1,"RE_boosting",0.632920830313328
"9","GC",1,"RE_RF",0.607915555749814
"10","GC",1,"RE_bag",0.528007680418625
"11","GC",1,"SRE_RF",0.452491227105724
"12","GC",1,"SRE_bag",0.692580369971264
"13","GC",1,"SRE_boosting",0.687271761254789
"14","GC",1,"SRE_PLTR",0.645447198275862
"15","GC",1,"PLTR",0.321437448954227
"16","GC",2,"LRR",0.763188844086022
"17","GC",2,"GAM",0.596642701418981
"18","GC",2,"LDA",0.547875275169281
"19","GC",2,"CTREE",0.423596671210932
"20","GC",2,"RF",0.771052579424064
"21","GC",2,"XGB",0.656107036803057
"22","GC",2,"LGBM",0.662970662970663
"23","GC",2,"RE_boosting",0.595529883323159
"24","GC",2,"RE_RF",0.626792493762881
"25","GC",2,"RE_bag",0.573495729029129
"26","GC",2,"SRE_RF",0.561759144869973
"27","GC",2,"SRE_bag",0.655400003847116
"28","GC",2,"SRE_boosting",0.646357743281974
"29","GC",2,"SRE_PLTR",0.591300902148614
"30","GC",2,"PLTR",0.537468726420714
"31","GC",3,"LRR",0.787654050818467
"32","GC",3,"GAM",0.596673572744015
"33","GC",3,"LDA",0.580306585327702
"34","GC",3,"CTREE",0.407146121852004
"35","GC",3,"RF",0.780043416423385
"36","GC",3,"XGB",0.72640209713828
"37","GC",3,"LGBM",0.695751448917379
"38","GC",3,"RE_boosting",0.672466561532621
"39","GC",3,"RE_RF",0.638946129333775
"40","GC",3,"RE_bag",0.620427517687792
"41","GC",3,"SRE_RF",0.65177346894066
"42","GC",3,"SRE_bag",0.604927915448155
"43","GC",3,"SRE_boosting",0.643337524796154
"44","GC",3,"SRE_PLTR",0.582960634572381
"45","GC",3,"PLTR",0.568991831922866
"46","GC",4,"LRR",0.741216825473729
"47","GC",4,"GAM",0.533443552464875
"48","GC",4,"LDA",0.535955832361751
"49","GC",4,"CTREE",0.390970715108646
"50","GC",4,"RF",0.755894554429449
"51","GC",4,"XGB",0.677240223625096
"52","GC",4,"LGBM",0.652728302153861
"53","GC",4,"RE_boosting",0.552347061222801
"54","GC",4,"RE_RF",0.577521315738921
"55","GC",4,"RE_bag",0.500753035192869
"56","GC",4,"SRE_RF",0.556652340425859
"57","GC",4,"SRE_bag",0.703005594677115
"58","GC",4,"SRE_boosting",0.537019367857691
"59","GC",4,"SRE_PLTR",0.634713855017215
"60","GC",4,"PLTR",0
"61","HMEQ",5,"LRR",0.762298784629487
"62","HMEQ",5,"GAM",0.563917690521625
"63","HMEQ",5,"LDA",0.551833726415094
"64","HMEQ",5,"CTREE",0.454781812272875
"65","HMEQ",5,"RF",0.775331908721883
"66","HMEQ",5,"XGB",0.713700548681024
"67","HMEQ",5,"LGBM",0.679162319555362
"68","HMEQ",5,"RE_boosting",0.586222210349871
"69","HMEQ",5,"RE_RF",0.593466139808502
"70","HMEQ",5,"RE_bag",0.509620815362497
"71","HMEQ",5,"SRE_RF",0.656663388246865
"72","HMEQ",5,"SRE_bag",0.664606896975658
"73","HMEQ",5,"SRE_boosting",0.697304524219326
"74","HMEQ",5,"SRE_PLTR",0.630292598967298
"75","HMEQ",5,"PLTR",0.569359474318152
"76","HMEQ",6,"LRR",0.771693989952342
"77","HMEQ",6,"GAM",0.621029614232109
"78","HMEQ",6,"LDA",0.540563064622423
"79","HMEQ",6,"CTREE",0.458256522758077
"80","HMEQ",6,"RF",0.818849197420947
"81","HMEQ",6,"XGB",0.659506114184229
"82","HMEQ",6,"LGBM",0.68632923006346
"83","HMEQ",6,"RE_boosting",0.657806300428727
"84","HMEQ",6,"RE_RF",0.584097434472539
"85","HMEQ",6,"RE_bag",0.609629100769491
"86","HMEQ",6,"SRE_RF",0.589988690735102
"87","HMEQ",6,"SRE_bag",0.228291011907998
"88","HMEQ",6,"SRE_boosting",0.181094128090079
"89","HMEQ",6,"SRE_PLTR",0
"90","HMEQ",6,"PLTR",0.325982041680328
