"","dataset","nr_fold","algorithm","metric"
"1","HMEQ",1,"RE_RF",0.918503801484674
"2","HMEQ",1,"SRE_RF",0.910819639008621
"3","HMEQ",2,"RE_RF",0.920306230403755
"4","HMEQ",2,"SRE_RF",0.926201165676034
"5","HMEQ",3,"RE_RF",0.928707118784456
"6","HMEQ",3,"SRE_RF",0.930338188027622
"7","HMEQ",4,"RE_RF",0.919615363070834
"8","HMEQ",4,"SRE_RF",0.916827999935543
"9","HMEQ",5,"RE_RF",0.925445276001967
"10","HMEQ",5,"SRE_RF",0.92302795365134
"11","HMEQ",6,"RE_RF",0.930357898838224
"12","HMEQ",6,"SRE_RF",0.924247430868541
