"","dataset","nr_fold","algorithm","metric"
"1","HMEQ",1,"GAM",0.936408195641762
"2","HMEQ",1,"RE_boosting",0.928713182471264
"3","HMEQ",1,"RE_RF",0.931115301724138
"4","HMEQ",1,"RE_bag",0.909282956178161
"5","HMEQ",1,"SRE_RF",0.920027388649425
"6","HMEQ",1,"SRE_bag",0.894395803400383
"7","HMEQ",1,"SRE_boosting",0.92725469947318
"8","HMEQ",1,"SRE_PLTR",0.9194766223659
"9","HMEQ",2,"GAM",0.917979494873718
"10","HMEQ",2,"RE_boosting",0.919283667070614
"11","HMEQ",2,"RE_RF",0.917443206955585
"12","HMEQ",2,"RE_bag",0.910567641910478
"13","HMEQ",2,"SRE_RF",0.901411506722835
"14","HMEQ",2,"SRE_bag",0.910751534037356
"15","HMEQ",2,"SRE_boosting",0.916092869371189
"16","HMEQ",2,"SRE_PLTR",0.914119299055533
"17","HMEQ",3,"GAM",0.927273368405574
"18","HMEQ",3,"RE_boosting",0.925356449400841
"19","HMEQ",3,"RE_RF",0.928727375854173
"20","HMEQ",3,"RE_bag",0.920445985648991
"21","HMEQ",3,"SRE_RF",0.928865424032988
"22","HMEQ",3,"SRE_bag",0.917827196691645
"23","HMEQ",3,"SRE_boosting",0.923431277515853
"24","HMEQ",3,"SRE_PLTR",0.916723186392051
"25","HMEQ",4,"GAM",0.916442027834497
"26","HMEQ",4,"RE_boosting",0.925407630277094
"27","HMEQ",4,"RE_RF",0.912631416594345
"28","HMEQ",4,"RE_bag",0.909130810779288
"29","HMEQ",4,"SRE_RF",0.912842818808735
"30","HMEQ",4,"SRE_bag",0.910435289053202
"31","HMEQ",4,"SRE_boosting",0.919670995232516
"32","HMEQ",4,"SRE_PLTR",0.915112227335266
"33","HMEQ",5,"GAM",0.923487828866486
"34","HMEQ",5,"RE_boosting",0.92339946520777
"35","HMEQ",5,"RE_RF",0.925662727440374
"36","HMEQ",5,"RE_bag",0.911750061470371
"37","HMEQ",5,"SRE_RF",0.926887140398328
"38","HMEQ",5,"SRE_bag",0.908371496188837
"39","HMEQ",5,"SRE_boosting",0.923609617039587
"40","HMEQ",5,"SRE_PLTR",0.91748294197197
"41","HMEQ",6,"GAM",0.924051116630888
"42","HMEQ",6,"RE_boosting",0.934816929480479
"43","HMEQ",6,"RE_RF",0.921155856271004
"44","HMEQ",6,"RE_bag",0.918023070669379
"45","HMEQ",6,"SRE_RF",0.927371974269348
"46","HMEQ",6,"SRE_bag",0.916563451833702
"47","HMEQ",6,"SRE_boosting",0.936282917289515
"48","HMEQ",6,"SRE_PLTR",0.919619809755019
