"","dataset","nr_fold","algorithm","metric"
"1","HMEQ",1,"RE_RF",0.072639604205515
"2","HMEQ",1,"SRE_RF",0.0757723825161447
"3","HMEQ",2,"RE_RF",0.0774864476900361
"4","HMEQ",2,"SRE_RF",0.0759395013353021
"5","HMEQ",3,"RE_RF",0.076185694101314
"6","HMEQ",3,"SRE_RF",0.0736659285468584
"7","HMEQ",4,"RE_RF",0.0711033263076495
"8","HMEQ",4,"SRE_RF",0.0694872889815878
"9","HMEQ",5,"RE_RF",0.0728205299466455
"10","HMEQ",5,"SRE_RF",0.0698161360245098
"11","HMEQ",6,"RE_RF",0.0694174625946667
"12","HMEQ",6,"SRE_RF",0.0742032353180684
