"","dataset","nr_fold","algorithm","metric"
"1","HMEQ",1,"LRR",0.08380563870977
"2","HMEQ",1,"GAM",0.0700335171521511
"3","HMEQ",1,"LDA",0.0835216094743995
"4","HMEQ",1,"CTREE",0.0927595566165928
"5","HMEQ",1,"RF",0.0648875920995843
"6","HMEQ",1,"XGB",0.0674090076377048
"7","HMEQ",1,"LGBM",0.062661327465469
"8","HMEQ",1,"RE_boosting",0.0712999594965254
"9","HMEQ",1,"RE_RF",0.0743767785324565
"10","HMEQ",1,"RE_bag",0.0768618059362494
"11","HMEQ",1,"SRE_RF",0.0790696149789076
"12","HMEQ",1,"SRE_bag",0.0804539883358231
"13","HMEQ",1,"SRE_boosting",0.0703619433494754
"14","HMEQ",1,"SRE_PLTR",0.0773680557787959
"15","HMEQ",1,"PLTR",0.0771946449339972
"16","HMEQ",2,"LRR",0.0889074834145763
"17","HMEQ",2,"GAM",0.0802711296353315
"18","HMEQ",2,"LDA",0.0957591252584177
"19","HMEQ",2,"CTREE",0.0970646745639114
"20","HMEQ",2,"RF",0.0693512227668137
"21","HMEQ",2,"XGB",0.0701268327646424
"22","HMEQ",2,"LGBM",0.0690349205364325
"23","HMEQ",2,"RE_boosting",0.0748166418807865
"24","HMEQ",2,"RE_RF",0.0806880163536664
"25","HMEQ",2,"RE_bag",0.0816291010009351
"26","HMEQ",2,"SRE_RF",0.0848621808728831
"27","HMEQ",2,"SRE_bag",0.0827626656681551
"28","HMEQ",2,"SRE_boosting",0.0775586051872673
"29","HMEQ",2,"SRE_PLTR",0.0783245366089958
"30","HMEQ",2,"PLTR",0.078001938355322
"31","HMEQ",3,"LRR",0.0842591908429977
"32","HMEQ",3,"GAM",0.0731421310080523
"33","HMEQ",3,"LDA",0.0885214233221599
"34","HMEQ",3,"CTREE",0.097670260517957
"35","HMEQ",3,"RF",0.0656599721158307
"36","HMEQ",3,"XGB",0.0636854265842098
"37","HMEQ",3,"LGBM",0.0681697052516309
"38","HMEQ",3,"RE_boosting",0.0711160463485818
"39","HMEQ",3,"RE_RF",0.0753917839250718
"40","HMEQ",3,"RE_bag",0.077218106770764
"41","HMEQ",3,"SRE_RF",0.0770369203405588
"42","HMEQ",3,"SRE_bag",0.0796154417378343
"43","HMEQ",3,"SRE_boosting",0.0722537318722988
"44","HMEQ",3,"SRE_PLTR",0.0772056884765338
"45","HMEQ",3,"PLTR",0.0766401287319334
"46","HMEQ",4,"LRR",0.0861807465716589
"47","HMEQ",4,"GAM",0.0753877419397401
"48","HMEQ",4,"LDA",0.0907070283528267
"49","HMEQ",4,"CTREE",0.0942919911473516
"50","HMEQ",4,"RF",0.0689383530238446
"51","HMEQ",4,"XGB",0.0668309816511104
"52","HMEQ",4,"LGBM",0.0732813185086914
"53","HMEQ",4,"RE_boosting",0.0714459536053444
"54","HMEQ",4,"RE_RF",0.0722594851699905
"55","HMEQ",4,"RE_bag",0.0786105338294675
"56","HMEQ",4,"SRE_RF",0.0765002598373067
"57","HMEQ",4,"SRE_bag",0.0788311054654009
"58","HMEQ",4,"SRE_boosting",0.0718784749250837
"59","HMEQ",4,"SRE_PLTR",0.0753795023673189
"60","HMEQ",4,"PLTR",0.075442003047641
"61","HMEQ",5,"LRR",0.084033112507308
"62","HMEQ",5,"GAM",0.0742774583619531
"63","HMEQ",5,"LDA",0.0892991784595598
"64","HMEQ",5,"CTREE",0.0889910644609689
"65","HMEQ",5,"RF",0.0637236218341188
"66","HMEQ",5,"XGB",0.0641665452018032
"67","HMEQ",5,"LGBM",0.062391552825843
"68","HMEQ",5,"RE_boosting",0.0678850915252134
"69","HMEQ",5,"RE_RF",0.0707213442146506
"70","HMEQ",5,"RE_bag",0.0774149667814543
"71","HMEQ",5,"SRE_RF",0.0872693363117312
"72","HMEQ",5,"SRE_bag",0.0799365182631872
"73","HMEQ",5,"SRE_boosting",0.0710439775402094
"74","HMEQ",5,"SRE_PLTR",0.0752383304291448
"75","HMEQ",5,"PLTR",0.0749394895468322
"76","HMEQ",6,"LRR",0.0853551031501904
"77","HMEQ",6,"GAM",0.0751478945838898
"78","HMEQ",6,"LDA",0.0890066119208408
"79","HMEQ",6,"CTREE",0.0894098104263073
"80","HMEQ",6,"RF",0.0651384295726243
"81","HMEQ",6,"XGB",0.0624264378699412
"82","HMEQ",6,"LGBM",0.0646914951712703
"83","HMEQ",6,"RE_boosting",0.0692258428483236
"84","HMEQ",6,"RE_RF",0.0736127748258419
"85","HMEQ",6,"RE_bag",0.0773862276205409
"86","HMEQ",6,"SRE_RF",0.0790299472920971
"87","HMEQ",6,"SRE_bag",0.0797198478411266
"88","HMEQ",6,"SRE_boosting",0.0720163191249414
"89","HMEQ",6,"SRE_PLTR",0.0727353363177761
"90","HMEQ",6,"PLTR",0.072757079681006
